카테고리,대구광역시 중구,대구광역시 중구 동인동,대구광역시 중구 삼덕동,대구광역시 중구 성내1동,대구광역시 중구 성내2동,대구광역시 중구 성내3동,대구광역시 중구 대신동,대구광역시 중구 남산1동,대구광역시 중구 남산2동,대구광역시 중구 남산3동,대구광역시 중구 남산4동,대구광역시 중구 대봉1동,대구광역시 중구 대봉2동
2020년12월_계_총인구수,"76,547","8,525","6,736","5,075","4,591","5,158","8,094","5,097","4,323","7,041","11,859","7,654","2,394"
2020년12월_계_연령구간인구수,"76,547","8,525","6,736","5,075","4,591","5,158","8,094","5,097","4,323","7,041","11,859","7,654","2,394"
2020년12월_계_0~9세,"5,142",316,448,168,135,585,875,280,261,575,894,526,79
2020년12월_계_10~19세,"5,089",487,374,229,200,221,558,312,273,540,"1,078",662,155
2020년12월_계_20~29세,"11,864","1,445","1,880","1,464",816,629,821,873,656,701,"1,317","1,009",253
2020년12월_계_30~39세,"10,755","1,151","1,240",761,542,"1,038","1,379",649,623,935,"1,357",877,203
2020년12월_계_40~49세,"10,766","1,116",887,558,505,698,"1,176",664,595,"1,142","1,888","1,183",354
2020년12월_계_50~59세,"11,325","1,323",713,620,757,724,"1,209",801,676,"1,085","1,803","1,226",388
2020년12월_계_60~69세,"10,227","1,244",601,593,779,655,"1,077",702,538,984,"1,711",955,388
2020년12월_계_70~79세,"7,375",933,369,435,567,404,667,541,444,714,"1,166",745,390
2020년12월_계_80~89세,"3,413",432,187,194,231,174,281,256,211,323,566,405,153
2020년12월_계_90~99세,488,66,29,46,45,25,39,17,32,37,69,58,25
2020년12월_계_100세 이상,103,12,8,7,14,5,12,2,14,5,10,8,6
2020년12월_남_총인구수,"36,799","4,238","3,170","2,436","2,329","2,583","3,934","2,424","2,061","3,252","5,579","3,622","1,171"
2020년12월_남_연령구간인구수,"36,799","4,238","3,170","2,436","2,329","2,583","3,934","2,424","2,061","3,252","5,579","3,622","1,171"
2020년12월_남_0~9세,"2,655",148,226,85,69,288,434,148,124,324,487,281,41
2020년12월_남_10~19세,"2,631",251,184,116,100,123,313,149,138,270,576,320,91
2020년12월_남_20~29세,"5,660",714,805,624,383,320,421,408,310,332,685,516,142
2020년12월_남_30~39세,"5,567",632,650,433,344,518,672,317,315,465,684,430,107
2020년12월_남_40~49세,"5,470",618,477,288,269,375,612,349,291,551,900,565,175
2020년12월_남_50~59세,"5,597",701,336,338,405,362,570,409,355,509,824,588,200
2020년12월_남_60~69세,"4,719",601,255,294,397,334,520,325,245,406,727,434,181
2020년12월_남_70~79세,"3,106",397,157,175,257,194,277,231,197,281,485,292,163
2020년12월_남_80~89세,"1,256",158,71,67,92,62,105,84,79,105,194,174,65
2020년12월_남_90~99세,117,16,8,12,10,6,9,3,4,9,14,20,6
2020년12월_남_100세 이상,21,2,1,4,3,1,1,1,3,0,3,2,0
2020년12월_여_총인구수,"39,748","4,287","3,566","2,639","2,262","2,575","4,160","2,673","2,262","3,789","6,280","4,032","1,223"
2020년12월_여_연령구간인구수,"39,748","4,287","3,566","2,639","2,262","2,575","4,160","2,673","2,262","3,789","6,280","4,032","1,223"
2020년12월_여_0~9세,"2,487",168,222,83,66,297,441,132,137,251,407,245,38
2020년12월_여_10~19세,"2,458",236,190,113,100,98,245,163,135,270,502,342,64
2020년12월_여_20~29세,"6,204",731,"1,075",840,433,309,400,465,346,369,632,493,111
2020년12월_여_30~39세,"5,188",519,590,328,198,520,707,332,308,470,673,447,96
2020년12월_여_40~49세,"5,296",498,410,270,236,323,564,315,304,591,988,618,179
2020년12월_여_50~59세,"5,728",622,377,282,352,362,639,392,321,576,979,638,188
2020년12월_여_60~69세,"5,508",643,346,299,382,321,557,377,293,578,984,521,207
2020년12월_여_70~79세,"4,269",536,212,260,310,210,390,310,247,433,681,453,227
2020년12월_여_80~89세,"2,157",274,116,127,139,112,176,172,132,218,372,231,88
2020년12월_여_90~99세,371,50,21,34,35,19,30,14,28,28,55,38,19
2020년12월_여_100세 이상,82,10,7,3,11,4,11,1,11,5,7,6,6
