카테고리,충청북도 영동군,충청북도 영동군 영동읍,충청북도 영동군 용산면,충청북도 영동군 황간면,충청북도 영동군 추풍령면,충청북도 영동군 매곡면,충청북도 영동군 상촌면,충청북도 영동군 양강면,충청북도 영동군 용화면,충청북도 영동군 학산면,충청북도 영동군 양산면,충청북도 영동군 심천면
2020년02월_계_총인구수,"48,364","21,531","3,394","4,382","2,314","1,954","2,409","3,304",975,"2,857","1,874","3,370"
2020년02월_계_연령구간인구수,"48,364","21,531","3,394","4,382","2,314","1,954","2,409","3,304",975,"2,857","1,874","3,370"
2020년02월_계_0~9세,"2,530","1,638",115,188,46,56,76,120,32,101,46,112
2020년02월_계_10~19세,"3,619","2,285",166,266,125,95,109,192,54,99,83,145
2020년02월_계_20~29세,"4,697","2,849",237,335,163,125,120,336,49,166,103,214
2020년02월_계_30~39세,"3,560","2,115",194,280,112,90,115,194,41,138,81,200
2020년02월_계_40~49세,"5,635","3,135",348,455,216,158,205,302,76,220,197,323
2020년02월_계_50~59세,"8,654","3,588",684,831,460,366,418,649,177,539,328,614
2020년02월_계_60~69세,"8,790","2,897",738,924,503,455,571,657,217,659,403,766
2020년02월_계_70~79세,"6,445","1,939",506,683,391,318,457,492,191,514,362,592
2020년02월_계_80~89세,"3,851",945,349,372,254,263,284,329,120,357,224,354
2020년02월_계_90~99세,551,126,53,43,43,28,53,32,17,60,47,49
2020년02월_계_100세 이상,32,14,4,5,1,0,1,1,1,4,0,1
2020년02월_남_총인구수,"23,990","10,646","1,716","2,198","1,136",951,"1,163","1,671",475,"1,436",931,"1,667"
2020년02월_남_연령구간인구수,"23,990","10,646","1,716","2,198","1,136",951,"1,163","1,671",475,"1,436",931,"1,667"
2020년02월_남_0~9세,"1,308",840,63,105,23,29,33,51,17,62,29,56
2020년02월_남_10~19세,"1,862","1,151",87,135,65,53,68,108,32,50,40,73
2020년02월_남_20~29세,"2,607","1,532",135,200,97,67,65,209,21,100,61,120
2020년02월_남_30~39세,"1,875","1,076",113,143,60,56,59,115,26,80,49,98
2020년02월_남_40~49세,"3,100","1,613",192,265,132,99,126,168,46,144,117,198
2020년02월_남_50~59세,"4,530","1,830",371,440,235,193,226,353,98,292,174,318
2020년02월_남_60~69세,"4,434","1,431",389,483,253,232,283,328,113,322,206,394
2020년02월_남_70~79세,"2,815",824,239,287,169,124,201,215,80,242,163,271
2020년02월_남_80~89세,"1,324",322,114,131,93,92,92,117,37,128,76,122
2020년02월_남_90~99세,126,22,12,8,8,6,10,7,5,15,16,17
2020년02월_남_100세 이상,9,5,1,1,1,0,0,0,0,1,0,0
2020년02월_여_총인구수,"24,374","10,885","1,678","2,184","1,178","1,003","1,246","1,633",500,"1,421",943,"1,703"
2020년02월_여_연령구간인구수,"24,374","10,885","1,678","2,184","1,178","1,003","1,246","1,633",500,"1,421",943,"1,703"
2020년02월_여_0~9세,"1,222",798,52,83,23,27,43,69,15,39,17,56
2020년02월_여_10~19세,"1,757","1,134",79,131,60,42,41,84,22,49,43,72
2020년02월_여_20~29세,"2,090","1,317",102,135,66,58,55,127,28,66,42,94
2020년02월_여_30~39세,"1,685","1,039",81,137,52,34,56,79,15,58,32,102
2020년02월_여_40~49세,"2,535","1,522",156,190,84,59,79,134,30,76,80,125
2020년02월_여_50~59세,"4,124","1,758",313,391,225,173,192,296,79,247,154,296
2020년02월_여_60~69세,"4,356","1,466",349,441,250,223,288,329,104,337,197,372
2020년02월_여_70~79세,"3,630","1,115",267,396,222,194,256,277,111,272,199,321
2020년02월_여_80~89세,"2,527",623,235,241,161,171,192,212,83,229,148,232
2020년02월_여_90~99세,425,104,41,35,35,22,43,25,12,45,31,32
2020년02월_여_100세 이상,23,9,3,4,0,0,1,1,1,3,0,1
