카테고리,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2020년05월_계_총인구수,"31,842","10,212","1,450","1,905","2,623","8,572","1,999","1,610","3,471"
2020년05월_계_연령구간인구수,"31,842","10,212","1,450","1,905","2,623","8,572","1,999","1,610","3,471"
2020년05월_계_0~9세,"1,481",617,37,47,67,522,43,28,120
2020년05월_계_10~19세,"2,117",934,47,48,81,803,45,54,105
2020년05월_계_20~29세,"2,629",993,98,133,228,757,138,74,208
2020년05월_계_30~39세,"2,428",866,74,111,183,810,121,71,192
2020년05월_계_40~49세,"3,993","1,581",103,159,259,"1,292",160,141,298
2020년05월_계_50~59세,"6,045","1,880",261,359,561,"1,631",424,293,636
2020년05월_계_60~69세,"6,100","1,629",349,437,585,"1,451",477,359,813
2020년05월_계_70~79세,"4,114","1,055",245,353,381,835,344,316,585
2020년05월_계_80~89세,"2,625",595,214,228,246,430,216,250,446
2020년05월_계_90~99세,303,62,20,29,31,41,31,23,66
2020년05월_계_100세 이상,7,0,2,1,1,0,0,1,2
2020년05월_남_총인구수,"16,293","5,138",722,945,"1,431","4,433","1,073",825,"1,726"
2020년05월_남_연령구간인구수,"16,293","5,138",722,945,"1,431","4,433","1,073",825,"1,726"
2020년05월_남_0~9세,753,315,21,23,32,263,25,13,61
2020년05월_남_10~19세,"1,132",505,26,29,40,429,25,24,54
2020년05월_남_20~29세,"1,507",562,55,72,133,432,88,48,117
2020년05월_남_30~39세,"1,344",450,48,67,116,431,77,48,107
2020년05월_남_40~49세,"2,250",833,55,98,169,705,110,91,189
2020년05월_남_50~59세,"3,364","1,038",141,194,329,879,260,173,350
2020년05월_남_60~69세,"3,191",788,198,228,334,766,260,182,435
2020년05월_남_70~79세,"1,811",440,97,153,181,371,161,154,254
2020년05월_남_80~89세,866,196,74,73,90,147,59,85,142
2020년05월_남_90~99세,71,11,6,7,7,10,8,6,16
2020년05월_남_100세 이상,4,0,1,1,0,0,0,1,1
2020년05월_여_총인구수,"15,549","5,074",728,960,"1,192","4,139",926,785,"1,745"
2020년05월_여_연령구간인구수,"15,549","5,074",728,960,"1,192","4,139",926,785,"1,745"
2020년05월_여_0~9세,728,302,16,24,35,259,18,15,59
2020년05월_여_10~19세,985,429,21,19,41,374,20,30,51
2020년05월_여_20~29세,"1,122",431,43,61,95,325,50,26,91
2020년05월_여_30~39세,"1,084",416,26,44,67,379,44,23,85
2020년05월_여_40~49세,"1,743",748,48,61,90,587,50,50,109
2020년05월_여_50~59세,"2,681",842,120,165,232,752,164,120,286
2020년05월_여_60~69세,"2,909",841,151,209,251,685,217,177,378
2020년05월_여_70~79세,"2,303",615,148,200,200,464,183,162,331
2020년05월_여_80~89세,"1,759",399,140,155,156,283,157,165,304
2020년05월_여_90~99세,232,51,14,22,24,31,23,17,50
2020년05월_여_100세 이상,3,0,1,0,1,0,0,0,1
