카테고리,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2021년05월_계_총인구수,"2,117,260","657,775","256,482","401,293","103,752","99,048","319,225","176,031","115,431","43,242","166,491","50,932","64,426","51,274","30,590","99,757","77,468","61,818"
2021년05월_계_연령구간인구수,"2,117,260","657,775","256,482","401,293","103,752","99,048","319,225","176,031","115,431","43,242","166,491","50,932","64,426","51,274","30,590","99,757","77,468","61,818"
2021년05월_계_0~9세,"168,278","60,739","19,740","40,999","5,593","5,887","32,092","15,113","7,048","3,901","15,114","2,467","2,822","2,227","1,219","7,578","3,503","2,975"
2021년05월_계_10~19세,"201,399","67,900","25,870","42,030","8,055","8,139","34,821","17,192","9,620","6,279","15,696","4,254","4,530","3,400","2,015","9,542","5,637","4,319"
2021년05월_계_20~29세,"240,593","95,783","34,925","60,858","11,001","9,334","37,131","19,055","11,129","4,895","15,964","3,870","5,222","3,736","2,544","9,439","6,655","4,835"
2021년05월_계_30~39세,"263,718","103,704","32,558","71,146","9,257","9,122","48,136","21,883","10,458","4,659","22,319","3,568","4,236","3,322","1,986","10,249","5,945","4,874"
2021년05월_계_40~49세,"326,325","111,638","42,266","69,372","13,088","13,623","57,140","27,820","14,956","8,370","26,833","6,069","6,907","5,638","3,042","14,341","9,288","7,572"
2021년05월_계_50~59세,"338,051","102,974","43,355","59,619","18,036","16,727","46,842","28,429","19,352","7,052","26,011","8,892","10,535","8,354","5,136","15,806","13,280","10,625"
2021년05월_계_60~69세,"290,722","66,947","32,724","34,223","19,037","17,589","33,619","22,982","20,516","4,686","22,004","10,159","13,378","10,390","6,372","15,303","15,259","12,481"
2021년05월_계_70~79세,"171,113","30,290","15,592","14,698","11,392","11,255","18,081","13,943","12,940","2,080","13,201","6,803","9,356","8,002","4,477","10,092","10,305","8,896"
2021년05월_계_80~89세,"101,792","15,480","8,195","7,285","7,173","6,380","9,953","8,315","8,166","1,125","8,127","4,280","6,408","5,314","3,332","6,477","6,696","4,566"
2021년05월_계_90~99세,"14,746","2,235","1,209","1,026","1,082",949,"1,354","1,259","1,197",192,"1,170",560,998,867,459,905,868,651
2021년05월_계_100세 이상,523,85,48,37,38,43,56,40,49,3,52,10,34,24,8,25,32,24
2021년05월_남_총인구수,"1,081,854","335,990","130,028","205,962","51,924","50,257","165,823","91,809","57,742","21,542","88,477","25,687","31,987","25,321","15,533","49,634","38,979","31,149"
2021년05월_남_연령구간인구수,"1,081,854","335,990","130,028","205,962","51,924","50,257","165,823","91,809","57,742","21,542","88,477","25,687","31,987","25,321","15,533","49,634","38,979","31,149"
2021년05월_남_0~9세,"86,129","31,070","10,160","20,910","2,901","2,972","16,469","7,724","3,604","1,966","7,677","1,257","1,498","1,121",618,"3,954","1,817","1,481"
2021년05월_남_10~19세,"104,556","35,160","13,479","21,681","4,162","4,225","17,898","9,125","4,959","3,305","8,243","2,228","2,398","1,747","1,060","4,885","2,918","2,243"
2021년05월_남_20~29세,"132,913","50,368","18,510","31,858","6,036","5,504","20,689","11,374","6,236","2,722","9,287","2,201","3,019","2,158","1,492","5,203","3,785","2,839"
2021년05월_남_30~39세,"142,098","55,215","17,147","38,068","4,985","4,951","25,681","12,145","5,555","2,329","12,780","1,883","2,308","1,861","1,122","5,290","3,302","2,691"
2021년05월_남_40~49세,"174,050","57,847","21,837","36,010","6,908","7,467","31,041","14,881","7,933","4,065","15,096","3,346","3,758","3,080","1,780","7,491","5,092","4,265"
2021년05월_남_50~59세,"179,102","52,856","22,053","30,803","9,302","8,948","25,356","15,284","10,220","3,543","14,693","4,918","5,561","4,552","2,817","8,280","7,157","5,615"
