,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2020년03월_계_총인구수,"117,025","30,469","10,109","4,617","13,144","7,749","9,515","3,884","3,736","4,575","6,778","17,321","5,128"
2020년03월_계_연령구간인구수,"117,025","30,469","10,109","4,617","13,144","7,749","9,515","3,884","3,736","4,575","6,778","17,321","5,128"
2020년03월_계_0~9세,"7,550","2,341",937,165,748,496,653,137,122,146,233,"1,337",235
2020년03월_계_10~19세,"9,654","3,302",887,252,996,547,808,249,161,196,387,"1,519",350
2020년03월_계_20~29세,"10,384","3,491",791,324,"1,191",709,590,258,239,291,485,"1,609",406
2020년03월_계_30~39세,"11,053","3,304","1,237",384,"1,224",771,839,312,204,299,400,"1,675",404
2020년03월_계_40~49세,"16,382","4,852","1,610",507,"1,801","1,032","1,505",458,388,412,729,"2,475",613
2020년03월_계_50~59세,"20,899","5,381","1,702",913,"2,395","1,378","1,711",698,691,889,"1,297","2,899",945
2020년03월_계_60~69세,"21,389","4,156","1,601","1,139","2,509","1,564","1,959",887,907,"1,134","1,565","2,870","1,098"
2020년03월_계_70~79세,"12,726","2,376",890,675,"1,529",840,984,567,605,697,999,"1,865",699
2020년03월_계_80~89세,"6,009","1,115",393,211,641,353,391,284,367,427,572,918,337
2020년03월_계_90~99세,914,137,58,46,100,55,69,34,45,77,108,146,39
2020년03월_계_100세 이상,65,14,3,1,10,4,6,0,7,7,3,8,2
2020년03월_남_총인구수,"58,676","15,240","4,985","2,336","6,584","3,900","4,711","1,977","1,892","2,283","3,443","8,729","2,596"
2020년03월_남_연령구간인구수,"58,676","15,240","4,985","2,336","6,584","3,900","4,711","1,977","1,892","2,283","3,443","8,729","2,596"
2020년03월_남_0~9세,"3,865","1,208",469,92,385,245,313,70,62,83,140,687,111
2020년03월_남_10~19세,"5,112","1,719",448,150,523,286,436,134,93,102,218,801,202
2020년03월_남_20~29세,"5,684","1,874",428,188,632,421,319,143,127,167,275,887,223
2020년03월_남_30~39세,"5,567","1,646",592,200,633,390,402,186,109,163,208,827,211
2020년03월_남_40~49세,"8,426","2,389",804,265,932,550,747,256,229,231,408,"1,292",323
2020년03월_남_50~59세,"10,717","2,778",847,456,"1,222",690,838,338,368,476,674,"1,534",496
2020년03월_남_60~69세,"10,576","2,075",770,535,"1,206",758,965,465,454,555,826,"1,432",535
2020년03월_남_70~79세,"6,239","1,123",464,353,750,410,526,281,295,326,461,890,360
2020년03월_남_80~89세,"2,248",389,146,87,271,134,146,99,147,161,200,344,124
2020년03월_남_90~99세,227,36,17,9,25,16,17,5,7,18,33,34,10
2020년03월_남_100세 이상,15,3,0,1,5,0,2,0,1,1,0,1,1
2020년03월_여_총인구수,"58,349","15,229","5,124","2,281","6,560","3,849","4,804","1,907","1,844","2,292","3,335","8,592","2,532"
2020년03월_여_연령구간인구수,"58,349","15,229","5,124","2,281","6,560","3,849","4,804","1,907","1,844","2,292","3,335","8,592","2,532"
2020년03월_여_0~9세,"3,685","1,133",468,73,363,251,340,67,60,63,93,650,124
2020년03월_여_10~19세,"4,542","1,583",439,102,473,261,372,115,68,94,169,718,148
2020년03월_여_20~29세,"4,700","1,617",363,136,559,288,271,115,112,124,210,722,183
2020년03월_여_30~39세,"5,486","1,658",645,184,591,381,437,126,95,136,192,848,193
2020년03월_여_40~49세,"7,956","2,463",806,242,869,482,758,202,159,181,321,"1,183",290
2020년03월_여_50~59세,"10,182","2,603",855,457,"1,173",688,873,360,323,413,623,"1,365",449
2020년03월_여_60~69세,"10,813","2,081",831,604,"1,303",806,994,422,453,579,739,"1,438",563
2020년03월_여_70~79세,"6,487","1,253",426,322,779,430,458,286,310,371,538,975,339
2020년03월_여_80~89세,"3,761",726,247,124,370,219,245,185,220,266,372,574,213
2020년03월_여_90~99세,687,101,41,37,75,39,52,29,38,59,75,112,29
2020년03월_여_100세 이상,50,11,3,0,5,4,4,0,6,6,3,7,1
