카테고리,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2020년03월_계_총인구수,"183,751","57,664","5,494","7,570","3,411","5,647","15,612","5,239","6,131","7,560","6,843","3,506","1,930","12,616","22,495","22,033"
2020년03월_계_연령구간인구수,"183,751","57,664","5,494","7,570","3,411","5,647","15,612","5,239","6,131","7,560","6,843","3,506","1,930","12,616","22,495","22,033"
2020년03월_계_0~9세,"14,642","6,262",182,484,95,238,"1,527",147,411,313,244,94,50,752,"2,098","1,745"
2020년03월_계_10~19세,"18,160","7,475",315,678,154,287,"1,195",279,353,437,396,200,85,"1,117","2,561","2,628"
2020년03월_계_20~29세,"21,688","6,449",537,732,306,519,"2,076",482,766,658,689,389,186,"1,616","3,070","3,213"
2020년03월_계_30~39세,"23,318","8,570",437,722,256,528,"2,794",399,872,651,564,289,144,"1,437","3,018","2,637"
2020년03월_계_40~49세,"29,965","11,712",586,"1,122",362,701,"2,532",568,877,850,819,347,193,"1,782","3,950","3,564"
2020년03월_계_50~59세,"30,871","8,233","1,086","1,340",699,"1,070","2,380","1,080","1,184","1,444","1,433",668,383,"2,294","3,662","3,915"
2020년03월_계_60~69세,"23,534","4,886","1,121","1,298",732,"1,124","1,723","1,113",892,"1,586","1,320",739,436,"1,886","2,322","2,356"
2020년03월_계_70~79세,"13,281","2,697",719,693,462,688,880,644,475,967,822,475,260,"1,077","1,165","1,257"
2020년03월_계_80~89세,"7,294","1,232",447,438,307,432,441,433,261,568,509,284,168,569,575,630
2020년03월_계_90~99세,943,142,59,60,36,55,60,91,37,80,43,20,24,79,72,85
2020년03월_계_100세 이상,55,6,5,3,2,5,4,3,3,6,4,1,1,7,2,3
2020년03월_남_총인구수,"94,481","29,017","2,895","3,794","1,789","3,056","8,657","2,760","3,373","3,935","3,624","1,856",999,"6,330","11,351","11,045"
2020년03월_남_연령구간인구수,"94,481","29,017","2,895","3,794","1,789","3,056","8,657","2,760","3,373","3,935","3,624","1,856",999,"6,330","11,351","11,045"
2020년03월_남_0~9세,"7,511","3,160",96,268,58,130,816,74,220,157,113,54,30,371,"1,070",894
2020년03월_남_10~19세,"9,395","3,874",182,342,87,150,587,133,182,236,202,102,43,560,"1,345","1,370"
2020년03월_남_20~29세,"11,921","3,400",310,395,187,329,"1,184",294,459,362,399,217,105,870,"1,643","1,767"
2020년03월_남_30~39세,"12,675","4,435",275,367,145,334,"1,617",245,522,391,335,189,84,781,"1,556","1,399"
2020년03월_남_40~49세,"15,995","5,987",352,599,215,438,"1,552",336,536,501,481,216,114,936,"2,041","1,691"
2020년03월_남_50~59세,"16,303","4,252",594,692,389,572,"1,380",618,637,779,808,354,202,"1,158","1,878","1,990"
2020년03월_남_60~69세,"11,867","2,285",595,670,373,608,911,589,482,813,702,389,221,928,"1,131","1,170"
2020년03월_남_70~79세,"6,019","1,180",321,297,210,329,427,312,228,469,383,225,130,490,493,525
2020년03월_남_80~89세,"2,591",410,161,153,116,155,171,144,94,209,189,108,65,217,176,223
2020년03월_남_90~99세,193,33,9,10,8,10,11,15,12,16,12,2,5,17,17,16
2020년03월_남_100세 이상,11,1,0,1,1,1,1,0,1,2,0,0,0,2,1,0
2020년03월_여_총인구수,"89,270","28,647","2,599","3,776","1,622","2,591","6,955","2,479","2,758","3,625","3,219","1,650",931,"6,286","11,144","10,988"
2020년03월_여_연령구간인구수,"89,270","28,647","2,599","3,776","1,622","2,591","6,955","2,479","2,758","3,625","3,219","1,650",931,"6,286","11,144","10,988"
2020년03월_여_0~9세,"7,131","3,102",86,216,37,108,711,73,191,156,131,40,20,381,"1,028",851
2020년03월_여_10~19세,"8,765","3,601",133,336,67,137,608,146,171,201,194,98,42,557,"1,216","1,258"
2020년03월_여_20~29세,"9,767","3,049",227,337,119,190,892,188,307,296,290,172,81,746,"1,427","1,446"
2020년03월_여_30~39세,"10,643","4,135",162,355,111,194,"1,177",154,350,260,229,100,60,656,"1,462","1,238"
2020년03월_여_40~49세,"13,970","5,725",234,523,147,263,980,232,341,349,338,131,79,846,"1,909","1,873"
2020년03월_여_50~59세,"14,568","3,981",492,648,310,498,"1,000",462,547,665,625,314,181,"1,136","1,784","1,925"
2020년03월_여_60~69세,"11,667","2,601",526,628,359,516,812,524,410,773,618,350,215,958,"1,191","1,186"
2020년03월_여_70~79세,"7,262","1,517",398,396,252,359,453,332,247,498,439,250,130,587,672,732
2020년03월_여_80~89세,"4,703",822,286,285,191,277,270,289,167,359,320,176,103,352,399,407
2020년03월_여_90~99세,750,109,50,50,28,45,49,76,25,64,31,18,19,62,55,69
2020년03월_여_100세 이상,44,5,5,2,1,4,3,3,2,4,4,1,1,5,1,3
