,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2021년11월_계_총인구수,"31,862","14,757","1,861","1,473","2,145","1,617","2,283","1,883",734,"1,726","1,639","1,744"
2021년11월_계_연령구간인구수,"31,862","14,757","1,861","1,473","2,145","1,617","2,283","1,883",734,"1,726","1,639","1,744"
2021년11월_계_0~9세,"1,343",951,30,81,47,18,55,42,20,42,31,26
2021년11월_계_10~19세,"2,023","1,306",77,73,91,48,119,84,27,66,62,70
2021년11월_계_20~29세,"2,237","1,326",114,105,77,73,154,110,21,80,81,96
2021년11월_계_30~39세,"2,025","1,227",72,139,77,63,160,71,15,56,74,71
2021년11월_계_40~49세,"3,143","1,883",135,157,144,101,179,151,56,103,102,132
2021년11월_계_50~59세,"5,589","2,629",384,233,353,247,369,298,121,312,308,335
2021년11월_계_60~69세,"7,339","2,740",518,304,590,439,557,548,240,479,439,485
2021년11월_계_70~79세,"4,446","1,524",328,200,415,325,379,298,131,307,274,265
2021년11월_계_80~89세,"3,201","1,013",172,159,307,267,281,234,89,240,220,219
2021년11월_계_90~99세,502,151,31,21,42,36,29,46,14,40,47,45
2021년11월_계_100세 이상,14,7,0,1,2,0,1,1,0,1,1,0
2021년11월_남_총인구수,"16,032","7,331",962,781,"1,027",796,"1,161",949,401,863,842,919
2021년11월_남_연령구간인구수,"16,032","7,331",962,781,"1,027",796,"1,161",949,401,863,842,919
2021년11월_남_0~9세,691,466,17,44,25,12,31,25,12,23,20,16
2021년11월_남_10~19세,"1,061",697,35,29,47,24,62,39,15,33,35,45
2021년11월_남_20~29세,"1,332",757,72,73,44,46,97,59,13,55,58,58
2021년11월_남_30~39세,"1,097",611,45,87,46,41,108,41,9,26,40,43
2021년11월_남_40~49세,"1,749",981,87,94,82,67,109,89,36,71,63,70
2021년11월_남_50~59세,"3,109","1,398",212,148,198,147,213,165,77,181,177,193
2021년11월_남_60~69세,"3,774","1,351",277,155,291,216,275,304,130,257,246,272
2021년11월_남_70~79세,"2,032",685,141,93,183,146,166,148,74,143,116,137
2021년11월_남_80~89세,"1,075",346,68,53,98,89,97,74,34,67,74,75
2021년11월_남_90~99세,112,39,8,5,13,8,3,5,1,7,13,10
2021년11월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0
2021년11월_여_총인구수,"15,830","7,426",899,692,"1,118",821,"1,122",934,333,863,797,825
2021년11월_여_연령구간인구수,"15,830","7,426",899,692,"1,118",821,"1,122",934,333,863,797,825
2021년11월_여_0~9세,652,485,13,37,22,6,24,17,8,19,11,10
2021년11월_여_10~19세,962,609,42,44,44,24,57,45,12,33,27,25
2021년11월_여_20~29세,905,569,42,32,33,27,57,51,8,25,23,38
2021년11월_여_30~39세,928,616,27,52,31,22,52,30,6,30,34,28
2021년11월_여_40~49세,"1,394",902,48,63,62,34,70,62,20,32,39,62
2021년11월_여_50~59세,"2,480","1,231",172,85,155,100,156,133,44,131,131,142
2021년11월_여_60~69세,"3,565","1,389",241,149,299,223,282,244,110,222,193,213
2021년11월_여_70~79세,"2,414",839,187,107,232,179,213,150,57,164,158,128
2021년11월_여_80~89세,"2,126",667,104,106,209,178,184,160,55,173,146,144
2021년11월_여_90~99세,390,112,23,16,29,28,26,41,13,33,34,35
2021년11월_여_100세 이상,14,7,0,1,2,0,1,1,0,1,1,0
