카테고리,부산광역시 동구,부산광역시 동구 초량제1동,부산광역시 동구 초량제2동,부산광역시 동구 초량제3동,부산광역시 동구 초량제6동,부산광역시 동구 수정제1동,부산광역시 동구 수정제2동,부산광역시 동구 수정제4동,부산광역시 동구 수정제5동,부산광역시 동구 좌천동,부산광역시 동구 범일제1동,부산광역시 동구 범일제2동,부산광역시 동구 범일제5동
2021년01월_계_총인구수,"88,763","4,827","5,806","11,496","6,337","4,246","10,038","4,130","5,543","11,058","11,977","8,710","4,595"
2021년01월_계_연령구간인구수,"88,763","4,827","5,806","11,496","6,337","4,246","10,038","4,130","5,543","11,058","11,977","8,710","4,595"
2021년01월_계_0~9세,"4,039",171,158,982,187,181,410,111,174,455,371,458,381
2021년01월_계_10~19세,"5,103",277,279,734,413,308,583,240,342,624,626,419,258
2021년01월_계_20~29세,"10,433",675,625,"1,747",652,514,"1,190",365,579,"1,295","1,281","1,073",437
2021년01월_계_30~39세,"10,400",511,562,"2,338",514,404,"1,180",307,429,"1,138","1,153","1,178",686
2021년01월_계_40~49세,"11,889",700,759,"1,756",832,572,"1,296",483,682,"1,452","1,404","1,222",731
2021년01월_계_50~59세,"14,666",773,"1,000","1,612","1,043",719,"1,630",715,972,"1,856","2,125","1,612",609
2021년01월_계_60~69세,"16,148",869,"1,202","1,290","1,237",748,"1,883",823,"1,102","2,044","2,587","1,596",767
2021년01월_계_70~79세,"10,717",593,820,687,926,552,"1,248",723,852,"1,482","1,583",785,466
2021년01월_계_80~89세,"4,672",227,334,285,456,221,551,326,356,636,750,320,210
2021년01월_계_90~99세,595,26,58,57,64,22,51,35,53,60,84,40,45
2021년01월_계_100세 이상,101,5,9,8,13,5,16,2,2,16,13,7,5
2021년01월_남_총인구수,"43,462","2,419","2,871","5,638","3,067","2,053","4,790","2,057","2,635","5,377","5,904","4,409","2,242"
2021년01월_남_연령구간인구수,"43,462","2,419","2,871","5,638","3,067","2,053","4,790","2,057","2,635","5,377","5,904","4,409","2,242"
2021년01월_남_0~9세,"2,124",72,92,517,97,94,203,62,95,259,196,238,199
2021년01월_남_10~19세,"2,646",149,142,390,230,154,292,140,171,307,301,232,138
2021년01월_남_20~29세,"5,289",349,316,743,357,276,568,211,329,696,697,547,200
2021년01월_남_30~39세,"5,564",271,320,"1,206",290,217,655,176,225,597,634,621,352
2021년01월_남_40~49세,"6,361",395,435,905,422,297,667,274,369,774,775,647,401
2021년01월_남_50~59세,"7,478",428,528,816,537,362,797,397,468,913,"1,108",825,299
2021년01월_남_60~69세,"7,636",404,549,633,576,324,863,405,488,959,"1,241",801,393
2021년01월_남_70~79세,"4,599",270,353,312,387,235,548,284,365,625,683,355,182
2021년01월_남_80~89세,"1,589",72,111,99,154,89,179,96,113,232,245,130,69
2021년01월_남_90~99세,145,7,21,12,12,5,15,12,12,9,21,11,8
2021년01월_남_100세 이상,31,2,4,5,5,0,3,0,0,6,3,2,1
2021년01월_여_총인구수,"45,301","2,408","2,935","5,858","3,270","2,193","5,248","2,073","2,908","5,681","6,073","4,301","2,353"
2021년01월_여_연령구간인구수,"45,301","2,408","2,935","5,858","3,270","2,193","5,248","2,073","2,908","5,681","6,073","4,301","2,353"
2021년01월_여_0~9세,"1,915",99,66,465,90,87,207,49,79,196,175,220,182
2021년01월_여_10~19세,"2,457",128,137,344,183,154,291,100,171,317,325,187,120
2021년01월_여_20~29세,"5,144",326,309,"1,004",295,238,622,154,250,599,584,526,237
2021년01월_여_30~39세,"4,836",240,242,"1,132",224,187,525,131,204,541,519,557,334
2021년01월_여_40~49세,"5,528",305,324,851,410,275,629,209,313,678,629,575,330
2021년01월_여_50~59세,"7,188",345,472,796,506,357,833,318,504,943,"1,017",787,310
2021년01월_여_60~69세,"8,512",465,653,657,661,424,"1,020",418,614,"1,085","1,346",795,374
2021년01월_여_70~79세,"6,118",323,467,375,539,317,700,439,487,857,900,430,284
2021년01월_여_80~89세,"3,083",155,223,186,302,132,372,230,243,404,505,190,141
2021년01월_여_90~99세,450,19,37,45,52,17,36,23,41,51,63,29,37
2021년01월_여_100세 이상,70,3,5,3,8,5,13,2,2,10,10,5,4
