카테고리,울산광역시 북구,울산광역시 북구 농소1동,울산광역시 북구 농소2동,울산광역시 북구 농소3동,울산광역시 북구 강동동,울산광역시 북구 효문동,울산광역시 북구 송정동,울산광역시 북구 양정동,울산광역시 북구 염포동
2020년01월_계_총인구수,"218,053","37,794","40,116","39,661","16,037","30,239","33,519","10,295","10,392"
2020년01월_계_연령구간인구수,"218,053","37,794","40,116","39,661","16,037","30,239","33,519","10,295","10,392"
2020년01월_계_0~9세,"26,152","4,834","5,684","4,183","2,679","2,818","4,280",810,864
2020년01월_계_10~19세,"23,814","3,980","4,587","6,421","1,187","2,501","3,518",806,814
2020년01월_계_20~29세,"28,321","4,475","4,655","5,003","1,289","4,849","4,847","1,809","1,394"
2020년01월_계_30~39세,"35,446","6,198","6,989","4,420","3,621","5,023","5,931","1,697","1,567"
2020년01월_계_40~49세,"38,084","6,602","7,274","8,749","2,462","4,571","5,405","1,468","1,553"
2020년01월_계_50~59세,"38,233","6,369","6,281","6,790","2,166","6,410","6,088","2,119","2,010"
2020년01월_계_60~69세,"17,679","3,342","2,922","2,338","1,573","2,750","2,245","1,066","1,443"
2020년01월_계_70~79세,"6,984","1,390","1,146","1,205",653,894,776,366,554
2020년01월_계_80~89세,"2,891",521,500,476,347,372,373,132,170
2020년01월_계_90~99세,432,79,77,75,55,50,55,21,20
2020년01월_계_100세 이상,17,4,1,1,5,1,1,1,3
2020년01월_남_총인구수,"112,773","19,298","20,546","20,132","8,237","16,077","17,105","5,843","5,535"
2020년01월_남_연령구간인구수,"112,773","19,298","20,546","20,132","8,237","16,077","17,105","5,843","5,535"
2020년01월_남_0~9세,"13,426","2,484","2,946","2,163","1,347","1,475","2,188",387,436
2020년01월_남_10~19세,"12,465","2,047","2,398","3,391",598,"1,315","1,839",440,437
2020년01월_남_20~29세,"15,853","2,479","2,542","2,722",694,"2,720","2,647","1,202",847
2020년01월_남_30~39세,"18,316","3,117","3,494","2,070","1,860","2,870","2,994","1,028",883
2020년01월_남_40~49세,"19,424","3,417","3,766","4,144","1,395","2,390","2,611",833,868
2020년01월_남_50~59세,"19,968","3,237","3,223","3,761","1,092","3,306","3,154","1,182","1,013"
2020년01월_남_60~69세,"9,260","1,744","1,500","1,210",838,"1,472","1,200",556,740
2020년01월_남_70~79세,"3,166",610,529,515,305,411,367,180,249
2020년01월_남_80~89세,829,148,142,141,98,110,99,33,58
2020년01월_남_90~99세,63,14,6,15,10,7,6,2,3
2020년01월_남_100세 이상,3,1,0,0,0,1,0,0,1
2020년01월_여_총인구수,"105,280","18,496","19,570","19,529","7,800","14,162","16,414","4,452","4,857"
2020년01월_여_연령구간인구수,"105,280","18,496","19,570","19,529","7,800","14,162","16,414","4,452","4,857"
2020년01월_여_0~9세,"12,726","2,350","2,738","2,020","1,332","1,343","2,092",423,428
2020년01월_여_10~19세,"11,349","1,933","2,189","3,030",589,"1,186","1,679",366,377
2020년01월_여_20~29세,"12,468","1,996","2,113","2,281",595,"2,129","2,200",607,547
2020년01월_여_30~39세,"17,130","3,081","3,495","2,350","1,761","2,153","2,937",669,684
2020년01월_여_40~49세,"18,660","3,185","3,508","4,605","1,067","2,181","2,794",635,685
2020년01월_여_50~59세,"18,265","3,132","3,058","3,029","1,074","3,104","2,934",937,997
2020년01월_여_60~69세,"8,419","1,598","1,422","1,128",735,"1,278","1,045",510,703
2020년01월_여_70~79세,"3,818",780,617,690,348,483,409,186,305
2020년01월_여_80~89세,"2,062",373,358,335,249,262,274,99,112
2020년01월_여_90~99세,369,65,71,60,45,43,49,19,17
2020년01월_여_100세 이상,14,3,1,1,5,0,1,1,2
