카테고리,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2021년07월_계_총인구수,"267,453","27,145","35,686","20,734","5,789","5,495","3,313","3,705","2,951","9,796","6,438","19,924","35,776","35,725","16,143","38,833"
2021년07월_계_연령구간인구수,"267,453","27,145","35,686","20,734","5,789","5,495","3,313","3,705","2,951","9,796","6,438","19,924","35,776","35,725","16,143","38,833"
2021년07월_계_0~9세,"19,977","1,812","2,245","2,228",141,134,71,115,78,527,201,"1,928","2,603","3,814",958,"3,122"
2021년07월_계_10~19세,"22,925","2,858","3,312","1,200",256,247,104,153,100,571,389,"1,983","3,863","2,910",780,"4,199"
2021년07월_계_20~29세,"36,455","4,081","5,332","3,116",469,444,201,249,236,"1,507",954,"2,017","4,324","4,468","3,737","5,320"
2021년07월_계_30~39세,"33,142","2,824","3,843","3,980",446,392,196,215,178,"1,156",674,"2,546","3,797","5,368","2,761","4,766"
2021년07월_계_40~49세,"41,672","4,290","6,063","3,037",596,591,270,358,269,"1,246",778,"3,530","6,108","5,648","2,174","6,714"
2021년07월_계_50~59세,"45,526","4,447","6,926","2,796","1,148",991,564,687,568,"1,869","1,251","3,001","6,155","6,035","2,447","6,641"
2021년07월_계_60~69세,"36,924","3,453","4,324","2,407","1,404","1,343",871,900,715,"1,763","1,164","2,672","4,985","4,324","1,899","4,700"
2021년07월_계_70~79세,"19,913","2,172","2,321","1,236",808,837,615,582,509,796,636,"1,519","2,602","2,160",927,"2,193"
2021년07월_계_80~89세,"9,696","1,092","1,186",651,461,456,369,380,251,323,358,644,"1,186",897,404,"1,038"
2021년07월_계_90~99세,"1,189",111,131,80,59,57,51,63,45,38,32,83,149,98,56,136
2021년07월_계_100세 이상,34,5,3,3,1,3,1,3,2,0,1,1,4,3,0,4
2021년07월_남_총인구수,"134,544","13,662","18,646","11,040","3,108","2,797","1,746","1,919","1,521","4,744","3,192","9,814","17,008","17,146","8,819","19,382"
2021년07월_남_연령구간인구수,"134,544","13,662","18,646","11,040","3,108","2,797","1,746","1,919","1,521","4,744","3,192","9,814","17,008","17,146","8,819","19,382"
2021년07월_남_0~9세,"10,152",944,"1,161","1,174",72,71,34,57,45,267,111,977,"1,245","1,862",517,"1,615"
2021년07월_남_10~19세,"11,863","1,522","1,669",640,136,129,53,76,53,292,210,"1,085","1,887","1,437",416,"2,258"
2021년07월_남_20~29세,"19,919","2,281","3,069","1,737",288,249,131,158,147,765,521,"1,079","2,212","2,358","2,049","2,875"
2021년07월_남_30~39세,"17,846","1,551","2,191","2,253",256,238,123,129,107,611,396,"1,311","1,835","2,677","1,683","2,485"
2021년07월_남_40~49세,"21,369","2,091","3,170","1,782",378,369,172,212,157,611,398,"1,768","2,955","2,709","1,279","3,318"
2021년07월_남_50~59세,"22,817","2,273","3,711","1,428",650,505,324,381,321,872,624,"1,453","2,942","2,773","1,314","3,246"
2021년07월_남_60~69세,"18,076","1,678","2,243","1,214",755,701,483,492,352,844,564,"1,220","2,352","1,988",937,"2,253"
2021년07월_남_70~79세,"8,899",916,"1,003",573,401,384,296,285,246,369,253,665,"1,107",972,468,961
2021년07월_남_80~89세,"3,334",380,391,220,160,143,120,117,79,106,108,237,438,343,146,346
2021년07월_남_90~99세,263,25,38,19,11,8,10,12,12,7,7,19,35,26,10,24
2021년07월_남_100세 이상,6,1,0,0,1,0,0,0,2,0,0,0,0,1,0,1
2021년07월_여_총인구수,"132,909","13,483","17,040","9,694","2,681","2,698","1,567","1,786","1,430","5,052","3,246","10,110","18,768","18,579","7,324","19,451"
2021년07월_여_연령구간인구수,"132,909","13,483","17,040","9,694","2,681","2,698","1,567","1,786","1,430","5,052","3,246","10,110","18,768","18,579","7,324","19,451"
2021년07월_여_0~9세,"9,825",868,"1,084","1,054",69,63,37,58,33,260,90,951,"1,358","1,952",441,"1,507"
2021년07월_여_10~19세,"11,062","1,336","1,643",560,120,118,51,77,47,279,179,898,"1,976","1,473",364,"1,941"
2021년07월_여_20~29세,"16,536","1,800","2,263","1,379",181,195,70,91,89,742,433,938,"2,112","2,110","1,688","2,445"
2021년07월_여_30~39세,"15,296","1,273","1,652","1,727",190,154,73,86,71,545,278,"1,235","1,962","2,691","1,078","2,281"
2021년07월_여_40~49세,"20,303","2,199","2,893","1,255",218,222,98,146,112,635,380,"1,762","3,153","2,939",895,"3,396"
2021년07월_여_50~59세,"22,709","2,174","3,215","1,368",498,486,240,306,247,997,627,"1,548","3,213","3,262","1,133","3,395"
2021년07월_여_60~69세,"18,848","1,775","2,081","1,193",649,642,388,408,363,919,600,"1,452","2,633","2,336",962,"2,447"
2021년07월_여_70~79세,"11,014","1,256","1,318",663,407,453,319,297,263,427,383,854,"1,495","1,188",459,"1,232"
2021년07월_여_80~89세,"6,362",712,795,431,301,313,249,263,172,217,250,407,748,554,258,692
2021년07월_여_90~99세,926,86,93,61,48,49,41,51,33,31,25,64,114,72,46,112
2021년07월_여_100세 이상,28,4,3,3,0,3,1,3,0,0,1,1,4,2,0,3
