,광주광역시,광주광역시 동구,광주광역시 서구,광주광역시 남구,광주광역시 북구,광주광역시 광산구
2021년08월_계_총인구수,"1,441,970","103,333","292,400","214,051","427,773","404,413"
2021년08월_계_연령구간인구수,"1,441,970","103,333","292,400","214,051","427,773","404,413"
2021년08월_계_0~9세,"115,509","7,283","20,611","16,968","32,460","38,187"
2021년08월_계_10~19세,"153,624","7,294","30,355","22,569","41,839","51,567"
2021년08월_계_20~29세,"207,467","14,873","44,766","27,563","61,536","58,729"
2021년08월_계_30~39세,"182,218","13,471","35,437","25,046","54,871","53,393"
2021년08월_계_40~49세,"236,974","14,032","47,303","34,042","66,208","75,389"
2021년08월_계_50~59세,"234,286","15,520","49,397","32,760","71,189","65,420"
2021년08월_계_60~69세,"169,907","15,050","35,431","28,828","55,326","35,272"
2021년08월_계_70~79세,"94,129","10,260","19,390","17,457","29,837","17,185"
2021년08월_계_80~89세,"41,623","4,844","8,438","7,645","12,665","8,031"
2021년08월_계_90~99세,"5,995",671,"1,225","1,133","1,777","1,189"
2021년08월_계_100세 이상,238,35,47,40,65,51
2021년08월_남_총인구수,"713,286","50,981","143,271","102,881","212,410","203,743"
2021년08월_남_연령구간인구수,"713,286","50,981","143,271","102,881","212,410","203,743"
2021년08월_남_0~9세,"59,220","3,764","10,679","8,625","16,585","19,567"
2021년08월_남_10~19세,"79,544","3,721","15,977","11,287","22,056","26,503"
2021년08월_남_20~29세,"108,281","7,638","22,905","14,134","32,378","31,226"
2021년08월_남_30~39세,"93,241","6,972","18,057","12,460","28,600","27,152"
2021년08월_남_40~49세,"117,683","7,327","22,814","16,774","33,243","37,525"
2021년08월_남_50~59세,"116,312","7,679","24,232","15,545","34,938","33,918"
2021년08월_남_60~69세,"81,019","7,115","16,625","13,181","26,331","17,767"
2021년08월_남_70~79세,"41,790","4,539","8,639","7,787","13,365","7,460"
2021년08월_남_80~89세,"14,874","2,025","3,065","2,841","4,545","2,398"
2021년08월_남_90~99세,"1,294",193,275,241,364,221
2021년08월_남_100세 이상,28,8,3,6,5,6
2021년08월_여_총인구수,"728,684","52,352","149,129","111,170","215,363","200,670"
2021년08월_여_연령구간인구수,"728,684","52,352","149,129","111,170","215,363","200,670"
2021년08월_여_0~9세,"56,289","3,519","9,932","8,343","15,875","18,620"
2021년08월_여_10~19세,"74,080","3,573","14,378","11,282","19,783","25,064"
2021년08월_여_20~29세,"99,186","7,235","21,861","13,429","29,158","27,503"
2021년08월_여_30~39세,"88,977","6,499","17,380","12,586","26,271","26,241"
2021년08월_여_40~49세,"119,291","6,705","24,489","17,268","32,965","37,864"
2021년08월_여_50~59세,"117,974","7,841","25,165","17,215","36,251","31,502"
2021년08월_여_60~69세,"88,888","7,935","18,806","15,647","28,995","17,505"
2021년08월_여_70~79세,"52,339","5,721","10,751","9,670","16,472","9,725"
2021년08월_여_80~89세,"26,749","2,819","5,373","4,804","8,120","5,633"
2021년08월_여_90~99세,"4,701",478,950,892,"1,413",968
2021년08월_여_100세 이상,210,27,44,34,60,45
