,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2020년07월_계_총인구수,"229,432","17,810","10,231","7,733","19,948","16,131","14,378","10,247","12,369","18,347","28,402","8,753","6,921","9,290","21,275","13,280","14,317"
2020년07월_계_연령구간인구수,"229,432","17,810","10,231","7,733","19,948","16,131","14,378","10,247","12,369","18,347","28,402","8,753","6,921","9,290","21,275","13,280","14,317"
2020년07월_계_0~9세,"13,858","1,032",412,215,721,"1,386",962,790,803,942,"2,836",569,251,442,"1,235",793,469
2020년07월_계_10~19세,"15,897","1,316",591,261,"1,225",862,"1,301",790,864,908,"2,969",503,302,511,"1,162","1,524",808
2020년07월_계_20~29세,"33,262","2,591","1,575",975,"4,221","2,434","1,889","1,601","1,850","2,808","3,023",991,"1,038","1,391","2,811","1,813","2,251"
2020년07월_계_30~39세,"38,096","2,844","1,786","1,036","3,168","3,679","2,117","1,850","2,046","3,687","3,778","1,526","1,126","1,693","4,075","1,520","2,165"
2020년07월_계_40~49세,"35,883","2,781","1,451","1,128","2,810","2,661","2,362","1,588","1,882","2,587","5,021","1,231",907,"1,399","3,436","2,509","2,130"
2020년07월_계_50~59세,"36,668","2,927","1,473","1,692","3,088","2,184","2,360","1,564","1,989","3,026","4,523","1,388","1,133","1,291","3,273","2,220","2,537"
2020년07월_계_60~69세,"28,167","2,214","1,456","1,345","2,367","1,629","1,708","1,026","1,519","2,252","2,942","1,316","1,064","1,184","2,744","1,398","2,003"
2020년07월_계_70~79세,"17,244","1,356",931,704,"1,552",839,"1,054",639,956,"1,346","1,868",782,633,863,"1,640",810,"1,271"
2020년07월_계_80~89세,"8,396",586,444,279,658,361,539,329,378,611,"1,178",371,371,420,705,602,564
2020년07월_계_90~99세,"1,596",134,90,66,104,78,73,57,68,137,230,61,74,82,160,85,97
2020년07월_계_100세 이상,365,29,22,32,34,18,13,13,14,43,34,15,22,14,34,6,22
2020년07월_남_총인구수,"110,438","8,670","4,919","4,745","9,326","7,782","6,778","4,853","5,887","8,852","13,271","4,117","3,275","4,281","10,239","6,364","7,079"
2020년07월_남_연령구간인구수,"110,438","8,670","4,919","4,745","9,326","7,782","6,778","4,853","5,887","8,852","13,271","4,117","3,275","4,281","10,239","6,364","7,079"
2020년07월_남_0~9세,"7,167",543,222,108,347,711,482,407,411,491,"1,473",300,125,232,658,401,256
2020년07월_남_10~19세,"8,088",724,300,143,657,444,523,403,448,480,"1,484",262,156,241,590,775,458
2020년07월_남_20~29세,"15,842","1,327",815,457,"1,687","1,034",897,736,864,"1,262","1,482",485,528,694,"1,412",903,"1,259"
2020년07월_남_30~39세,"19,006","1,463",915,559,"1,692","1,784","1,082",915,"1,013","1,760","1,682",769,616,847,"2,000",719,"1,190"
