카테고리,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2020년02월_계_총인구수,"116,902","30,469","10,098","4,622","13,040","7,753","9,511","3,895","3,722","4,570","6,765","17,324","5,133"
2020년02월_계_연령구간인구수,"116,902","30,469","10,098","4,622","13,040","7,753","9,511","3,895","3,722","4,570","6,765","17,324","5,133"
2020년02월_계_0~9세,"7,549","2,335",942,167,741,494,654,137,119,148,231,"1,342",239
2020년02월_계_10~19세,"9,699","3,331",890,249,994,544,806,252,164,192,392,"1,534",351
2020년02월_계_20~29세,"10,355","3,463",789,331,"1,172",710,592,261,237,292,480,"1,622",406
2020년02월_계_30~39세,"11,086","3,323","1,240",386,"1,225",779,848,316,201,295,405,"1,668",400
2020년02월_계_40~49세,"16,403","4,873","1,612",501,"1,800","1,029","1,513",459,390,417,724,"2,468",617
2020년02월_계_50~59세,"20,936","5,371","1,714",911,"2,388","1,397","1,719",703,696,882,"1,302","2,902",951
2020년02월_계_60~69세,"21,209","4,128","1,579","1,139","2,461","1,557","1,934",888,897,"1,136","1,545","2,847","1,098"
2020년02월_계_70~79세,"12,711","2,382",882,676,"1,519",836,981,561,602,699,"1,002","1,876",695
2020년02월_계_80~89세,"5,979","1,112",390,212,634,353,385,283,364,425,572,913,336
2020년02월_계_90~99세,915,137,57,49,98,50,74,35,46,77,109,145,38
2020년02월_계_100세 이상,60,14,3,1,8,4,5,0,6,7,3,7,2
2020년02월_남_총인구수,"58,630","15,240","4,979","2,339","6,531","3,909","4,716","1,980","1,880","2,275","3,439","8,741","2,601"
2020년02월_남_연령구간인구수,"58,630","15,240","4,979","2,339","6,531","3,909","4,716","1,980","1,880","2,275","3,439","8,741","2,601"
2020년02월_남_0~9세,"3,865","1,204",467,96,381,245,311,69,61,83,140,691,117
2020년02월_남_10~19세,"5,139","1,739",453,147,521,284,438,133,94,99,218,813,200
2020년02월_남_20~29세,"5,658","1,853",421,188,623,423,320,145,124,166,277,894,224
2020년02월_남_30~39세,"5,597","1,656",591,200,635,395,409,191,107,164,215,822,212
2020년02월_남_40~49세,"8,444","2,403",812,265,930,552,748,254,229,231,399,"1,294",327
2020년02월_남_50~59세,"10,729","2,771",854,457,"1,215",702,848,342,372,469,672,"1,534",493
2020년02월_남_60~69세,"10,498","2,066",759,537,"1,184",748,952,467,449,557,823,"1,419",537
2020년02월_남_70~79세,"6,220","1,126",457,351,746,409,525,275,292,326,460,897,356
2020년02월_남_80~89세,"2,234",382,147,87,266,136,145,99,144,160,201,343,124
2020년02월_남_90~99세,234,37,18,10,26,15,19,5,8,19,34,33,10
2020년02월_남_100세 이상,12,3,0,1,4,0,1,0,0,1,0,1,1
2020년02월_여_총인구수,"58,272","15,229","5,119","2,283","6,509","3,844","4,795","1,915","1,842","2,295","3,326","8,583","2,532"
2020년02월_여_연령구간인구수,"58,272","15,229","5,119","2,283","6,509","3,844","4,795","1,915","1,842","2,295","3,326","8,583","2,532"
2020년02월_여_0~9세,"3,684","1,131",475,71,360,249,343,68,58,65,91,651,122
2020년02월_여_10~19세,"4,560","1,592",437,102,473,260,368,119,70,93,174,721,151
2020년02월_여_20~29세,"4,697","1,610",368,143,549,287,272,116,113,126,203,728,182
2020년02월_여_30~39세,"5,489","1,667",649,186,590,384,439,125,94,131,190,846,188
2020년02월_여_40~49세,"7,959","2,470",800,236,870,477,765,205,161,186,325,"1,174",290
2020년02월_여_50~59세,"10,207","2,600",860,454,"1,173",695,871,361,324,413,630,"1,368",458
2020년02월_여_60~69세,"10,711","2,062",820,602,"1,277",809,982,421,448,579,722,"1,428",561
2020년02월_여_70~79세,"6,491","1,256",425,325,773,427,456,286,310,373,542,979,339
2020년02월_여_80~89세,"3,745",730,243,125,368,217,240,184,220,265,371,570,212
2020년02월_여_90~99세,681,100,39,39,72,35,55,30,38,58,75,112,28
2020년02월_여_100세 이상,48,11,3,0,4,4,4,0,6,6,3,6,1
