카테고리,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2021년11월_계_총인구수,"213,093","16,629","3,466","1,578","4,208","4,219","3,493","4,647","6,341","15,160","4,790","3,392","25,881","7,737","10,422","12,840","4,742","10,113","16,438","17,745","28,099","11,153"
2021년11월_계_연령구간인구수,"213,093","16,629","3,466","1,578","4,208","4,219","3,493","4,647","6,341","15,160","4,790","3,392","25,881","7,737","10,422","12,840","4,742","10,113","16,438","17,745","28,099","11,153"
2021년11월_계_0~9세,"12,895",653,133,28,211,100,93,183,313,"1,266",153,88,"1,671",337,416,526,276,886,"1,348",892,"2,242","1,080"
2021년11월_계_10~19세,"18,528",953,197,31,272,185,147,239,441,"1,475",283,153,"2,907",604,735,"1,119",391,995,"1,508","1,463","3,371","1,059"
2021년11월_계_20~29세,"24,676","1,431",275,90,337,404,263,420,482,"1,723",529,329,"3,571",920,"1,264","1,620",530,"1,159","2,372","1,961","3,365","1,631"
2021년11월_계_30~39세,"21,267","1,226",207,79,326,285,208,386,532,"1,945",410,267,"2,597",762,885,"1,244",539,"1,277","2,033","1,535","3,115","1,409"
2021년11월_계_40~49세,"31,726","2,018",375,92,488,425,306,575,913,"2,558",601,395,"4,384","1,004","1,398","1,788",692,"1,644","2,676","2,433","5,022","1,939"
2021년11월_계_50~59세,"36,706","3,011",669,312,708,741,649,851,"1,063","2,492",761,607,"4,479","1,398","1,977","2,383",928,"1,674","2,554","3,103","4,622","1,724"
2021년11월_계_60~69세,"35,679","3,634",790,506,981,970,897,"1,084","1,389","2,005","1,000",713,"3,386","1,460","2,041","2,405",776,"1,466","2,254","3,070","3,542","1,310"
2021년11월_계_70~79세,"19,469","2,283",442,264,495,647,547,538,756,"1,067",629,548,"1,771",790,"1,126","1,117",363,633,"1,069","2,027","1,716",641
2021년11월_계_80~89세,"10,398","1,214",323,150,304,398,334,307,392,531,344,264,974,397,512,539,218,314,533,"1,091",952,307
2021년11월_계_90~99세,"1,694",200,53,26,82,63,48,61,57,93,79,26,136,63,65,97,29,63,87,165,148,53
2021년11월_계_100세 이상,55,6,2,0,4,1,1,3,3,5,1,2,5,2,3,2,0,2,4,5,4,0
2021년11월_남_총인구수,"105,749","8,133","1,753",846,"2,144","2,246","1,799","2,406","3,177","7,386","2,291","1,744","12,618","3,832","5,138","6,320","2,320","4,853","8,220","8,907","13,916","5,700"
2021년11월_남_연령구간인구수,"105,749","8,133","1,753",846,"2,144","2,246","1,799","2,406","3,177","7,386","2,291","1,744","12,618","3,832","5,138","6,320","2,320","4,853","8,220","8,907","13,916","5,700"
2021년11월_남_0~9세,"6,641",336,71,22,114,54,47,99,148,658,77,48,847,182,219,269,124,427,681,447,"1,205",566
2021년11월_남_10~19세,"9,731",529,105,10,146,103,89,135,228,735,130,86,"1,503",316,386,596,205,511,785,811,"1,786",536
2021년11월_남_20~29세,"13,554",827,171,53,200,268,169,250,273,886,272,187,"1,888",461,678,867,316,603,"1,302","1,122","1,834",927
2021년11월_남_30~39세,"11,238",649,118,60,164,183,128,212,290,"1,008",239,152,"1,338",436,486,685,300,635,"1,021",834,"1,582",718
2021년11월_남_40~49세,"16,160","1,086",215,57,277,285,175,329,487,"1,229",318,234,"2,054",506,753,919,321,784,"1,400","1,300","2,446",985
2021년11월_남_50~59세,"18,567","1,551",341,171,385,414,365,448,545,"1,243",405,327,"2,253",705,973,"1,172",437,784,"1,247","1,633","2,296",872
2021년11월_남_60~69세,"17,034","1,710",401,267,506,511,472,539,684,948,444,337,"1,566",688,904,"1,106",375,698,"1,088","1,439","1,707",644
2021년11월_남_70~79세,"8,717",966,223,138,232,286,244,260,367,473,267,251,764,376,506,506,154,272,497,874,725,336
2021년11월_남_80~89세,"3,761",431,100,63,103,128,99,124,143,183,117,118,380,152,214,186,81,128,182,416,308,105
2021년11월_남_90~99세,335,47,8,5,15,14,11,10,10,23,21,4,25,10,18,13,7,11,17,29,26,11
2021년11월_남_100세 이상,11,1,0,0,2,0,0,0,2,0,1,0,0,0,1,1,0,0,0,2,1,0
2021년11월_여_총인구수,"107,344","8,496","1,713",732,"2,064","1,973","1,694","2,241","3,164","7,774","2,499","1,648","13,263","3,905","5,284","6,520","2,422","5,260","8,218","8,838","14,183","5,453"
2021년11월_여_연령구간인구수,"107,344","8,496","1,713",732,"2,064","1,973","1,694","2,241","3,164","7,774","2,499","1,648","13,263","3,905","5,284","6,520","2,422","5,260","8,218","8,838","14,183","5,453"
2021년11월_여_0~9세,"6,254",317,62,6,97,46,46,84,165,608,76,40,824,155,197,257,152,459,667,445,"1,037",514
2021년11월_여_10~19세,"8,797",424,92,21,126,82,58,104,213,740,153,67,"1,404",288,349,523,186,484,723,652,"1,585",523
2021년11월_여_20~29세,"11,122",604,104,37,137,136,94,170,209,837,257,142,"1,683",459,586,753,214,556,"1,070",839,"1,531",704
2021년11월_여_30~39세,"10,029",577,89,19,162,102,80,174,242,937,171,115,"1,259",326,399,559,239,642,"1,012",701,"1,533",691
2021년11월_여_40~49세,"15,566",932,160,35,211,140,131,246,426,"1,329",283,161,"2,330",498,645,869,371,860,"1,276","1,133","2,576",954
2021년11월_여_50~59세,"18,139","1,460",328,141,323,327,284,403,518,"1,249",356,280,"2,226",693,"1,004","1,211",491,890,"1,307","1,470","2,326",852
2021년11월_여_60~69세,"18,645","1,924",389,239,475,459,425,545,705,"1,057",556,376,"1,820",772,"1,137","1,299",401,768,"1,166","1,631","1,835",666
2021년11월_여_70~79세,"10,752","1,317",219,126,263,361,303,278,389,594,362,297,"1,007",414,620,611,209,361,572,"1,153",991,305
2021년11월_여_80~89세,"6,637",783,223,87,201,270,235,183,249,348,227,146,594,245,298,353,137,186,351,675,644,202
2021년11월_여_90~99세,"1,359",153,45,21,67,49,37,51,47,70,58,22,111,53,47,84,22,52,70,136,122,42
2021년11월_여_100세 이상,44,5,2,0,2,1,1,3,1,5,0,2,5,2,2,1,0,2,4,3,3,0
