카테고리,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2021년01월_계_총인구수,"479,223","37,372","39,616","28,340","23,103","28,818","32,695","27,244","30,973","27,546","25,186","46,521","27,512","20,816","15,350","11,257","56,874"
2021년01월_계_연령구간인구수,"479,223","37,372","39,616","28,340","23,103","28,818","32,695","27,244","30,973","27,546","25,186","46,521","27,512","20,816","15,350","11,257","56,874"
2021년01월_계_0~9세,"29,387","2,465","2,367","1,109",992,"1,546","1,781","1,178","2,241","3,237",987,"2,664","1,606","1,087",733,693,"4,701"
2021년01월_계_10~19세,"38,521","2,312","2,688","1,798","1,586","2,452","2,861","1,653","2,600","2,285","1,630","3,515","2,109","1,677","1,187",769,"7,399"
2021년01월_계_20~29세,"66,911","5,067","5,432","4,308","3,730","4,373","4,447","4,895","4,215","2,768","3,634","6,525","3,891","2,945","2,095","1,505","7,081"
2021년01월_계_30~39세,"68,232","6,061","5,410","3,848","3,035","3,878","4,094","4,188","5,179","4,991","3,370","6,649","4,110","2,792","2,039","1,738","6,850"
2021년01월_계_40~49세,"76,435","5,803","5,986","3,924","3,319","4,727","5,109","4,091","5,214","5,213","3,582","7,607","4,181","3,168","2,252","1,529","10,730"
2021년01월_계_50~59세,"77,199","5,898","6,750","4,919","3,986","4,781","5,666","4,157","4,595","3,606","4,232","7,661","4,478","3,522","2,569","1,987","8,392"
2021년01월_계_60~69세,"64,721","5,116","5,625","4,435","3,500","3,692","4,623","3,543","3,622","2,916","3,797","6,312","3,897","3,163","2,441","1,705","6,334"
2021년01월_계_70~79세,"39,219","3,156","3,536","2,767","2,109","2,316","2,776","2,393","2,265","1,721","2,624","3,886","2,255","1,661","1,418",881,"3,455"
2021년01월_계_80~89세,"16,040","1,291","1,585","1,097",722,917,"1,158","1,014",905,697,"1,158","1,492",880,696,527,389,"1,512"
2021년01월_계_90~99세,"2,132",178,203,123,109,117,160,110,127,91,151,185,96,89,79,56,258
2021년01월_계_100세 이상,426,25,34,12,15,19,20,22,10,21,21,25,9,16,10,5,162
2021년01월_남_총인구수,"229,827","17,793","18,756","13,732","11,245","13,660","16,243","12,689","14,696","13,384","12,284","21,948","13,288","10,394","7,466","5,556","26,693"
2021년01월_남_연령구간인구수,"229,827","17,793","18,756","13,732","11,245","13,660","16,243","12,689","14,696","13,384","12,284","21,948","13,288","10,394","7,466","5,556","26,693"
2021년01월_남_0~9세,"15,023","1,226","1,239",545,530,797,892,607,"1,136","1,672",529,"1,342",781,557,368,364,"2,438"
2021년01월_남_10~19세,"19,689","1,154","1,405",914,815,"1,237","1,391",773,"1,365","1,179",834,"1,778","1,108",934,608,409,"3,785"
2021년01월_남_20~29세,"32,205","2,380","2,636","2,162","1,897","2,106","2,194","2,145","1,934","1,404","1,840","3,104","1,981","1,531","1,036",771,"3,084"
2021년01월_남_30~39세,"33,700","3,030","2,650","2,007","1,604","1,904","2,098","2,079","2,535","2,359","1,768","3,208","2,078","1,474","1,039",885,"2,982"
2021년01월_남_40~49세,"37,762","2,929","2,899","2,033","1,675","2,276","2,570","2,007","2,550","2,666","1,833","3,799","2,063","1,604","1,112",763,"4,983"
2021년01월_남_50~59세,"37,159","2,819","3,155","2,277","1,834","2,239","2,853","2,014","2,241","1,760","2,124","3,580","2,101","1,694","1,254","1,003","4,211"
2021년01월_남_60~69세,"29,850","2,284","2,555","2,079","1,613","1,689","2,306","1,577","1,586","1,317","1,760","2,789","1,801","1,538","1,157",828,"2,971"
2021년01월_남_70~79세,"17,293","1,392","1,517","1,232",940,985,"1,368","1,022",968,736,"1,096","1,710",994,753,642,384,"1,554"
2021년01월_남_80~89세,"6,460",530,622,446,305,386,516,425,342,256,454,591,354,272,228,134,599
2021년01월_남_90~99세,603,42,68,33,30,33,46,33,39,28,41,43,26,32,18,13,78
2021년01월_남_100세 이상,83,7,10,4,2,8,9,7,0,7,5,4,1,5,4,2,8
2021년01월_여_총인구수,"249,396","19,579","20,860","14,608","11,858","15,158","16,452","14,555","16,277","14,162","12,902","24,573","14,224","10,422","7,884","5,701","30,181"
2021년01월_여_연령구간인구수,"249,396","19,579","20,860","14,608","11,858","15,158","16,452","14,555","16,277","14,162","12,902","24,573","14,224","10,422","7,884","5,701","30,181"
2021년01월_여_0~9세,"14,364","1,239","1,128",564,462,749,889,571,"1,105","1,565",458,"1,322",825,530,365,329,"2,263"
2021년01월_여_10~19세,"18,832","1,158","1,283",884,771,"1,215","1,470",880,"1,235","1,106",796,"1,737","1,001",743,579,360,"3,614"
2021년01월_여_20~29세,"34,706","2,687","2,796","2,146","1,833","2,267","2,253","2,750","2,281","1,364","1,794","3,421","1,910","1,414","1,059",734,"3,997"
2021년01월_여_30~39세,"34,532","3,031","2,760","1,841","1,431","1,974","1,996","2,109","2,644","2,632","1,602","3,441","2,032","1,318","1,000",853,"3,868"
2021년01월_여_40~49세,"38,673","2,874","3,087","1,891","1,644","2,451","2,539","2,084","2,664","2,547","1,749","3,808","2,118","1,564","1,140",766,"5,747"
