,충청북도 옥천군,충청북도 옥천군 옥천읍,충청북도 옥천군 동이면,충청북도 옥천군 안남면,충청북도 옥천군 안내면,충청북도 옥천군 청성면,충청북도 옥천군 청산면,충청북도 옥천군 이원면,충청북도 옥천군 군서면,충청북도 옥천군 군북면
2020년10월_계_총인구수,"50,696","29,115","3,211","1,423","1,947","2,345","3,035","4,271","2,297","3,052"
2020년10월_계_연령구간인구수,"50,696","29,115","3,211","1,423","1,947","2,345","3,035","4,271","2,297","3,052"
2020년10월_계_0~9세,"2,651","2,158",94,40,37,28,57,109,59,69
2020년10월_계_10~19세,"3,922","3,066",124,67,72,57,140,206,76,114
2020년10월_계_20~29세,"4,411","3,146",222,64,94,90,136,276,176,207
2020년10월_계_30~39세,"3,928","2,802",181,76,76,84,127,268,129,185
2020년10월_계_40~49세,"6,298","4,518",282,101,167,128,222,401,176,303
2020년10월_계_50~59세,"9,045","5,028",622,273,322,457,520,783,432,608
2020년10월_계_60~69세,"9,749","4,289",814,349,511,642,809,985,563,787
2020년10월_계_70~79세,"6,341","2,657",482,246,353,435,594,721,394,459
2020년10월_계_80~89세,"3,742","1,258",331,173,263,368,379,441,259,270
2020년10월_계_90~99세,581,187,58,34,44,53,47,78,33,47
2020년10월_계_100세 이상,28,6,1,0,8,3,4,3,0,3
2020년10월_남_총인구수,"25,519","14,544","1,654",712,989,"1,174","1,467","2,189","1,196","1,594"
2020년10월_남_연령구간인구수,"25,519","14,544","1,654",712,989,"1,174","1,467","2,189","1,196","1,594"
2020년10월_남_0~9세,"1,383","1,129",54,21,17,15,25,54,32,36
2020년10월_남_10~19세,"2,076","1,617",62,37,38,33,73,112,37,67
2020년10월_남_20~29세,"2,492","1,736",141,38,56,58,81,163,97,122
2020년10월_남_30~39세,"2,046","1,403",103,46,48,44,61,161,75,105
2020년10월_남_40~49세,"3,382","2,292",165,67,105,85,133,256,111,168
2020년10월_남_50~59세,"4,837","2,597",339,142,194,254,293,427,248,343
2020년10월_남_60~69세,"4,976","2,098",432,187,265,350,410,507,305,422
2020년10월_남_70~79세,"2,917","1,170",233,115,165,206,269,353,191,215
2020년10월_남_80~89세,"1,255",461,105,51,87,110,108,136,92,105
2020년10월_남_90~99세,148,40,20,8,11,19,13,18,8,11
2020년10월_남_100세 이상,7,1,0,0,3,0,1,2,0,0
2020년10월_여_총인구수,"25,177","14,571","1,557",711,958,"1,171","1,568","2,082","1,101","1,458"
2020년10월_여_연령구간인구수,"25,177","14,571","1,557",711,958,"1,171","1,568","2,082","1,101","1,458"
2020년10월_여_0~9세,"1,268","1,029",40,19,20,13,32,55,27,33
2020년10월_여_10~19세,"1,846","1,449",62,30,34,24,67,94,39,47
2020년10월_여_20~29세,"1,919","1,410",81,26,38,32,55,113,79,85
2020년10월_여_30~39세,"1,882","1,399",78,30,28,40,66,107,54,80
2020년10월_여_40~49세,"2,916","2,226",117,34,62,43,89,145,65,135
2020년10월_여_50~59세,"4,208","2,431",283,131,128,203,227,356,184,265
2020년10월_여_60~69세,"4,773","2,191",382,162,246,292,399,478,258,365
2020년10월_여_70~79세,"3,424","1,487",249,131,188,229,325,368,203,244
2020년10월_여_80~89세,"2,487",797,226,122,176,258,271,305,167,165
2020년10월_여_90~99세,433,147,38,26,33,34,34,60,25,36
2020년10월_여_100세 이상,21,5,1,0,5,3,3,1,0,3
