카테고리,전라북도 김제시,전라북도 김제시 만경읍,전라북도 김제시 죽산면,전라북도 김제시 백산면,전라북도 김제시 용지면,전라북도 김제시 백구면,전라북도 김제시 부량면,전라북도 김제시 공덕면,전라북도 김제시 청하면,전라북도 김제시 성덕면,전라북도 김제시 진봉면,전라북도 김제시 금구면,전라북도 김제시 봉남면,전라북도 김제시 황산면,전라북도 김제시 금산면,전라북도 김제시 광활면,전라북도 김제시 요촌동,전라북도 김제시 신풍동,전라북도 김제시 검산동,전라북도 김제시 교월동
2020년01월_계_총인구수,"83,803","2,730","2,577","2,568","3,774","3,915","1,369","2,593","1,814","1,879","2,742","4,992","2,252","1,932","4,764","1,371","11,337","12,898","11,644","6,652"
2020년01월_계_연령구간인구수,"83,803","2,730","2,577","2,568","3,774","3,915","1,369","2,593","1,814","1,879","2,742","4,992","2,252","1,932","4,764","1,371","11,337","12,898","11,644","6,652"
2020년01월_계_0~9세,"4,668",111,67,71,117,134,53,85,57,44,49,199,57,47,155,45,805,961,"1,135",476
2020년01월_계_10~19세,"6,484",127,117,133,167,235,68,128,87,79,113,314,97,76,239,67,"1,054","1,406","1,464",513
2020년01월_계_20~29세,"7,506",177,135,174,309,301,100,209,102,124,139,417,137,147,350,91,"1,324","1,396","1,265",609
2020년01월_계_30~39세,"7,032",188,150,164,241,271,96,161,111,118,163,342,151,100,306,80,"1,181","1,299","1,261",649
2020년01월_계_40~49세,"10,374",267,226,258,372,417,105,233,185,202,250,584,192,192,476,154,"1,609","1,920","1,945",787
2020년01월_계_50~59세,"14,245",457,412,455,654,727,214,457,269,294,430,964,374,372,918,222,"1,930","2,163","1,817","1,116"
2020년01월_계_60~69세,"14,063",632,573,531,772,735,276,561,381,384,587,951,438,374,931,259,"1,630","1,664","1,329","1,055"
2020년01월_계_70~79세,"11,129",413,483,457,645,623,251,402,338,355,561,741,432,352,797,278,"1,066","1,255",847,833
2020년01월_계_80~89세,"7,149",309,365,274,412,406,182,308,242,231,380,424,332,238,507,154,634,731,500,520
2020년01월_계_90~99세,"1,089",48,45,44,80,66,22,48,40,45,70,54,41,33,76,21,96,102,80,78
2020년01월_계_100세 이상,64,1,4,7,5,0,2,1,2,3,0,2,1,1,9,0,8,1,1,16
2020년01월_남_총인구수,"41,594","1,392","1,288","1,329","1,877","1,939",655,"1,311",907,953,"1,313","2,548","1,099",976,"2,399",711,"5,588","6,347","5,636","3,326"
2020년01월_남_연령구간인구수,"41,594","1,392","1,288","1,329","1,877","1,939",655,"1,311",907,953,"1,313","2,548","1,099",976,"2,399",711,"5,588","6,347","5,636","3,326"
2020년01월_남_0~9세,"2,422",69,37,43,50,70,28,44,35,22,26,103,35,26,86,24,407,515,561,241
2020년01월_남_10~19세,"3,337",70,69,70,85,111,39,58,46,46,59,169,48,45,140,32,517,729,739,265
2020년01월_남_20~29세,"4,145",104,86,98,168,157,57,124,61,71,76,230,77,79,196,56,711,766,684,344
2020년01월_남_30~39세,"3,770",123,82,100,140,153,56,93,67,72,104,192,94,61,176,50,614,657,609,327
2020년01월_남_40~49세,"5,870",163,152,173,251,251,75,144,116,136,159,352,140,131,288,111,842,972,955,459
2020년01월_남_50~59세,"7,712",247,240,277,351,407,114,259,143,169,250,536,207,210,515,127,985,"1,104",965,606
2020년01월_남_60~69세,"7,005",336,293,261,398,366,129,297,194,200,286,493,205,191,476,131,768,813,632,536
2020년01월_남_70~79세,"4,819",183,213,211,293,275,97,181,147,154,225,325,175,161,335,120,493,515,346,370
2020년01월_남_80~89세,"2,243",86,107,88,113,125,54,97,87,72,118,135,112,61,164,53,227,251,132,161
2020년01월_남_90~99세,260,11,8,7,26,24,6,14,10,11,10,13,6,11,23,7,20,25,13,15
2020년01월_남_100세 이상,11,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,2
2020년01월_여_총인구수,"42,209","1,338","1,289","1,239","1,897","1,976",714,"1,282",907,926,"1,429","2,444","1,153",956,"2,365",660,"5,749","6,551","6,008","3,326"
2020년01월_여_연령구간인구수,"42,209","1,338","1,289","1,239","1,897","1,976",714,"1,282",907,926,"1,429","2,444","1,153",956,"2,365",660,"5,749","6,551","6,008","3,326"
2020년01월_여_0~9세,"2,246",42,30,28,67,64,25,41,22,22,23,96,22,21,69,21,398,446,574,235
2020년01월_여_10~19세,"3,147",57,48,63,82,124,29,70,41,33,54,145,49,31,99,35,537,677,725,248
2020년01월_여_20~29세,"3,361",73,49,76,141,144,43,85,41,53,63,187,60,68,154,35,613,630,581,265
2020년01월_여_30~39세,"3,262",65,68,64,101,118,40,68,44,46,59,150,57,39,130,30,567,642,652,322
2020년01월_여_40~49세,"4,504",104,74,85,121,166,30,89,69,66,91,232,52,61,188,43,767,948,990,328
2020년01월_여_50~59세,"6,533",210,172,178,303,320,100,198,126,125,180,428,167,162,403,95,945,"1,059",852,510
2020년01월_여_60~69세,"7,058",296,280,270,374,369,147,264,187,184,301,458,233,183,455,128,862,851,697,519
2020년01월_여_70~79세,"6,310",230,270,246,352,348,154,221,191,201,336,416,257,191,462,158,573,740,501,463
2020년01월_여_80~89세,"4,906",223,258,186,299,281,128,211,155,159,262,289,220,177,343,101,407,480,368,359
2020년01월_여_90~99세,829,37,37,37,54,42,16,34,30,34,60,41,35,22,53,14,76,77,67,63
2020년01월_여_100세 이상,53,1,3,6,3,0,2,1,1,3,0,2,1,1,9,0,4,1,1,14
