,경기도 의왕시,경기도 의왕시 고천동,경기도 의왕시 부곡동,경기도 의왕시 오전동,경기도 의왕시 내손1동,경기도 의왕시 내손2동,경기도 의왕시 청계동
2021년10월_계_총인구수,"163,704","14,223","29,478","39,269","20,819","22,666","37,249"
2021년10월_계_연령구간인구수,"163,704","14,223","29,478","39,269","20,819","22,666","37,249"
2021년10월_계_0~9세,"12,735",883,"2,112","2,897","1,461","2,242","3,140"
2021년10월_계_10~19세,"14,169",913,"2,351","3,864","1,930","2,054","3,057"
2021년10월_계_20~29세,"22,870","2,320","4,089","5,150","3,198","3,027","5,086"
2021년10월_계_30~39세,"22,911","2,647","4,196","4,967","2,400","3,392","5,309"
2021년10월_계_40~49세,"24,146","1,691","4,267","6,062","3,017","3,504","5,605"
2021년10월_계_50~59세,"29,337","1,976","5,189","7,138","4,099","4,006","6,929"
2021년10월_계_60~69세,"23,142","2,260","4,042","5,846","2,973","2,806","5,215"
2021년10월_계_70~79세,"9,196","1,007","2,027","2,256","1,051",984,"1,871"
2021년10월_계_80~89세,"4,421",436,"1,059",931,574,557,864
2021년10월_계_90~99세,754,88,143,155,110,93,165
2021년10월_계_100세 이상,23,2,3,3,6,1,8
2021년10월_남_총인구수,"81,341","7,219","14,996","19,479","10,206","11,134","18,307"
2021년10월_남_연령구간인구수,"81,341","7,219","14,996","19,479","10,206","11,134","18,307"
2021년10월_남_0~9세,"6,582",472,"1,110","1,432",760,"1,147","1,661"
2021년10월_남_10~19세,"7,276",479,"1,210","1,994","1,012","1,072","1,509"
2021년10월_남_20~29세,"12,035","1,208","2,227","2,729","1,656","1,562","2,653"
2021년10월_남_30~39세,"11,782","1,440","2,287","2,526","1,181","1,653","2,695"
2021년10월_남_40~49세,"11,991",896,"2,254","2,951","1,424","1,731","2,735"
2021년10월_남_50~59세,"14,061",922,"2,565","3,447","1,957","1,912","3,258"
2021년10월_남_60~69세,"11,553","1,128","2,021","2,905","1,508","1,418","2,573"
2021년10월_남_70~79세,"4,333",500,903,"1,110",479,433,908
2021년10월_남_80~89세,"1,549",152,382,350,203,184,278
2021년10월_남_90~99세,177,22,37,34,26,22,36
2021년10월_남_100세 이상,2,0,0,1,0,0,1
2021년10월_여_총인구수,"82,363","7,004","14,482","19,790","10,613","11,532","18,942"
2021년10월_여_연령구간인구수,"82,363","7,004","14,482","19,790","10,613","11,532","18,942"
2021년10월_여_0~9세,"6,153",411,"1,002","1,465",701,"1,095","1,479"
2021년10월_여_10~19세,"6,893",434,"1,141","1,870",918,982,"1,548"
2021년10월_여_20~29세,"10,835","1,112","1,862","2,421","1,542","1,465","2,433"
2021년10월_여_30~39세,"11,129","1,207","1,909","2,441","1,219","1,739","2,614"
2021년10월_여_40~49세,"12,155",795,"2,013","3,111","1,593","1,773","2,870"
2021년10월_여_50~59세,"15,276","1,054","2,624","3,691","2,142","2,094","3,671"
2021년10월_여_60~69세,"11,589","1,132","2,021","2,941","1,465","1,388","2,642"
2021년10월_여_70~79세,"4,863",507,"1,124","1,146",572,551,963
2021년10월_여_80~89세,"2,872",284,677,581,371,373,586
2021년10월_여_90~99세,577,66,106,121,84,71,129
2021년10월_여_100세 이상,21,2,3,2,6,1,7
