카테고리,충청북도 옥천군,충청북도 옥천군 옥천읍,충청북도 옥천군 동이면,충청북도 옥천군 안남면,충청북도 옥천군 안내면,충청북도 옥천군 청성면,충청북도 옥천군 청산면,충청북도 옥천군 이원면,충청북도 옥천군 군서면,충청북도 옥천군 군북면
2020년01월_계_총인구수,"50,987","29,227","3,237","1,438","1,957","2,348","3,108","4,284","2,317","3,071"
2020년01월_계_연령구간인구수,"50,987","29,227","3,237","1,438","1,957","2,348","3,108","4,284","2,317","3,071"
2020년01월_계_0~9세,"2,758","2,241",89,40,34,35,60,111,67,81
2020년01월_계_10~19세,"4,071","3,160",138,66,71,62,142,225,85,122
2020년01월_계_20~29세,"4,596","3,203",244,78,101,96,163,273,193,245
2020년01월_계_30~39세,"4,122","2,955",185,71,72,93,134,282,143,187
2020년01월_계_40~49세,"6,451","4,604",306,100,175,139,245,393,181,308
2020년01월_계_50~59세,"9,188","4,984",633,281,343,454,565,841,446,641
2020년01월_계_60~69세,"9,346","4,123",768,338,509,611,784,932,545,736
2020년01월_계_70~79세,"6,189","2,557",498,238,341,444,589,699,376,447
2020년01월_계_80~89세,"3,701","1,229",314,191,253,366,378,463,252,255
2020년01월_계_90~99세,538,164,60,34,53,45,45,62,29,46
2020년01월_계_100세 이상,27,7,2,1,5,3,3,3,0,3
2020년01월_남_총인구수,"25,693","14,648","1,672",723,982,"1,169","1,505","2,175","1,211","1,608"
2020년01월_남_연령구간인구수,"25,693","14,648","1,672",723,982,"1,169","1,505","2,175","1,211","1,608"
2020년01월_남_0~9세,"1,452","1,180",51,20,14,17,27,59,38,46
2020년01월_남_10~19세,"2,150","1,666",72,36,36,35,74,116,42,73
2020년01월_남_20~29세,"2,605","1,772",159,51,59,67,93,154,111,139
2020년01월_남_30~39세,"2,132","1,474",108,41,50,46,63,167,77,106
2020년01월_남_40~49세,"3,527","2,389",181,70,110,94,149,246,119,169
2020년01월_남_50~59세,"4,862","2,556",335,146,193,239,315,461,249,368
2020년01월_남_60~69세,"4,793","2,003",414,184,273,337,401,484,304,393
2020년01월_남_70~79세,"2,793","1,128",226,108,148,207,264,334,174,204
2020년01월_남_80~89세,"1,243",443,109,57,85,111,106,141,93,98
2020년01월_남_90~99세,129,36,17,10,11,16,12,11,4,12
2020년01월_남_100세 이상,7,1,0,0,3,0,1,2,0,0
2020년01월_여_총인구수,"25,294","14,579","1,565",715,975,"1,179","1,603","2,109","1,106","1,463"
2020년01월_여_연령구간인구수,"25,294","14,579","1,565",715,975,"1,179","1,603","2,109","1,106","1,463"
2020년01월_여_0~9세,"1,306","1,061",38,20,20,18,33,52,29,35
2020년01월_여_10~19세,"1,921","1,494",66,30,35,27,68,109,43,49
2020년01월_여_20~29세,"1,991","1,431",85,27,42,29,70,119,82,106
2020년01월_여_30~39세,"1,990","1,481",77,30,22,47,71,115,66,81
2020년01월_여_40~49세,"2,924","2,215",125,30,65,45,96,147,62,139
2020년01월_여_50~59세,"4,326","2,428",298,135,150,215,250,380,197,273
2020년01월_여_60~69세,"4,553","2,120",354,154,236,274,383,448,241,343
2020년01월_여_70~79세,"3,396","1,429",272,130,193,237,325,365,202,243
2020년01월_여_80~89세,"2,458",786,205,134,168,255,272,322,159,157
2020년01월_여_90~99세,409,128,43,24,42,29,33,51,25,34
2020년01월_여_100세 이상,20,6,2,1,2,3,2,1,0,3
