카테고리,충청북도 옥천군,충청북도 옥천군 옥천읍,충청북도 옥천군 동이면,충청북도 옥천군 안남면,충청북도 옥천군 안내면,충청북도 옥천군 청성면,충청북도 옥천군 청산면,충청북도 옥천군 이원면,충청북도 옥천군 군서면,충청북도 옥천군 군북면
2020년03월_계_총인구수,"50,791","29,157","3,232","1,433","1,945","2,339","3,092","4,248","2,294","3,051"
2020년03월_계_연령구간인구수,"50,791","29,157","3,232","1,433","1,945","2,339","3,092","4,248","2,294","3,051"
2020년03월_계_0~9세,"2,737","2,233",91,39,31,34,64,110,61,74
2020년03월_계_10~19세,"4,017","3,124",134,69,72,61,139,217,83,118
2020년03월_계_20~29세,"4,489","3,161",239,71,96,89,157,260,185,231
2020년03월_계_30~39세,"4,053","2,911",181,73,71,86,135,275,134,187
2020년03월_계_40~49세,"6,397","4,584",302,102,171,137,239,389,175,298
2020년03월_계_50~59세,"9,123","4,962",635,274,334,453,553,825,446,641
2020년03월_계_60~69세,"9,445","4,186",778,344,506,605,784,948,549,745
2020년03월_계_70~79세,"6,211","2,575",490,236,354,450,593,698,371,444
2020년03월_계_80~89세,"3,743","1,239",321,193,257,373,379,457,261,263
2020년03월_계_90~99세,549,175,60,31,48,48,45,66,29,47
2020년03월_계_100세 이상,27,7,1,1,5,3,4,3,0,3
2020년03월_남_총인구수,"25,596","14,622","1,668",720,977,"1,172","1,501","2,150","1,189","1,597"
2020년03월_남_연령구간인구수,"25,596","14,622","1,668",720,977,"1,172","1,501","2,150","1,189","1,597"
2020년03월_남_0~9세,"1,447","1,182",53,20,14,17,29,58,32,42
2020년03월_남_10~19세,"2,107","1,634",69,38,37,36,74,109,41,69
2020년03월_남_20~29세,"2,566","1,765",159,45,57,64,90,149,105,132
2020년03월_남_30~39세,"2,094","1,448",104,43,48,43,67,163,73,105
2020년03월_남_40~49세,"3,477","2,365",176,69,107,89,142,243,117,169
2020년03월_남_50~59세,"4,843","2,559",338,142,191,242,313,450,246,362
2020년03월_남_60~69세,"4,839","2,039",415,190,266,337,400,490,302,400
2020년03월_남_70~79세,"2,824","1,138",225,107,159,216,267,336,175,201
2020년03월_남_80~89세,"1,260",455,110,58,85,111,107,135,94,105
2020년03월_남_90~99세,132,36,19,8,10,17,11,15,4,12
2020년03월_남_100세 이상,7,1,0,0,3,0,1,2,0,0
2020년03월_여_총인구수,"25,195","14,535","1,564",713,968,"1,167","1,591","2,098","1,105","1,454"
2020년03월_여_연령구간인구수,"25,195","14,535","1,564",713,968,"1,167","1,591","2,098","1,105","1,454"
2020년03월_여_0~9세,"1,290","1,051",38,19,17,17,35,52,29,32
2020년03월_여_10~19세,"1,910","1,490",65,31,35,25,65,108,42,49
2020년03월_여_20~29세,"1,923","1,396",80,26,39,25,67,111,80,99
2020년03월_여_30~39세,"1,959","1,463",77,30,23,43,68,112,61,82
2020년03월_여_40~49세,"2,920","2,219",126,33,64,48,97,146,58,129
2020년03월_여_50~59세,"4,280","2,403",297,132,143,211,240,375,200,279
2020년03월_여_60~69세,"4,606","2,147",363,154,240,268,384,458,247,345
2020년03월_여_70~79세,"3,387","1,437",265,129,195,234,326,362,196,243
2020년03월_여_80~89세,"2,483",784,211,135,172,262,272,322,167,158
2020년03월_여_90~99세,417,139,41,23,38,31,34,51,25,35
2020년03월_여_100세 이상,20,6,1,1,2,3,3,1,0,3
