카테고리,광주광역시,광주광역시 동구,광주광역시 서구,광주광역시 남구,광주광역시 북구,광주광역시 광산구
2020년01월_계_총인구수,"1,456,688","98,642","301,339","218,035","433,147","405,525"
2020년01월_계_연령구간인구수,"1,456,688","98,642","301,339","218,035","433,147","405,525"
2020년01월_계_0~9세,"125,900","6,622","23,386","18,202","34,954","42,736"
2020년01월_계_10~19세,"163,590","7,425","33,593","23,567","44,950","54,055"
2020년01월_계_20~29세,"207,983","13,858","45,420","28,704","62,838","57,163"
2020년01월_계_30~39세,"192,125","12,495","38,814","27,056","57,274","56,486"
2020년01월_계_40~49세,"244,541","13,653","50,443","34,403","68,580","77,462"
2020년01월_계_50~59세,"233,833","15,414","49,808","33,904","72,762","61,945"
2020년01월_계_60~69세,"154,208","14,009","32,456","27,101","50,222","30,420"
2020년01월_계_70~79세,"90,935","10,103","18,610","17,011","28,443","16,768"
2020년01월_계_80~89세,"37,735","4,397","7,595","6,932","11,432","7,379"
2020년01월_계_90~99세,"5,438",609,"1,145","1,056","1,579","1,049"
2020년01월_계_100세 이상,400,57,69,99,113,62
2020년01월_남_총인구수,"720,931","48,775","147,877","105,018","215,098","204,163"
2020년01월_남_연령구간인구수,"720,931","48,775","147,877","105,018","215,098","204,163"
2020년01월_남_0~9세,"64,677","3,425","12,124","9,281","17,868","21,979"
2020년01월_남_10~19세,"85,034","3,868","17,628","11,872","23,807","27,859"
2020년01월_남_20~29세,"108,596","7,133","23,377","14,773","33,117","30,196"
2020년01월_남_30~39세,"97,503","6,526","19,516","13,405","29,602","28,454"
2020년01월_남_40~49세,"121,400","7,138","24,314","16,870","34,337","38,741"
2020년01월_남_50~59세,"115,774","7,583","24,379","15,995","35,429","32,388"
2020년01월_남_60~69세,"73,505","6,620","15,320","12,488","24,012","15,065"
2020년01월_남_70~79세,"40,150","4,483","8,301","7,612","12,623","7,131"
2020년01월_남_80~89세,"13,070","1,825","2,666","2,470","3,960","2,149"
2020년01월_남_90~99세,"1,172",164,243,239,330,196
2020년01월_남_100세 이상,50,10,9,13,13,5
2020년01월_여_총인구수,"735,757","49,867","153,462","113,017","218,049","201,362"
2020년01월_여_연령구간인구수,"735,757","49,867","153,462","113,017","218,049","201,362"
2020년01월_여_0~9세,"61,223","3,197","11,262","8,921","17,086","20,757"
2020년01월_여_10~19세,"78,556","3,557","15,965","11,695","21,143","26,196"
2020년01월_여_20~29세,"99,387","6,725","22,043","13,931","29,721","26,967"
2020년01월_여_30~39세,"94,622","5,969","19,298","13,651","27,672","28,032"
2020년01월_여_40~49세,"123,141","6,515","26,129","17,533","34,243","38,721"
2020년01월_여_50~59세,"118,059","7,831","25,429","17,909","37,333","29,557"
2020년01월_여_60~69세,"80,703","7,389","17,136","14,613","26,210","15,355"
2020년01월_여_70~79세,"50,785","5,620","10,309","9,399","15,820","9,637"
2020년01월_여_80~89세,"24,665","2,572","4,929","4,462","7,472","5,230"
2020년01월_여_90~99세,"4,266",445,902,817,"1,249",853
2020년01월_여_100세 이상,350,47,60,86,100,57
