카테고리,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2021년04월_계_총인구수,"291,534","16,894","26,832","22,608","11,973","14,039","23,807","15,667","15,621","23,117","14,564","26,445","16,885","13,116","16,364","11,105","10,628","11,869"
2021년04월_계_연령구간인구수,"291,534","16,894","26,832","22,608","11,973","14,039","23,807","15,667","15,621","23,117","14,564","26,445","16,885","13,116","16,364","11,105","10,628","11,869"
2021년04월_계_0~9세,"19,940","1,190","2,312","1,183",416,972,"1,777","1,168","1,281","1,725","1,350","2,547","1,004",722,801,579,512,401
2021년04월_계_10~19세,"19,576","1,189","1,573","1,638",820,998,"2,068","1,632","1,062","1,423",959,"1,657","1,122",876,868,520,565,606
2021년04월_계_20~29세,"44,600","2,461","4,305","4,261","4,658","2,228","2,980","1,767","1,822","2,835","1,478","2,885","2,642","2,107","2,256","1,990","1,701","2,224"
2021년04월_계_30~39세,"48,132","2,905","4,631","3,228","1,571","2,252","3,640","2,222","2,674","4,157","2,692","5,018","2,884","2,391","2,599","1,947","1,606","1,715"
2021년04월_계_40~49세,"44,433","2,584","4,043","2,995","1,129","2,172","3,992","2,890","2,557","3,693","2,583","4,462","2,410","2,010","2,263","1,454","1,528","1,668"
2021년04월_계_50~59세,"47,016","2,751","4,403","3,675","1,294","2,276","3,922","2,496","2,363","3,682","2,114","3,892","3,150","2,019","3,090","1,806","1,944","2,139"
2021년04월_계_60~69세,"37,230","2,134","3,085","3,046",968,"1,682","2,868","1,701","2,156","2,993","1,817","3,298","2,250","1,704","2,663","1,546","1,663","1,656"
2021년04월_계_70~79세,"20,622","1,179","1,633","1,737",743,985,"1,744","1,168","1,123","1,744","1,068","1,754",981,897,"1,264",841,757,"1,004"
2021년04월_계_80~89세,"8,748",441,746,729,326,402,723,547,520,763,444,776,398,352,488,369,309,415
2021년04월_계_90~99세,"1,135",58,99,106,38,61,90,68,62,95,55,138,41,36,59,46,43,40
2021년04월_계_100세 이상,102,2,2,10,10,11,3,8,1,7,4,18,3,2,13,7,0,1
2021년04월_남_총인구수,"142,277","8,183","12,807","11,167","6,138","6,778","11,163","7,443","7,451","11,008","6,941","12,309","8,450","6,452","8,553","5,619","5,618","6,197"
2021년04월_남_연령구간인구수,"142,277","8,183","12,807","11,167","6,138","6,778","11,163","7,443","7,451","11,008","6,941","12,309","8,450","6,452","8,553","5,619","5,618","6,197"
2021년04월_남_0~9세,"10,170",589,"1,200",604,220,492,880,594,634,890,690,"1,268",541,373,423,299,265,208
2021년04월_남_10~19세,"9,766",606,800,811,358,479,941,803,557,699,499,858,584,443,447,268,306,307
2021년04월_남_20~29세,"22,023","1,169","1,999","2,157","2,547","1,080","1,402",865,914,"1,433",745,"1,317","1,366","1,033","1,185",929,880,"1,002"
2021년04월_남_30~39세,"23,639","1,454","2,148","1,673",871,"1,097","1,731","1,089","1,232","1,995","1,259","2,254","1,442","1,173","1,401","1,019",879,922
2021년04월_남_40~49세,"22,258","1,290","2,016","1,505",598,"1,065","1,925","1,383","1,308","1,810","1,273","2,192","1,169",975,"1,210",748,846,945
2021년04월_남_50~59세,"23,433","1,331","2,091","1,803",634,"1,103","1,914","1,220","1,137","1,755","1,048","1,793","1,599","1,043","1,669",968,"1,062","1,263"
2021년04월_남_60~69세,"18,187","1,040","1,526","1,510",450,842,"1,323",762,984,"1,384",810,"1,512","1,138",849,"1,423",826,893,915
2021년04월_남_70~79세,"9,178",512,735,781,322,437,753,504,487,754,447,766,452,430,579,394,356,469
2021년04월_남_80~89세,"3,287",177,269,295,124,158,272,202,181,254,152,307,143,124,204,145,120,160
2021년04월_남_90~99세,302,14,23,26,9,22,21,19,17,31,16,37,14,7,9,20,11,6
2021년04월_남_100세 이상,34,1,0,2,5,3,1,2,0,3,2,5,2,2,3,3,0,0
2021년04월_여_총인구수,"149,257","8,711","14,025","11,441","5,835","7,261","12,644","8,224","8,170","12,109","7,623","14,136","8,435","6,664","7,811","5,486","5,010","5,672"
2021년04월_여_연령구간인구수,"149,257","8,711","14,025","11,441","5,835","7,261","12,644","8,224","8,170","12,109","7,623","14,136","8,435","6,664","7,811","5,486","5,010","5,672"
2021년04월_여_0~9세,"9,770",601,"1,112",579,196,480,897,574,647,835,660,"1,279",463,349,378,280,247,193
2021년04월_여_10~19세,"9,810",583,773,827,462,519,"1,127",829,505,724,460,799,538,433,421,252,259,299
2021년04월_여_20~29세,"22,577","1,292","2,306","2,104","2,111","1,148","1,578",902,908,"1,402",733,"1,568","1,276","1,074","1,071","1,061",821,"1,222"
2021년04월_여_30~39세,"24,493","1,451","2,483","1,555",700,"1,155","1,909","1,133","1,442","2,162","1,433","2,764","1,442","1,218","1,198",928,727,793
2021년04월_여_40~49세,"22,175","1,294","2,027","1,490",531,"1,107","2,067","1,507","1,249","1,883","1,310","2,270","1,241","1,035","1,053",706,682,723
2021년04월_여_50~59세,"23,583","1,420","2,312","1,872",660,"1,173","2,008","1,276","1,226","1,927","1,066","2,099","1,551",976,"1,421",838,882,876
2021년04월_여_60~69세,"19,043","1,094","1,559","1,536",518,840,"1,545",939,"1,172","1,609","1,007","1,786","1,112",855,"1,240",720,770,741
2021년04월_여_70~79세,"11,444",667,898,956,421,548,991,664,636,990,621,988,529,467,685,447,401,535
2021년04월_여_80~89세,"5,461",264,477,434,202,244,451,345,339,509,292,469,255,228,284,224,189,255
2021년04월_여_90~99세,833,44,76,80,29,39,69,49,45,64,39,101,27,29,50,26,32,34
2021년04월_여_100세 이상,68,1,2,8,5,8,2,6,1,4,2,13,1,0,10,4,0,1
