,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2021년09월_계_총인구수,"103,691","5,276","1,270","7,017","5,106","3,044","2,802","3,867","4,258","8,287","3,382","4,909","1,769","2,634","16,271","20,078","7,870","5,851"
2021년09월_계_연령구간인구수,"103,691","5,276","1,270","7,017","5,106","3,044","2,802","3,867","4,258","8,287","3,382","4,909","1,769","2,634","16,271","20,078","7,870","5,851"
2021년09월_계_0~9세,"5,347",129,15,256,112,51,54,83,74,417,81,92,37,60,"1,362","1,835",383,306
2021년09월_계_10~19세,"7,549",230,51,398,219,78,109,189,141,514,115,242,47,149,"1,397","2,526",594,550
2021년09월_계_20~29세,"8,695",298,124,461,346,143,169,204,196,626,157,287,89,209,"1,911","2,080",752,643
2021년09월_계_30~39세,"8,549",308,62,441,315,143,137,152,249,604,169,233,61,186,"2,174","2,052",690,573
2021년09월_계_40~49세,"12,668",492,97,727,472,197,258,335,297,971,288,362,125,301,"2,448","3,421","1,025",852
2021년09월_계_50~59세,"18,273",944,214,"1,297",939,515,535,712,837,"1,459",567,831,259,488,"2,811","3,328","1,410","1,127"
2021년09월_계_60~69세,"21,766","1,417",327,"1,653","1,348",953,763,"1,085","1,309","1,816",940,"1,315",517,592,"2,469","2,694","1,509","1,059"
2021년09월_계_70~79세,"12,800",914,225,"1,086",772,569,475,687,716,"1,137",636,855,352,415,"1,121","1,393",933,514
2021년09월_계_80~89세,"7,090",473,132,618,510,340,265,364,382,651,398,615,249,216,487,672,512,206
2021년09월_계_90~99세,926,67,23,76,71,55,34,54,55,91,29,74,33,18,89,75,62,20
2021년09월_계_100세 이상,28,4,0,4,2,0,3,2,2,1,2,3,0,0,2,2,0,1
2021년09월_남_총인구수,"50,907","2,639",634,"3,507","2,642","1,465","1,432","1,982","2,106","4,122","1,671","2,392",848,"1,276","8,045","9,644","3,665","2,837"
2021년09월_남_연령구간인구수,"50,907","2,639",634,"3,507","2,642","1,465","1,432","1,982","2,106","4,122","1,671","2,392",848,"1,276","8,045","9,644","3,665","2,837"
2021년09월_남_0~9세,"2,746",71,7,143,67,26,32,47,41,206,39,48,15,31,666,964,202,141
2021년09월_남_10~19세,"3,939",121,26,208,115,39,63,101,75,256,66,136,25,79,725,"1,340",292,272
2021년09월_남_20~29세,"5,079",184,72,281,234,90,109,130,126,394,92,163,55,140,"1,083","1,158",393,375
2021년09월_남_30~39세,"4,512",180,37,259,196,85,78,92,138,326,101,134,35,91,"1,126",982,364,288
2021년09월_남_40~49세,"6,699",299,66,435,276,127,157,209,176,548,182,200,78,161,"1,245","1,615",498,427
2021년09월_남_50~59세,"9,250",487,121,693,526,259,288,381,417,753,299,451,117,247,"1,412","1,563",694,542
2021년09월_남_60~69세,"10,699",719,157,801,701,463,390,568,669,928,463,668,277,281,"1,168","1,223",720,503
2021년09월_남_70~79세,"5,636",422,102,489,348,275,226,340,343,495,294,387,161,172,454,570,334,224
2021년09월_남_80~89세,"2,163",145,42,185,163,88,84,107,113,196,130,190,78,71,144,213,154,60
2021년09월_남_90~99세,179,10,4,13,16,13,4,7,7,20,4,14,7,3,22,16,14,5
2021년09월_남_100세 이상,5,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
2021년09월_여_총인구수,"52,784","2,637",636,"3,510","2,464","1,579","1,370","1,885","2,152","4,165","1,711","2,517",921,"1,358","8,226","10,434","4,205","3,014"
2021년09월_여_연령구간인구수,"52,784","2,637",636,"3,510","2,464","1,579","1,370","1,885","2,152","4,165","1,711","2,517",921,"1,358","8,226","10,434","4,205","3,014"
2021년09월_여_0~9세,"2,601",58,8,113,45,25,22,36,33,211,42,44,22,29,696,871,181,165
2021년09월_여_10~19세,"3,610",109,25,190,104,39,46,88,66,258,49,106,22,70,672,"1,186",302,278
2021년09월_여_20~29세,"3,616",114,52,180,112,53,60,74,70,232,65,124,34,69,828,922,359,268
2021년09월_여_30~39세,"4,037",128,25,182,119,58,59,60,111,278,68,99,26,95,"1,048","1,070",326,285
2021년09월_여_40~49세,"5,969",193,31,292,196,70,101,126,121,423,106,162,47,140,"1,203","1,806",527,425
2021년09월_여_50~59세,"9,023",457,93,604,413,256,247,331,420,706,268,380,142,241,"1,399","1,765",716,585
2021년09월_여_60~69세,"11,067",698,170,852,647,490,373,517,640,888,477,647,240,311,"1,301","1,471",789,556
2021년09월_여_70~79세,"7,164",492,123,597,424,294,249,347,373,642,342,468,191,243,667,823,599,290
2021년09월_여_80~89세,"4,927",328,90,433,347,252,181,257,269,455,268,425,171,145,343,459,358,146
2021년09월_여_90~99세,747,57,19,63,55,42,30,47,48,71,25,60,26,15,67,59,48,15
2021년09월_여_100세 이상,23,3,0,4,2,0,2,2,1,1,1,2,0,0,2,2,0,1
