카테고리,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2021년02월_계_총인구수,"99,753","38,035","8,498","28,736","3,504","3,439","2,914","2,296","2,088","3,252","3,541","3,450"
2021년02월_계_연령구간인구수,"99,753","38,035","8,498","28,736","3,504","3,439","2,914","2,296","2,088","3,252","3,541","3,450"
2021년02월_계_0~9세,"7,637","2,432",277,"4,337",94,130,71,42,21,76,76,81
2021년02월_계_10~19세,"9,523","4,283",487,"3,712",121,215,114,62,60,143,149,177
2021년02월_계_20~29세,"9,502","4,787",574,"2,698",234,233,147,127,111,202,194,195
2021년02월_계_30~39세,"10,367","3,540",472,"5,090",204,185,144,93,96,141,205,197
2021년02월_계_40~49세,"14,445","6,065",802,"5,473",323,358,224,173,123,288,274,342
2021년02월_계_50~59세,"15,830","6,761","1,439","3,486",638,567,458,371,359,544,576,631
2021년02월_계_60~69세,"14,964","5,230","1,866","2,157",801,729,644,541,522,803,853,818
2021년02월_계_70~79세,"10,086","3,124","1,565","1,054",582,535,561,463,421,596,627,558
2021년02월_계_80~89세,"6,438","1,577",870,635,436,439,501,351,328,393,508,400
2021년02월_계_90~99세,898,218,125,92,70,46,47,72,46,60,73,49
2021년02월_계_100세 이상,63,18,21,2,1,2,3,1,1,6,6,2
2021년02월_남_총인구수,"49,639","18,860","4,152","14,404","1,788","1,732","1,405","1,157","1,027","1,596","1,779","1,739"
2021년02월_남_연령구간인구수,"49,639","18,860","4,152","14,404","1,788","1,732","1,405","1,157","1,027","1,596","1,779","1,739"
2021년02월_남_0~9세,"3,988","1,252",144,"2,268",53,74,38,22,10,36,47,44
2021년02월_남_10~19세,"4,878","2,192",271,"1,891",68,110,58,30,25,66,80,87
2021년02월_남_20~29세,"5,233","2,645",336,"1,362",140,156,87,82,76,118,115,116
2021년02월_남_30~39세,"5,370","1,848",266,"2,500",131,101,86,59,66,79,128,106
2021년02월_남_40~49세,"7,553","2,967",463,"2,793",201,199,140,116,84,190,187,213
2021년02월_남_50~59세,"8,287","3,476",737,"1,830",356,311,254,207,185,280,305,346
2021년02월_남_60~69세,"7,335","2,478",898,"1,039",414,379,317,278,258,405,438,431
2021년02월_남_70~79세,"4,489","1,388",681,487,253,246,235,216,190,266,271,256
2021년02월_남_80~89세,"2,257",547,310,216,153,147,176,130,125,139,183,131
2021년02월_남_90~99세,230,60,40,18,18,9,13,17,8,15,23,9
2021년02월_남_100세 이상,19,7,6,0,1,0,1,0,0,2,2,0
2021년02월_여_총인구수,"50,114","19,175","4,346","14,332","1,716","1,707","1,509","1,139","1,061","1,656","1,762","1,711"
2021년02월_여_연령구간인구수,"50,114","19,175","4,346","14,332","1,716","1,707","1,509","1,139","1,061","1,656","1,762","1,711"
2021년02월_여_0~9세,"3,649","1,180",133,"2,069",41,56,33,20,11,40,29,37
2021년02월_여_10~19세,"4,645","2,091",216,"1,821",53,105,56,32,35,77,69,90
2021년02월_여_20~29세,"4,269","2,142",238,"1,336",94,77,60,45,35,84,79,79
2021년02월_여_30~39세,"4,997","1,692",206,"2,590",73,84,58,34,30,62,77,91
2021년02월_여_40~49세,"6,892","3,098",339,"2,680",122,159,84,57,39,98,87,129
2021년02월_여_50~59세,"7,543","3,285",702,"1,656",282,256,204,164,174,264,271,285
2021년02월_여_60~69세,"7,629","2,752",968,"1,118",387,350,327,263,264,398,415,387
2021년02월_여_70~79세,"5,597","1,736",884,567,329,289,326,247,231,330,356,302
2021년02월_여_80~89세,"4,181","1,030",560,419,283,292,325,221,203,254,325,269
2021년02월_여_90~99세,668,158,85,74,52,37,34,55,38,45,50,40
2021년02월_여_100세 이상,44,11,15,2,0,2,2,1,1,4,4,2
