,충청북도 옥천군,충청북도 옥천군 옥천읍,충청북도 옥천군 동이면,충청북도 옥천군 안남면,충청북도 옥천군 안내면,충청북도 옥천군 청성면,충청북도 옥천군 청산면,충청북도 옥천군 이원면,충청북도 옥천군 군서면,충청북도 옥천군 군북면
2020년04월_계_총인구수,"50,778","29,137","3,235","1,431","1,943","2,345","3,070","4,252","2,300","3,065"
2020년04월_계_연령구간인구수,"50,778","29,137","3,235","1,431","1,943","2,345","3,070","4,252","2,300","3,065"
2020년04월_계_0~9세,"2,727","2,221",93,39,31,34,64,110,60,75
2020년04월_계_10~19세,"3,987","3,106",131,68,72,60,138,207,86,119
2020년04월_계_20~29세,"4,464","3,153",234,69,98,87,151,264,181,227
2020년04월_계_30~39세,"4,033","2,894",184,71,69,88,131,274,132,190
2020년04월_계_40~49세,"6,401","4,576",302,104,174,136,236,398,177,298
2020년04월_계_50~59세,"9,084","4,984",627,272,327,453,537,808,440,636
2020년04월_계_60~69세,"9,521","4,192",789,346,509,614,792,967,556,756
2020년04월_계_70~79세,"6,220","2,576",487,239,350,449,595,697,377,450
2020년04월_계_80~89세,"3,761","1,253",328,192,259,372,377,455,261,264
2020년04월_계_90~99세,551,175,59,30,47,49,45,69,30,47
2020년04월_계_100세 이상,29,7,1,1,7,3,4,3,0,3
2020년04월_남_총인구수,"25,608","14,613","1,667",719,976,"1,179","1,495","2,162","1,193","1,604"
2020년04월_남_연령구간인구수,"25,608","14,613","1,667",719,976,"1,179","1,495","2,162","1,193","1,604"
2020년04월_남_0~9세,"1,445","1,179",53,20,14,17,29,58,32,43
2020년04월_남_10~19세,"2,088","1,622",68,37,37,36,74,103,42,69
2020년04월_남_20~29세,"2,553","1,761",152,45,57,62,87,157,103,129
2020년04월_남_30~39세,"2,090","1,444",105,43,46,45,66,162,71,108
2020년04월_남_40~49세,"3,470","2,350",176,69,109,89,140,250,117,170
2020년04월_남_50~59세,"4,839","2,575",338,140,189,244,308,441,246,358
2020년04월_남_60~69세,"4,875","2,045",419,190,267,342,402,500,304,406
2020년04월_남_70~79세,"2,836","1,133",227,110,158,215,272,337,180,204
2020년04월_남_80~89세,"1,269",466,110,57,86,111,104,137,93,105
2020년04월_남_90~99세,136,37,19,8,10,18,12,15,5,12
2020년04월_남_100세 이상,7,1,0,0,3,0,1,2,0,0
2020년04월_여_총인구수,"25,170","14,524","1,568",712,967,"1,166","1,575","2,090","1,107","1,461"
2020년04월_여_연령구간인구수,"25,170","14,524","1,568",712,967,"1,166","1,575","2,090","1,107","1,461"
2020년04월_여_0~9세,"1,282","1,042",40,19,17,17,35,52,28,32
2020년04월_여_10~19세,"1,899","1,484",63,31,35,24,64,104,44,50
2020년04월_여_20~29세,"1,911","1,392",82,24,41,25,64,107,78,98
2020년04월_여_30~39세,"1,943","1,450",79,28,23,43,65,112,61,82
2020년04월_여_40~49세,"2,931","2,226",126,35,65,47,96,148,60,128
2020년04월_여_50~59세,"4,245","2,409",289,132,138,209,229,367,194,278
2020년04월_여_60~69세,"4,646","2,147",370,156,242,272,390,467,252,350
2020년04월_여_70~79세,"3,384","1,443",260,129,192,234,323,360,197,246
2020년04월_여_80~89세,"2,492",787,218,135,173,261,273,318,168,159
2020년04월_여_90~99세,415,138,40,22,37,31,33,54,25,35
2020년04월_여_100세 이상,22,6,1,1,4,3,3,1,0,3
