카테고리,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2021년05월_계_총인구수,"419,121","20,761","22,104","32,299","31,143","27,479","11,202","32,097","15,794","22,304","19,127","20,878","17,012","19,843","19,752","23,536","43,732","22,200","17,858"
2021년05월_계_연령구간인구수,"419,121","20,761","22,104","32,299","31,143","27,479","11,202","32,097","15,794","22,304","19,127","20,878","17,012","19,843","19,752","23,536","43,732","22,200","17,858"
2021년05월_계_0~9세,"32,658","1,454","1,901","1,741","2,946","2,068",513,"2,995","1,791","1,963","1,656","1,471","1,120","1,132","1,232","1,631","3,734","1,393","1,917"
2021년05월_계_10~19세,"44,888","1,927","1,968","2,827","4,190","3,386","1,757","3,531","2,795","2,954","2,176","2,732","1,323","1,623","1,849","2,620","4,304","1,593","1,333"
2021년05월_계_20~29세,"53,823","2,795","3,078","5,365","3,542","3,507","1,440","4,106","1,319","2,494","2,205","2,651","2,435","2,774","2,496","3,118","5,274","3,333","1,891"
2021년05월_계_30~39세,"61,561","3,519","4,380","5,524","3,538","3,677",815,"5,343","1,475","2,579","2,553","2,374","2,932","3,060","2,687","3,474","6,585","4,404","2,642"
2021년05월_계_40~49세,"76,074","3,790","4,015","5,061","6,287","5,291","2,015","6,612","3,630","4,531","3,564","3,879","2,755","3,017","3,002","4,278","7,612","3,685","3,050"
2021년05월_계_50~59세,"63,083","2,999","2,935","4,907","4,826","4,587","2,117","4,204","2,141","3,545","2,887","3,463","2,445","3,109","3,261","3,598","6,231","3,372","2,456"
2021년05월_계_60~69세,"48,010","2,369","2,138","3,743","3,077","2,871","1,249","3,041","1,350","2,265","2,320","2,275","2,127","2,885","2,996","2,428","5,734","2,649","2,493"
2021년05월_계_70~79세,"27,226","1,332","1,233","2,184","1,858","1,393",938,"1,628",913,"1,341","1,249","1,319","1,310","1,622","1,553","1,615","2,997","1,288","1,453"
