카테고리,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2021년01월_계_총인구수,"655,733","352,897","24,958","23,913","32,971","32,974","38,699","38,037","26,811","20,106","21,917","38,689","26,715","18,004","9,103","302,836","38,999","21,903","25,087","44,074","6,273","18,434","22,709","46,969","17,860","16,455","35,208","8,865"
2021년01월_계_연령구간인구수,"655,733","352,897","24,958","23,913","32,971","32,974","38,699","38,037","26,811","20,106","21,917","38,689","26,715","18,004","9,103","302,836","38,999","21,903","25,087","44,074","6,273","18,434","22,709","46,969","17,860","16,455","35,208","8,865"
2021년01월_계_0~9세,"44,374","23,625","1,704","1,064","1,798","2,506","4,403","2,659","1,542",945,"1,460","2,262","1,694","1,110",478,"20,749","2,647","1,159","1,604","3,412",292,"1,305","1,623","3,768","1,306",906,"2,412",315
2021년01월_계_10~19세,"63,857","34,257","2,467","1,587","2,883","3,613","4,612","3,992","2,845","1,742","2,109","3,787","2,559","1,294",767,"29,600","3,926","1,912","2,156","5,207",319,"1,783","2,514","4,787","1,437","1,588","3,584",387
2021년01월_계_20~29세,"106,590","58,356","3,824","4,367","6,015","5,363","6,208","5,983","4,376","3,563","3,508","7,081","4,728","2,206","1,134","48,234","6,089","4,156","5,069","7,535",484,"2,786","3,109","7,396","2,688","2,455","5,745",722
2021년01월_계_30~39세,"85,788","44,397","3,042","3,736","4,559","4,203","5,674","4,630","2,983","2,425","2,427","4,388","3,196","2,191",943,"41,391","5,115","3,178","3,885","5,546",636,"2,452","2,933","7,215","2,961","1,854","4,943",673
2021년01월_계_40~49세,"108,102","58,022","4,485","3,959","5,582","5,475","6,850","6,878","4,429","3,097","3,613","6,050","3,626","2,632","1,346","50,080","7,117","3,251","3,712","7,218","1,012","2,818","4,042","8,228","2,777","2,823","6,124",958
2021년01월_계_50~59세,"127,904","69,241","4,666","4,506","6,311","6,380","6,618","7,340","5,455","4,254","4,650","8,194","5,666","3,322","1,879","58,663","7,555","4,107","4,518","8,887","1,610","3,715","4,324","8,169","3,335","3,667","6,833","1,943"
2021년01월_계_60~69세,"72,450","38,506","2,604","2,703","2,975","3,418","3,105","3,785","2,941","2,303","2,410","4,324","3,430","2,988","1,520","33,944","3,942","2,470","2,808","4,279","1,031","2,354","2,656","4,500","2,147","1,960","3,612","2,185"
2021년01월_계_70~79세,"29,918","16,870","1,443","1,317","1,530","1,287",822,"1,807","1,448","1,126","1,094","1,614","1,103","1,595",684,"13,048","1,696","1,095",858,"1,229",586,874,981,"1,859",777,787,"1,241","1,065"
2021년01월_계_80~89세,"14,504","8,318",620,583,"1,110",637,341,861,696,579,585,862,582,567,295,"6,186",793,518,391,645,269,302,452,899,383,368,634,532
2021년01월_계_90~99세,"2,114","1,236",99,84,194,87,66,102,90,72,57,118,122,94,51,878,112,55,80,111,28,34,71,141,48,44,75,79
2021년01월_계_100세 이상,132,69,4,7,14,5,0,0,6,0,4,9,9,5,6,63,7,2,6,5,6,11,4,7,1,3,5,6
2021년01월_남_총인구수,"336,265","180,008","12,725","12,788","17,276","16,690","19,523","19,678","13,304","10,020","11,313","19,781","13,092","9,062","4,756","156,257","20,572","10,936","12,476","22,151","3,608","9,358","12,187","24,111","9,166","8,947","18,085","4,660"
2021년01월_남_연령구간인구수,"336,265","180,008","12,725","12,788","17,276","16,690","19,523","19,678","13,304","10,020","11,313","19,781","13,092","9,062","4,756","156,257","20,572","10,936","12,476","22,151","3,608","9,358","12,187","24,111","9,166","8,947","18,085","4,660"
2021년01월_남_0~9세,"22,604","11,996",853,531,930,"1,292","2,147","1,372",792,487,751,"1,165",890,547,239,"10,608","1,351",579,824,"1,717",146,663,840,"1,933",683,454,"1,239",179
2021년01월_남_10~19세,"32,860","17,528","1,217",824,"1,498","1,841","2,351","2,079","1,401",884,"1,040","1,995","1,329",668,401,"15,332","2,075",982,"1,093","2,714",169,918,"1,283","2,443",747,847,"1,854",207
2021년01월_남_20~29세,"56,726","31,121","1,968","2,292","3,295","2,855","3,384","3,180","2,260","1,832","1,874","3,861","2,478","1,200",642,"25,605","3,362","2,068","2,522","3,847",294,"1,463","1,766","3,968","1,462","1,350","3,087",416
