,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2020년05월_계_총인구수,"349,800","22,307","19,935","15,751","22,179","16,922","29,973","11,685","35,794","22,833","26,197","28,930","18,221","22,317","27,207","29,549"
2020년05월_계_연령구간인구수,"349,800","22,307","19,935","15,751","22,179","16,922","29,973","11,685","35,794","22,833","26,197","28,930","18,221","22,317","27,207","29,549"
2020년05월_계_0~9세,"20,774",437,931,810,"1,278",798,"1,636",595,"3,460","1,082","1,766","2,434",758,938,"1,886","1,965"
2020년05월_계_10~19세,"26,803",800,"1,105",767,"1,446","1,049","2,065",561,"5,605","1,538","1,982","2,675",918,"1,247","2,422","2,623"
2020년05월_계_20~29세,"62,450","9,283","4,369","2,749","3,939","2,692","4,550","2,401","4,135","4,292","3,908","4,035","2,730","4,810","3,762","4,795"
2020년05월_계_30~39세,"57,272","4,306","3,686","2,965","4,031","2,756","4,592","2,692","4,044","3,851","4,129","4,412","2,721","4,358","3,988","4,741"
2020년05월_계_40~49세,"53,749","2,206","2,627","2,252","3,082","2,447","4,344","1,633","7,862","3,462","4,199","4,679","2,571","3,244","4,472","4,669"
2020년05월_계_50~59세,"55,236","2,097","2,955","2,586","3,630","3,013","5,456","1,484","5,340","3,679","4,347","4,698","3,264","3,278","4,546","4,863"
2020년05월_계_60~69세,"41,299","1,659","2,316","2,043","2,726","2,340","4,195","1,227","2,931","2,763","3,508","3,469","2,927","2,388","3,421","3,386"
2020년05월_계_70~79세,"22,208","1,035","1,371","1,143","1,472","1,298","2,273",745,"1,472","1,520","1,667","1,585","1,634","1,429","1,894","1,670"
2020년05월_계_80~89세,"8,553",399,501,371,486,454,734,298,798,555,589,814,603,548,695,708
2020년05월_계_90~99세,"1,248",63,64,56,80,61,100,45,137,77,90,117,80,63,97,118
2020년05월_계_100세 이상,208,22,10,9,9,14,28,4,10,14,12,12,15,14,24,11
2020년05월_남_총인구수,"169,049","10,543","9,838","7,727","10,556","8,416","14,714","5,359","17,286","11,010","12,781","13,926","9,125","10,651","13,093","14,024"
2020년05월_남_연령구간인구수,"169,049","10,543","9,838","7,727","10,556","8,416","14,714","5,359","17,286","11,010","12,781","13,926","9,125","10,651","13,093","14,024"
2020년05월_남_0~9세,"10,578",211,492,432,657,413,846,302,"1,794",523,914,"1,225",372,486,950,961
2020년05월_남_10~19세,"13,648",359,571,397,732,535,"1,116",298,"2,869",823,"1,047","1,332",449,619,"1,207","1,294"
