카테고리,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동
2020년12월_계_총인구수,"214,579","7,325","7,031","9,156","14,041","29,218","5,418","7,488","8,850","6,555","12,542","6,345","19,554","8,368","46,125","20,347","6,216"
2020년12월_계_연령구간인구수,"214,579","7,325","7,031","9,156","14,041","29,218","5,418","7,488","8,850","6,555","12,542","6,345","19,554","8,368","46,125","20,347","6,216"
2020년12월_계_0~9세,"17,283",496,538,477,891,"2,944",286,375,362,245,"1,026",433,"1,373",504,"3,896","3,053",384
2020년12월_계_10~19세,"22,776",746,684,769,"1,355","4,944",281,404,588,361,"1,138",433,"2,029",595,"5,991","2,073",385
2020년12월_계_20~29세,"27,981",829,894,"1,243","2,024","3,360",658,892,"1,204",973,"1,543",956,"2,809","1,132","6,489","2,421",554
2020년12월_계_30~39세,"25,515",707,875,907,"1,593","2,851",658,821,"1,068",739,"1,508",862,"2,243",932,"5,367","3,822",562
2020년12월_계_40~49세,"34,067","1,071","1,116","1,266","2,184","5,608",748,993,"1,202",821,"1,913",885,"3,045","1,127","7,799","3,482",807
2020년12월_계_50~59세,"33,009","1,151","1,011","1,498","2,205","4,340",895,"1,237","1,537","1,210","1,898",938,"3,288","1,458","6,822","2,548",973
2020년12월_계_60~69세,"28,072","1,042",943,"1,421","1,931","2,903",867,"1,188","1,530","1,217","1,858",898,"2,644","1,391","5,280","1,821","1,138"
2020년12월_계_70~79세,"17,426",870,670,"1,051","1,166","1,448",705,"1,081",957,704,"1,108",654,"1,513",882,"3,064",743,810
2020년12월_계_80~89세,"7,234",346,263,445,589,694,273,415,355,248,470,244,532,303,"1,223",310,524
2020년12월_계_90~99세,"1,120",59,29,70,100,123,33,76,45,34,78,33,73,39,185,70,73
2020년12월_계_100세 이상,96,8,8,9,3,3,14,6,2,3,2,9,5,5,9,4,6
2020년12월_남_총인구수,"103,257","3,343","3,348","4,309","6,619","13,724","2,769","3,836","4,529","3,288","5,932","3,125","9,477","4,168","21,803","9,905","3,082"
2020년12월_남_연령구간인구수,"103,257","3,343","3,348","4,309","6,619","13,724","2,769","3,836","4,529","3,288","5,932","3,125","9,477","4,168","21,803","9,905","3,082"
2020년12월_남_0~9세,"8,856",255,279,238,471,"1,461",137,189,185,121,534,230,704,253,"1,980","1,606",213
2020년12월_남_10~19세,"11,394",359,330,398,676,"2,525",152,212,319,189,555,212,"1,038",306,"2,881","1,059",183
2020년12월_남_20~29세,"14,406",411,467,627,"1,041","1,730",344,508,642,534,788,443,"1,449",608,"3,279","1,220",315
2020년12월_남_30~39세,"12,658",347,416,475,791,"1,262",353,457,609,418,740,454,"1,136",504,"2,537","1,854",305
2020년12월_남_40~49세,"16,788",522,557,627,"1,050","2,529",435,601,685,473,936,488,"1,487",580,"3,643","1,717",458
2020년12월_남_50~59세,"15,613",513,491,684,996,"2,005",494,657,776,568,876,462,"1,537",693,"3,161","1,187",513
2020년12월_남_60~69세,"12,859",429,405,622,879,"1,307",417,565,722,576,824,418,"1,232",668,"2,403",814,578
2020년12월_남_70~79세,"7,792",362,293,466,492,632,314,479,448,318,468,302,685,421,"1,414",347,351
2020년12월_남_80~89세,"2,632",128,99,156,198,249,112,151,129,83,189,105,202,123,459,93,156
2020년12월_남_90~99세,246,16,9,16,24,23,8,17,14,7,22,9,6,12,46,8,9
2020년12월_남_100세 이상,13,1,2,0,1,1,3,0,0,1,0,2,1,0,0,0,1
2020년12월_여_총인구수,"111,322","3,982","3,683","4,847","7,422","15,494","2,649","3,652","4,321","3,267","6,610","3,220","10,077","4,200","24,322","10,442","3,134"
2020년12월_여_연령구간인구수,"111,322","3,982","3,683","4,847","7,422","15,494","2,649","3,652","4,321","3,267","6,610","3,220","10,077","4,200","24,322","10,442","3,134"
2020년12월_여_0~9세,"8,427",241,259,239,420,"1,483",149,186,177,124,492,203,669,251,"1,916","1,447",171
2020년12월_여_10~19세,"11,382",387,354,371,679,"2,419",129,192,269,172,583,221,991,289,"3,110","1,014",202
2020년12월_여_20~29세,"13,575",418,427,616,983,"1,630",314,384,562,439,755,513,"1,360",524,"3,210","1,201",239
2020년12월_여_30~39세,"12,857",360,459,432,802,"1,589",305,364,459,321,768,408,"1,107",428,"2,830","1,968",257
2020년12월_여_40~49세,"17,279",549,559,639,"1,134","3,079",313,392,517,348,977,397,"1,558",547,"4,156","1,765",349
2020년12월_여_50~59세,"17,396",638,520,814,"1,209","2,335",401,580,761,642,"1,022",476,"1,751",765,"3,661","1,361",460
2020년12월_여_60~69세,"15,213",613,538,799,"1,052","1,596",450,623,808,641,"1,034",480,"1,412",723,"2,877","1,007",560
2020년12월_여_70~79세,"9,634",508,377,585,674,816,391,602,509,386,640,352,828,461,"1,650",396,459
2020년12월_여_80~89세,"4,602",218,164,289,391,445,161,264,226,165,281,139,330,180,764,217,368
2020년12월_여_90~99세,874,43,20,54,76,100,25,59,31,27,56,24,67,27,139,62,64
2020년12월_여_100세 이상,83,7,6,9,2,2,11,6,2,2,2,7,4,5,9,4,5
