카테고리,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2020년09월_계_총인구수,"213,055","16,176","3,413","1,602","4,148","4,313","3,570","4,502","6,646","15,456","5,072","3,387","26,025","7,875","10,497","13,066","4,850","9,988","16,710","18,206","28,753","8,800"
2020년09월_계_연령구간인구수,"213,055","16,176","3,413","1,602","4,148","4,313","3,570","4,502","6,646","15,456","5,072","3,387","26,025","7,875","10,497","13,066","4,850","9,988","16,710","18,206","28,753","8,800"
2020년09월_계_0~9세,"13,647",599,127,31,197,102,118,190,392,"1,407",180,99,"1,823",373,435,598,296,915,"1,484",986,"2,542",753
2020년09월_계_10~19세,"19,242",981,196,38,289,195,163,221,505,"1,541",306,171,"3,089",654,763,"1,214",404,"1,042","1,579","1,591","3,543",757
2020년09월_계_20~29세,"25,053","1,423",305,96,364,406,262,399,499,"1,763",590,310,"3,546",910,"1,309","1,672",581,"1,139","2,611","2,017","3,437","1,414"
2020년09월_계_30~39세,"21,741","1,147",191,79,325,299,228,394,595,"2,094",459,284,"2,599",752,903,"1,261",543,"1,320","2,187","1,662","3,374","1,045"
2020년09월_계_40~49세,"32,371","1,982",385,121,489,436,322,560,974,"2,663",636,415,"4,558","1,066","1,470","1,900",735,"1,650","2,698","2,612","5,254","1,445"
2020년09월_계_50~59세,"36,838","2,993",706,329,736,788,713,862,"1,168","2,435",815,617,"4,486","1,447","2,006","2,491",948,"1,636","2,513","3,195","4,590","1,364"
2020년09월_계_60~69세,"33,126","3,412",698,460,873,949,839,958,"1,308","1,894",993,676,"3,125","1,426","1,921","2,260",722,"1,354","2,066","2,883","3,241","1,068"
2020년09월_계_70~79세,"19,555","2,268",434,282,514,676,563,550,749,"1,069",682,563,"1,769",810,"1,156","1,091",371,574,"1,012","2,078","1,731",613
2020년09월_계_80~89세,"9,740","1,147",314,145,286,385,316,311,396,505,324,227,888,368,457,489,214,299,481,"1,022",890,276
2020년09월_계_90~99세,"1,636",201,52,21,69,70,43,55,56,80,82,25,134,61,73,90,36,57,77,145,144,65
2020년09월_계_100세 이상,106,23,5,0,6,7,3,2,4,5,5,0,8,8,4,0,0,2,2,15,7,0
2020년09월_남_총인구수,"105,704","7,940","1,746",862,"2,123","2,271","1,839","2,332","3,324","7,567","2,402","1,728","12,740","3,937","5,172","6,435","2,380","4,847","8,283","9,079","14,205","4,492"
2020년09월_남_연령구간인구수,"105,704","7,940","1,746",862,"2,123","2,271","1,839","2,332","3,324","7,567","2,402","1,728","12,740","3,937","5,172","6,435","2,380","4,847","8,283","9,079","14,205","4,492"
2020년09월_남_0~9세,"7,040",313,70,24,111,56,64,97,196,728,86,55,953,186,231,306,129,444,749,480,"1,366",396
2020년09월_남_10~19세,"10,119",533,105,17,159,104,97,123,270,791,144,97,"1,580",343,397,654,217,546,795,864,"1,888",395
2020년09월_남_20~29세,"13,712",827,191,55,221,259,163,243,269,907,307,176,"1,923",492,684,889,338,620,"1,401","1,132","1,849",766
2020년09월_남_30~39세,"11,418",634,107,58,160,190,142,220,319,"1,068",254,163,"1,327",425,497,687,296,650,"1,093",899,"1,684",545
2020년09월_남_40~49세,"16,497","1,094",225,76,282,290,188,317,523,"1,277",328,243,"2,107",539,794,961,345,792,"1,396","1,391","2,579",750
2020년09월_남_50~59세,"18,474","1,520",362,181,398,442,404,449,577,"1,208",428,334,"2,260",735,977,"1,204",456,751,"1,202","1,624","2,259",703
2020년09월_남_60~69세,"15,861","1,605",367,245,443,482,434,490,633,910,428,305,"1,456",682,861,"1,051",352,670,"1,011","1,364","1,558",514
2020년09월_남_70~79세,"8,723",961,214,141,239,294,242,263,377,476,294,250,751,378,525,505,162,251,453,915,719,313
2020년09월_남_80~89세,"3,500",402,94,61,94,129,96,121,143,184,111,103,358,144,186,170,77,110,169,375,275,98
2020년09월_남_90~99세,333,47,10,4,14,20,9,8,14,17,21,2,25,11,20,8,8,13,14,31,25,12
2020년09월_남_100세 이상,27,4,1,0,2,5,0,1,3,1,1,0,0,2,0,0,0,0,0,4,3,0
2020년09월_여_총인구수,"107,351","8,236","1,667",740,"2,025","2,042","1,731","2,170","3,322","7,889","2,670","1,659","13,285","3,938","5,325","6,631","2,470","5,141","8,427","9,127","14,548","4,308"
2020년09월_여_연령구간인구수,"107,351","8,236","1,667",740,"2,025","2,042","1,731","2,170","3,322","7,889","2,670","1,659","13,285","3,938","5,325","6,631","2,470","5,141","8,427","9,127","14,548","4,308"
2020년09월_여_0~9세,"6,607",286,57,7,86,46,54,93,196,679,94,44,870,187,204,292,167,471,735,506,"1,176",357
2020년09월_여_10~19세,"9,123",448,91,21,130,91,66,98,235,750,162,74,"1,509",311,366,560,187,496,784,727,"1,655",362
