,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2021년01월_계_총인구수,"53,687","8,241","14,988","6,497","1,849","2,077","3,788","3,567","2,282","3,196","1,923","3,012","2,267"
2021년01월_계_연령구간인구수,"53,687","8,241","14,988","6,497","1,849","2,077","3,788","3,567","2,282","3,196","1,923","3,012","2,267"
2021년01월_계_0~9세,"3,519",606,"1,560",573,63,51,113,112,74,94,72,134,67
2021년01월_계_10~19세,"4,428",789,"1,797",690,99,73,188,129,108,170,80,202,103
2021년01월_계_20~29세,"5,084",871,"1,598",910,117,113,284,238,180,241,122,255,155
2021년01월_계_30~39세,"4,729",728,"1,859",822,106,89,234,181,138,159,107,161,145
2021년01월_계_40~49세,"7,422","1,036","2,883","1,271",172,189,390,332,188,299,149,299,214
2021년01월_계_50~59세,"9,435","1,456","2,539","1,341",310,388,660,592,424,545,300,495,385
2021년01월_계_60~69세,"8,105","1,208","1,509",501,339,444,790,811,461,608,381,577,476
2021년01월_계_70~79세,"6,333",917,825,254,316,405,657,667,384,626,387,492,403
2021년01월_계_80~89세,"4,053",524,378,115,291,283,415,437,299,397,283,338,293
2021년01월_계_90~99세,545,103,36,20,32,42,51,65,23,54,38,56,25
2021년01월_계_100세 이상,34,3,4,0,4,0,6,3,3,3,4,3,1
2021년01월_남_총인구수,"27,602","4,076","7,960","3,734",905,"1,047","1,902","1,774","1,162","1,528",915,"1,461","1,138"
2021년01월_남_연령구간인구수,"27,602","4,076","7,960","3,734",905,"1,047","1,902","1,774","1,162","1,528",915,"1,461","1,138"
2021년01월_남_0~9세,"1,774",320,744,293,38,21,50,64,51,57,32,71,33
2021년01월_남_10~19세,"2,359",426,961,364,46,49,103,70,67,91,44,93,45
2021년01월_남_20~29세,"2,939",469,870,556,68,66,199,152,107,141,76,141,94
2021년01월_남_30~39세,"2,558",364,943,477,70,52,140,108,86,90,59,81,88
2021년01월_남_40~49세,"4,397",546,"1,696",783,107,114,227,219,117,175,96,173,144
2021년01월_남_50~59세,"5,378",753,"1,459",825,193,235,351,356,234,304,172,285,211
2021년01월_남_60~69세,"4,165",608,800,295,160,254,407,393,249,295,182,278,244
2021년01월_남_70~79세,"2,659",397,374,105,126,167,272,288,152,246,155,208,169
2021년01월_남_80~89세,"1,265",169,106,33,87,81,139,117,94,120,96,118,105
2021년01월_남_90~99세,100,23,6,3,9,8,11,7,5,8,2,13,5
2021년01월_남_100세 이상,8,1,1,0,1,0,3,0,0,1,1,0,0
2021년01월_여_총인구수,"26,085","4,165","7,028","2,763",944,"1,030","1,886","1,793","1,120","1,668","1,008","1,551","1,129"
2021년01월_여_연령구간인구수,"26,085","4,165","7,028","2,763",944,"1,030","1,886","1,793","1,120","1,668","1,008","1,551","1,129"
2021년01월_여_0~9세,"1,745",286,816,280,25,30,63,48,23,37,40,63,34
2021년01월_여_10~19세,"2,069",363,836,326,53,24,85,59,41,79,36,109,58
2021년01월_여_20~29세,"2,145",402,728,354,49,47,85,86,73,100,46,114,61
2021년01월_여_30~39세,"2,171",364,916,345,36,37,94,73,52,69,48,80,57
2021년01월_여_40~49세,"3,025",490,"1,187",488,65,75,163,113,71,124,53,126,70
2021년01월_여_50~59세,"4,057",703,"1,080",516,117,153,309,236,190,241,128,210,174
2021년01월_여_60~69세,"3,940",600,709,206,179,190,383,418,212,313,199,299,232
2021년01월_여_70~79세,"3,674",520,451,149,190,238,385,379,232,380,232,284,234
2021년01월_여_80~89세,"2,788",355,272,82,204,202,276,320,205,277,187,220,188
2021년01월_여_90~99세,445,80,30,17,23,34,40,58,18,46,36,43,20
2021년01월_여_100세 이상,26,2,3,0,3,0,3,3,3,2,3,3,1
