,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2021년08월_계_총인구수,"488,304","24,453","15,232","29,451","29,051","16,882","35,405","33,303","15,244","25,881","18,172","22,609","18,009","23,268","22,631","22,099","15,394","17,253","23,602","22,624","30,774","26,967"
2021년08월_계_연령구간인구수,"488,304","24,453","15,232","29,451","29,051","16,882","35,405","33,303","15,244","25,881","18,172","22,609","18,009","23,268","22,631","22,099","15,394","17,253","23,602","22,624","30,774","26,967"
2021년08월_계_0~9세,"20,551","1,127","1,211","1,897","1,097",622,"1,204","1,941",382,"1,044",933,646,526,753,756,343,"1,125",621,678,812,"1,649","1,184"
2021년08월_계_10~19세,"27,657","1,454","1,130","2,844","1,340",817,"1,619","2,660",575,"1,513",799,811,829,"1,026","1,065",500,"1,396",826,953,"1,451","2,222","1,827"
2021년08월_계_20~29세,"108,940","4,782","1,823","3,823","7,579","5,546","11,543","5,398","4,510","5,840","3,900","6,384","4,412","5,614","5,889","8,477","1,732","3,994","6,107","2,689","4,804","4,094"
2021년08월_계_30~39세,"85,658","4,035","2,521","3,762","5,944","3,532","6,889","5,151","2,986","4,952","3,657","4,586","3,182","4,610","3,970","5,744","1,806","3,195","4,850","2,517","4,192","3,577"
2021년08월_계_40~49세,"66,379","3,336","2,428","4,879","3,583","1,985","3,997","5,123","1,719","3,486","2,271","2,743","2,217","3,166","2,835","2,464","2,876","2,263","3,493","3,123","4,573","3,819"
2021년08월_계_50~59세,"67,039","3,378","2,292","4,757","3,436","1,629","3,812","4,846","1,791","3,456","2,551","2,726","2,413","3,094","3,180","1,807","2,573","2,358","3,198","4,093","4,914","4,735"
2021년08월_계_60~69세,"59,890","3,357","1,971","3,923","3,205","1,385","3,364","4,346","1,691","2,992","2,264","2,563","2,259","2,777","2,660","1,489","2,105","2,186","2,385","4,121","4,687","4,160"
2021년08월_계_70~79세,"36,688","2,110","1,209","2,463","2,068",952,"2,154","2,731","1,100","1,850","1,297","1,522","1,510","1,574","1,622",918,"1,258","1,238","1,317","2,586","2,688","2,521"
2021년08월_계_80~89세,"13,756",767,573,981,711,375,731,988,448,674,440,569,589,576,586,316,467,509,554,"1,063",908,931
2021년08월_계_90~99세,"1,636",102,70,117,82,35,89,114,36,72,57,54,68,71,64,35,52,60,66,161,119,112
