,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2021년11월_계_총인구수,"47,928","13,881","2,740","6,668",685,"2,747","2,474","1,695","6,313","7,435","1,276","2,014"
2021년11월_계_연령구간인구수,"47,928","13,881","2,740","6,668",685,"2,747","2,474","1,695","6,313","7,435","1,276","2,014"
2021년11월_계_0~9세,"2,760","1,026",51,754,5,109,50,44,300,351,21,49
2021년11월_계_10~19세,"3,552","1,587",199,459,20,114,94,62,361,541,36,79
2021년11월_계_20~29세,"4,275","1,557",162,718,43,180,154,89,641,600,37,94
2021년11월_계_30~39세,"4,081","1,331",152,"1,065",25,169,119,49,529,523,38,81
2021년11월_계_40~49세,"6,004","2,236",202,966,58,284,143,138,796,919,107,155
2021년11월_계_50~59세,"8,336","2,414",438,"1,057",133,492,401,261,"1,203","1,315",291,331
2021년11월_계_60~69세,"8,794","1,874",578,846,162,607,596,394,"1,296","1,642",334,465
2021년11월_계_70~79세,"5,539","1,068",499,458,121,375,435,335,687,990,219,352
2021년11월_계_80~89세,"3,882",672,383,301,103,354,393,272,439,461,172,332
2021년11월_계_90~99세,695,114,75,41,15,63,89,50,61,92,20,75
2021년11월_계_100세 이상,10,2,1,3,0,0,0,1,0,1,1,1
2021년11월_남_총인구수,"24,056","7,013","1,308","3,531",354,"1,385","1,181",816,"3,254","3,632",628,954
2021년11월_남_연령구간인구수,"24,056","7,013","1,308","3,531",354,"1,385","1,181",816,"3,254","3,632",628,954
2021년11월_남_0~9세,"1,425",536,28,382,3,65,25,21,151,178,12,24
2021년11월_남_10~19세,"1,895",825,136,241,10,61,43,36,197,290,18,38
2021년11월_남_20~29세,"2,538",905,91,433,24,106,106,52,393,350,23,55
2021년11월_남_30~39세,"2,253",708,85,582,19,99,78,29,306,271,25,51
2021년11월_남_40~49세,"3,282","1,121",123,546,40,174,78,77,463,505,55,100
2021년11월_남_50~59세,"4,569","1,269",247,611,87,286,230,154,659,673,159,194
2021년11월_남_60~69세,"4,388",944,266,429,88,313,303,202,650,771,180,242
2021년11월_남_70~79세,"2,429",468,199,217,49,159,188,148,315,437,96,153
2021년11월_남_80~89세,"1,159",222,118,87,33,111,116,85,109,138,51,89
2021년11월_남_90~99세,118,15,15,3,1,11,14,12,11,19,9,8
2021년11월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0
2021년11월_여_총인구수,"23,872","6,868","1,432","3,137",331,"1,362","1,293",879,"3,059","3,803",648,"1,060"
2021년11월_여_연령구간인구수,"23,872","6,868","1,432","3,137",331,"1,362","1,293",879,"3,059","3,803",648,"1,060"
2021년11월_여_0~9세,"1,335",490,23,372,2,44,25,23,149,173,9,25
2021년11월_여_10~19세,"1,657",762,63,218,10,53,51,26,164,251,18,41
2021년11월_여_20~29세,"1,737",652,71,285,19,74,48,37,248,250,14,39
2021년11월_여_30~39세,"1,828",623,67,483,6,70,41,20,223,252,13,30
2021년11월_여_40~49세,"2,722","1,115",79,420,18,110,65,61,333,414,52,55
2021년11월_여_50~59세,"3,767","1,145",191,446,46,206,171,107,544,642,132,137
2021년11월_여_60~69세,"4,406",930,312,417,74,294,293,192,646,871,154,223
2021년11월_여_70~79세,"3,110",600,300,241,72,216,247,187,372,553,123,199
2021년11월_여_80~89세,"2,723",450,265,214,70,243,277,187,330,323,121,243
2021년11월_여_90~99세,577,99,60,38,14,52,75,38,50,73,11,67
2021년11월_여_100세 이상,10,2,1,3,0,0,0,1,0,1,1,1
