카테고리,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2020년06월_계_총인구수,"51,811","24,682","1,795","1,865","2,795","1,620","1,669",884,"1,439","1,137","1,010","3,635","1,788","3,124","4,368"
2020년06월_계_연령구간인구수,"51,811","24,682","1,795","1,865","2,795","1,620","1,669",884,"1,439","1,137","1,010","3,635","1,788","3,124","4,368"
2020년06월_계_0~9세,"2,755","2,005",49,30,108,28,27,20,33,31,28,156,22,65,153
2020년06월_계_10~19세,"4,128","2,667",89,90,186,70,64,34,64,70,32,270,51,146,295
2020년06월_계_20~29세,"3,991","2,268",84,99,255,91,87,48,101,71,54,287,92,174,280
2020년06월_계_30~39세,"4,123","2,548",98,94,188,74,83,37,84,46,39,258,79,175,320
2020년06월_계_40~49세,"6,572","3,829",183,154,333,140,129,55,132,80,74,424,175,305,559
2020년06월_계_50~59세,"9,217","4,311",310,300,504,292,308,131,270,191,183,643,365,576,833
2020년06월_계_60~69세,"9,435","3,630",446,447,566,345,379,195,294,251,227,778,380,709,788
2020년06월_계_70~79세,"6,812","2,181",326,377,395,311,320,207,233,186,204,497,354,574,647
2020년06월_계_80~89세,"4,149","1,083",183,237,219,237,234,136,198,176,143,281,236,346,440
2020년06월_계_90~99세,613,151,27,37,41,32,38,21,29,34,24,41,33,53,52
2020년06월_계_100세 이상,16,9,0,0,0,0,0,0,1,1,2,0,1,1,1
2020년06월_남_총인구수,"26,011","12,375",922,918,"1,470",791,848,391,697,554,509,"1,787",898,"1,605","2,246"
2020년06월_남_연령구간인구수,"26,011","12,375",922,918,"1,470",791,848,391,697,554,509,"1,787",898,"1,605","2,246"
2020년06월_남_0~9세,"1,391","1,016",27,19,54,15,14,10,10,16,11,73,11,31,84
2020년06월_남_10~19세,"2,254","1,479",52,47,95,38,31,16,30,38,18,141,28,82,159
2020년06월_남_20~29세,"2,353","1,303",52,61,168,58,52,25,66,43,37,160,51,103,174
2020년06월_남_30~39세,"2,263","1,309",67,59,107,37,52,20,52,29,28,133,54,120,196
2020년06월_남_40~49세,"3,680","2,014",112,100,199,83,78,32,84,50,44,229,105,203,347
2020년06월_남_50~59세,"4,989","2,216",173,173,289,148,186,67,152,103,111,339,217,333,482
2020년06월_남_60~69세,"4,713","1,749",231,205,290,191,199,92,151,131,130,402,201,365,376
2020년06월_남_70~79세,"2,985",924,150,166,184,134,159,88,93,79,83,226,155,264,280
2020년06월_남_80~89세,"1,266",338,54,80,73,80,64,39,56,57,41,78,73,94,139
2020년06월_남_90~99세,113,24,4,8,11,7,13,2,3,8,5,6,3,10,9
2020년06월_남_100세 이상,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0
2020년06월_여_총인구수,"25,800","12,307",873,947,"1,325",829,821,493,742,583,501,"1,848",890,"1,519","2,122"
2020년06월_여_연령구간인구수,"25,800","12,307",873,947,"1,325",829,821,493,742,583,501,"1,848",890,"1,519","2,122"
2020년06월_여_0~9세,"1,364",989,22,11,54,13,13,10,23,15,17,83,11,34,69
2020년06월_여_10~19세,"1,874","1,188",37,43,91,32,33,18,34,32,14,129,23,64,136
2020년06월_여_20~29세,"1,638",965,32,38,87,33,35,23,35,28,17,127,41,71,106
2020년06월_여_30~39세,"1,860","1,239",31,35,81,37,31,17,32,17,11,125,25,55,124
2020년06월_여_40~49세,"2,892","1,815",71,54,134,57,51,23,48,30,30,195,70,102,212
2020년06월_여_50~59세,"4,228","2,095",137,127,215,144,122,64,118,88,72,304,148,243,351
2020년06월_여_60~69세,"4,722","1,881",215,242,276,154,180,103,143,120,97,376,179,344,412
2020년06월_여_70~79세,"3,827","1,257",176,211,211,177,161,119,140,107,121,271,199,310,367
2020년06월_여_80~89세,"2,883",745,129,157,146,157,170,97,142,119,102,203,163,252,301
2020년06월_여_90~99세,500,127,23,29,30,25,25,19,26,26,19,35,30,43,43
2020년06월_여_100세 이상,12,6,0,0,0,0,0,0,1,1,1,0,1,1,1
