카테고리,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2020년02월_계_총인구수,"1,861,894","229,235","282,062","281,347","114,618","152,304","46,367","28,696","26,086","64,728","41,329","62,529","38,400","35,163","70,018","54,383","81,322","32,735","53,694","45,595","50,560","30,601","40,122"
2020년02월_계_연령구간인구수,"1,861,894","229,235","282,062","281,347","114,618","152,304","46,367","28,696","26,086","64,728","41,329","62,529","38,400","35,163","70,018","54,383","81,322","32,735","53,694","45,595","50,560","30,601","40,122"
2020년02월_계_0~9세,"137,868","20,002","21,862","24,130","10,270","14,112","2,400","1,196","1,218","2,681","1,905","3,612","2,072","1,913","4,319","3,900","7,156","1,490","3,784","3,024","3,311","1,799","1,712"
2020년02월_계_10~19세,"172,888","25,639","27,525","31,232","9,352","16,478","3,076","2,122","1,944","4,096","2,752","5,987","2,974","2,635","5,506","4,644","8,821","2,153","4,344","3,432","3,759","2,280","2,137"
2020년02월_계_20~29세,"202,760","27,657","34,147","37,116","12,259","20,552","5,006","2,512","2,114","4,448","3,130","6,795","3,249","2,908","5,690","5,036","8,214","2,676","5,141","4,696","3,854","2,452","3,108"
2020년02월_계_30~39세,"193,083","27,956","32,124","33,571","14,825","19,129","3,785","1,823","1,827","3,882","2,743","4,911","2,960","2,633","5,476","5,195","9,325","2,255","5,001","3,957","4,360","2,328","3,017"
2020년02월_계_40~49세,"265,366","38,429","42,775","44,151","16,329","24,394","5,444","3,249","3,099","6,624","4,412","8,621","4,342","3,914","8,374","7,688","12,671","3,690","6,816","5,809","6,360","3,618","4,557"
2020년02월_계_50~59세,"317,226","36,893","48,924","49,233","17,366","28,787","8,216","5,023","4,762","10,629","6,876","11,202","6,536","5,876","11,961","9,414","12,481","5,721","8,818","7,676","8,340","5,165","7,327"
2020년02월_계_60~69세,"259,385","27,707","39,042","31,972","15,339","15,649","7,843","4,785","4,423","12,353","7,454","8,819","6,319","6,020","11,967","7,706","10,261","5,700","8,236","6,924","8,305","5,062","7,499"
2020년02월_계_70~79세,"191,719","17,279","23,826","18,541","11,480","7,926","6,282","4,340","3,922","11,516","6,731","7,500","5,563","5,308","10,122","6,373","7,772","5,265","7,164","5,963","7,523","4,812","6,511"
