카테고리,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2020년07월_계_총인구수,"24,014","9,439","2,273","4,036","2,597","4,272","1,397"
2020년07월_계_연령구간인구수,"24,014","9,439","2,273","4,036","2,597","4,272","1,397"
2020년07월_계_0~9세,"1,245",763,59,196,65,130,32
2020년07월_계_10~19세,"1,808",973,110,290,121,259,55
2020년07월_계_20~29세,"1,782",863,145,316,149,243,66
2020년07월_계_30~39세,"1,753",909,142,260,133,246,63
2020년07월_계_40~49세,"2,911","1,468",200,508,238,396,101
2020년07월_계_50~59세,"4,214","1,457",460,798,453,788,258
2020년07월_계_60~69세,"4,260","1,252",497,736,533,902,340
2020년07월_계_70~79세,"3,409","1,013",373,544,493,715,271
2020년07월_계_80~89세,"2,288",623,254,342,368,521,180
2020년07월_계_90~99세,325,109,33,46,40,67,30
2020년07월_계_100세 이상,19,9,0,0,4,5,1
2020년07월_남_총인구수,"11,929","4,700","1,121","2,034","1,271","2,121",682
2020년07월_남_연령구간인구수,"11,929","4,700","1,121","2,034","1,271","2,121",682
2020년07월_남_0~9세,672,403,34,119,33,67,16
2020년07월_남_10~19세,912,488,63,153,57,124,27
2020년07월_남_20~29세,992,476,74,170,88,144,40
2020년07월_남_30~39세,965,467,86,149,76,149,38
2020년07월_남_40~49세,"1,615",769,114,288,143,240,61
2020년07월_남_50~59세,"2,325",821,239,444,254,428,139
2020년07월_남_60~69세,"2,161",600,253,370,280,477,181
2020년07월_남_70~79세,"1,423",439,169,213,197,294,111
2020년07월_남_80~89세,793,215,81,121,133,182,61
2020년07월_남_90~99세,67,21,8,7,9,14,8
2020년07월_남_100세 이상,4,1,0,0,1,2,0
2020년07월_여_총인구수,"12,085","4,739","1,152","2,002","1,326","2,151",715
2020년07월_여_연령구간인구수,"12,085","4,739","1,152","2,002","1,326","2,151",715
2020년07월_여_0~9세,573,360,25,77,32,63,16
2020년07월_여_10~19세,896,485,47,137,64,135,28
2020년07월_여_20~29세,790,387,71,146,61,99,26
2020년07월_여_30~39세,788,442,56,111,57,97,25
2020년07월_여_40~49세,"1,296",699,86,220,95,156,40
2020년07월_여_50~59세,"1,889",636,221,354,199,360,119
2020년07월_여_60~69세,"2,099",652,244,366,253,425,159
2020년07월_여_70~79세,"1,986",574,204,331,296,421,160
2020년07월_여_80~89세,"1,495",408,173,221,235,339,119
2020년07월_여_90~99세,258,88,25,39,31,53,22
2020년07월_여_100세 이상,15,8,0,0,3,3,1
