,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2020년10월_계_총인구수,"582,586","41,982","23,919","21,291","31,614","52,548","18,548","21,925","21,221","34,797","25,055","25,373","34,226","14,647","15,599","37,656","43,942","27,031","44,512","23,129","23,571"
2020년10월_계_연령구간인구수,"582,586","41,982","23,919","21,291","31,614","52,548","18,548","21,925","21,221","34,797","25,055","25,373","34,226","14,647","15,599","37,656","43,942","27,031","44,512","23,129","23,571"
2020년10월_계_0~9세,"40,226","4,172","1,327","1,341","1,727","2,858","1,278","1,335","1,187","2,339","1,312","1,402","1,755",529,742,"3,496","3,852","2,630","4,390","1,168","1,386"
2020년10월_계_10~19세,"45,209","4,591","1,347","1,675","2,098","2,542","1,476","1,660","1,378","2,464","1,691","1,672","1,939",488,610,"5,047","5,536","1,728","4,242","1,487","1,538"
2020년10월_계_20~29세,"87,210","5,497","4,893","3,332","4,235","9,325","2,619","3,175","3,002","5,914","4,266","3,825","8,467","1,738","1,874","4,674","5,279","3,804","5,372","3,313","2,606"
2020년10월_계_30~39세,"99,547","7,329","5,870","3,613","4,657","10,624","2,934","3,237","3,417","6,417","4,194","4,351","8,281","2,462","3,137","4,504","5,649","5,094","6,569","3,483","3,725"
2020년10월_계_40~49세,"91,429","7,704","3,273","3,089","3,958","7,573","3,168","3,259","3,290","5,595","3,658","4,051","4,628","1,495","1,931","7,296","8,723","4,267","7,759","3,193","3,519"
2020년10월_계_50~59세,"86,760","6,012","3,026","3,479","5,439","7,522","2,856","3,360","3,424","4,941","4,028","3,814","4,251","2,262","2,308","5,716","6,530","3,834","6,586","3,716","3,656"
2020년10월_계_60~69세,"76,018","4,149","2,265","2,872","5,212","6,981","2,429","3,434","3,176","4,210","3,619","3,519","3,158","3,225","2,675","3,877","4,944","3,243","5,540","3,623","3,867"
2020년10월_계_70~79세,"38,814","1,736","1,133","1,363","2,543","3,779","1,334","1,791","1,664","2,107","1,637","2,061","1,175","1,536","1,551","2,138","2,528","1,662","2,810","2,128","2,138"
2020년10월_계_80~89세,"14,626",687,640,444,"1,432","1,166",382,551,588,674,551,593,485,771,646,759,754,641,"1,056",869,937
2020년10월_계_90~99세,"2,513",94,139,80,302,156,65,100,89,127,93,78,82,138,122,138,123,101,174,123,189
2020년10월_계_100세 이상,234,11,6,3,11,22,7,23,6,9,6,7,5,3,3,11,24,27,14,26,10
2020년10월_남_총인구수,"281,422","20,430","11,228","10,435","15,079","25,574","9,031","10,539","10,403","16,989","12,239","12,209","15,777","6,946","7,302","17,855","21,043","13,723","21,720","11,450","11,450"
2020년10월_남_연령구간인구수,"281,422","20,430","11,228","10,435","15,079","25,574","9,031","10,539","10,403","16,989","12,239","12,209","15,777","6,946","7,302","17,855","21,043","13,723","21,720","11,450","11,450"
2020년10월_남_0~9세,"20,592","2,163",693,696,890,"1,457",651,712,620,"1,199",658,697,902,263,397,"1,796","1,935","1,347","2,180",617,719
2020년10월_남_10~19세,"23,062","2,356",771,925,"1,100","1,271",736,837,712,"1,324",952,851,980,266,307,"2,409","2,664",900,"2,126",781,794
2020년10월_남_20~29세,"40,502","2,538","1,974","1,676","2,189","4,250","1,324","1,499","1,563","2,768","2,039","1,878","2,878",774,889,"2,289","2,524","1,911","2,587","1,589","1,363"
2020년10월_남_30~39세,"50,592","3,495","2,837","1,826","2,401","5,629","1,536","1,623","1,788","3,438","2,149","2,260","4,189","1,284","1,590","2,142","2,710","2,668","3,225","1,894","1,908"
2020년10월_남_40~49세,"45,849","3,766","1,620","1,510","1,877","3,968","1,601","1,562","1,691","2,854","1,849","2,056","2,418",759,"1,019","3,465","4,076","2,305","3,953","1,704","1,796"
2020년10월_남_50~59세,"41,496","2,954","1,460","1,617","2,505","3,560","1,329","1,594","1,628","2,327","1,900","1,708","2,032","1,058","1,075","2,746","3,256","1,939","3,204","1,845","1,759"
2020년10월_남_60~69세,"35,294","2,069","1,081","1,337","2,442","3,098","1,070","1,597","1,402","1,838","1,691","1,513","1,611","1,591","1,169","1,726","2,306","1,575","2,663","1,714","1,801"
2020년10월_남_70~79세,"18,138",821,506,672,"1,138","1,848",616,892,759,957,800,987,567,698,634,977,"1,237",789,"1,344",951,945
2020년10월_남_80~89세,"5,248",243,236,160,452,442,154,193,219,253,183,238,176,226,200,281,304,264,392,313,319
2020년10월_남_90~99세,576,25,48,16,80,42,12,26,19,28,17,19,23,25,21,21,25,14,40,31,44
2020년10월_남_100세 이상,73,0,2,0,5,9,2,4,2,3,1,2,1,2,1,3,6,11,6,11,2
2020년10월_여_총인구수,"301,164","21,552","12,691","10,856","16,535","26,974","9,517","11,386","10,818","17,808","12,816","13,164","18,449","7,701","8,297","19,801","22,899","13,308","22,792","11,679","12,121"
2020년10월_여_연령구간인구수,"301,164","21,552","12,691","10,856","16,535","26,974","9,517","11,386","10,818","17,808","12,816","13,164","18,449","7,701","8,297","19,801","22,899","13,308","22,792","11,679","12,121"
2020년10월_여_0~9세,"19,634","2,009",634,645,837,"1,401",627,623,567,"1,140",654,705,853,266,345,"1,700","1,917","1,283","2,210",551,667
2020년10월_여_10~19세,"22,147","2,235",576,750,998,"1,271",740,823,666,"1,140",739,821,959,222,303,"2,638","2,872",828,"2,116",706,744
2020년10월_여_20~29세,"46,708","2,959","2,919","1,656","2,046","5,075","1,295","1,676","1,439","3,146","2,227","1,947","5,589",964,985,"2,385","2,755","1,893","2,785","1,724","1,243"
2020년10월_여_30~39세,"48,955","3,834","3,033","1,787","2,256","4,995","1,398","1,614","1,629","2,979","2,045","2,091","4,092","1,178","1,547","2,362","2,939","2,426","3,344","1,589","1,817"
2020년10월_여_40~49세,"45,580","3,938","1,653","1,579","2,081","3,605","1,567","1,697","1,599","2,741","1,809","1,995","2,210",736,912,"3,831","4,647","1,962","3,806","1,489","1,723"
2020년10월_여_50~59세,"45,264","3,058","1,566","1,862","2,934","3,962","1,527","1,766","1,796","2,614","2,128","2,106","2,219","1,204","1,233","2,970","3,274","1,895","3,382","1,871","1,897"
2020년10월_여_60~69세,"40,724","2,080","1,184","1,535","2,770","3,883","1,359","1,837","1,774","2,372","1,928","2,006","1,547","1,634","1,506","2,151","2,638","1,668","2,877","1,909","2,066"
2020년10월_여_70~79세,"20,676",915,627,691,"1,405","1,931",718,899,905,"1,150",837,"1,074",608,838,917,"1,161","1,291",873,"1,466","1,177","1,193"
2020년10월_여_80~89세,"9,378",444,404,284,980,724,228,358,369,421,368,355,309,545,446,478,450,377,664,556,618
2020년10월_여_90~99세,"1,937",69,91,64,222,114,53,74,70,99,76,59,59,113,101,117,98,87,134,92,145
2020년10월_여_100세 이상,161,11,4,3,6,13,5,19,4,6,5,5,4,1,2,8,18,16,8,15,8
