,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2020년11월_계_총인구수,"62,026","11,119","11,086","10,401","11,614","9,792","8,014"
2020년11월_계_연령구간인구수,"62,026","11,119","11,086","10,401","11,614","9,792","8,014"
2020년11월_계_0~9세,"5,005",831,"1,277",624,962,676,635
2020년11월_계_10~19세,"6,251",994,"1,478","1,102","1,164",622,891
2020년11월_계_20~29세,"8,594","1,636","1,212","1,698","1,684","1,332","1,032"
2020년11월_계_30~39세,"8,587","1,492","1,392","1,194","1,796","1,708","1,005"
2020년11월_계_40~49세,"9,393","1,464","2,113","1,381","1,670","1,456","1,309"
2020년11월_계_50~59세,"10,898","2,084","1,738","2,064","2,071","1,588","1,353"
2020년11월_계_60~69세,"7,310","1,503","1,006","1,223","1,264","1,398",916
2020년11월_계_70~79세,"3,676",646,558,607,590,695,580
2020년11월_계_80~89세,"1,892",376,262,407,340,275,232
2020년11월_계_90~99세,367,79,46,88,68,39,47
2020년11월_계_100세 이상,53,14,4,13,5,3,14
2020년11월_남_총인구수,"30,466","5,394","5,398","4,963","5,695","5,100","3,916"
2020년11월_남_연령구간인구수,"30,466","5,394","5,398","4,963","5,695","5,100","3,916"
2020년11월_남_0~9세,"2,609",443,648,325,523,330,340
2020년11월_남_10~19세,"3,231",496,742,573,619,341,460
2020년11월_남_20~29세,"4,520",862,644,855,862,734,563
2020년11월_남_30~39세,"4,345",736,616,589,915,971,518
2020년11월_남_40~49세,"4,521",671,"1,018",617,788,796,631
2020년11월_남_50~59세,"5,297",965,887,995,982,792,676
2020년11월_남_60~69세,"3,548",771,499,580,619,680,399
2020년11월_남_70~79세,"1,622",297,225,258,262,338,242
2020년11월_남_80~89세,680,135,105,146,112,106,76
2020년11월_남_90~99세,83,16,14,21,12,12,8
2020년11월_남_100세 이상,10,2,0,4,1,0,3
2020년11월_여_총인구수,"31,560","5,725","5,688","5,438","5,919","4,692","4,098"
2020년11월_여_연령구간인구수,"31,560","5,725","5,688","5,438","5,919","4,692","4,098"
2020년11월_여_0~9세,"2,396",388,629,299,439,346,295
2020년11월_여_10~19세,"3,020",498,736,529,545,281,431
2020년11월_여_20~29세,"4,074",774,568,843,822,598,469
2020년11월_여_30~39세,"4,242",756,776,605,881,737,487
2020년11월_여_40~49세,"4,872",793,"1,095",764,882,660,678
2020년11월_여_50~59세,"5,601","1,119",851,"1,069","1,089",796,677
2020년11월_여_60~69세,"3,762",732,507,643,645,718,517
2020년11월_여_70~79세,"2,054",349,333,349,328,357,338
2020년11월_여_80~89세,"1,212",241,157,261,228,169,156
2020년11월_여_90~99세,284,63,32,67,56,27,39
2020년11월_여_100세 이상,43,12,4,9,4,3,11
