카테고리,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 완산구 중앙동,전라북도 전주시 완산구 풍남동,전라북도 전주시 완산구 노송동,전라북도 전주시 완산구 완산동,전라북도 전주시 완산구 동서학동,전라북도 전주시 완산구 서서학동,전라북도 전주시 완산구 중화산1동,전라북도 전주시 완산구 중화산2동,전라북도 전주시 완산구 서신동,전라북도 전주시 완산구 평화1동,전라북도 전주시 완산구 평화2동,전라북도 전주시 완산구 삼천1동,전라북도 전주시 완산구 삼천2동,전라북도 전주시 완산구 삼천3동,전라북도 전주시 완산구 효자1동,전라북도 전주시 완산구 효자2동,전라북도 전주시 완산구 효자3동,전라북도 전주시 완산구 효자4동,전라북도 전주시 완산구 효자5동,전라북도 전주시 덕진구,전라북도 전주시 덕진구 진북동,전라북도 전주시 덕진구 인후1동,전라북도 전주시 덕진구 인후2동,전라북도 전주시 덕진구 인후3동,전라북도 전주시 덕진구 덕진동,전라북도 전주시 덕진구 금암1동,전라북도 전주시 덕진구 금암2동,전라북도 전주시 덕진구 팔복동,전라북도 전주시 덕진구 우아1동,전라북도 전주시 덕진구 우아2동,전라북도 전주시 덕진구 호성동,전라북도 전주시 덕진구 송천1동,전라북도 전주시 덕진구 송천2동,전라북도 전주시 덕진구 조촌동,전라북도 전주시 덕진구 여의동,전라북도 전주시 덕진구 혁신동,전라북도 전주시효자출장소
2020년06월_계_총인구수,"655,472","338,697","7,796","4,368","12,819","5,028","6,585","8,886","14,905","19,679","39,569","13,102","45,490","12,196","13,904","22,537","11,375","10,597","15,141","37,726","36,994","316,775","14,658","18,819","11,659","31,979","20,135","7,640","10,174","7,876","9,895","14,750","20,794","61,016","26,642","12,326","30,631","17,781",0
2020년06월_계_연령구간인구수,"655,472","338,697","7,796","4,368","12,819","5,028","6,585","8,886","14,905","19,679","39,569","13,102","45,490","12,196","13,904","22,537","11,375","10,597","15,141","37,726","36,994","316,775","14,658","18,819","11,659","31,979","20,135","7,640","10,174","7,876","9,895","14,750","20,794","61,016","26,642","12,326","30,631","17,781",0
2020년06월_계_0~9세,"55,174","25,166",339,116,636,194,324,353,"1,027","1,473","3,141",649,"4,069",785,722,"1,619",671,566,"1,062","4,196","3,224","30,008",692,"1,552",593,"2,763","2,087",213,490,345,684,924,"1,608","8,246","2,218",865,"3,803","2,925",0
2020년06월_계_10~19세,"72,734","36,873",487,198,862,370,478,696,"1,320","2,691","4,951",895,"5,447","1,188","1,335","2,678",971,974,"1,618","4,851","4,863","35,861","1,124","2,442",797,"4,209","1,615",393,687,554,806,"1,325","2,633","8,654","3,188","1,018","3,161","3,255",0
2020년06월_계_20~29세,"92,261","49,099",957,409,"1,442",521,727,"1,023","2,373","3,150","6,120","1,417","5,773","1,768","2,139","3,116","1,512","1,555","2,139","5,951","7,007","43,162","1,768","2,393","1,595","4,635","3,159","2,147","1,575",860,"1,356","2,022","2,808","7,842","3,982","1,556","3,889","1,575",0
2020년06월_계_30~39세,"82,399","40,134",804,419,"1,395",442,591,791,"1,735","2,382","4,809","1,379","5,264","1,262","1,353","2,239","1,192","1,128","1,736","5,132","6,081","42,265","1,369","1,974","1,361","4,013","3,409",946,"1,092",772,"1,287","2,051","2,126","9,507","3,014","1,694","5,270","2,380",0
2020년06월_계_40~49세,"107,657","54,043",960,546,"1,725",713,833,"1,224","2,002","3,577","6,884","1,806","7,528","1,759","1,841","3,640","1,597","1,464","2,214","6,625","7,105","53,614","1,881","3,190","1,538","6,123","3,069",876,"1,310","1,146","1,467","2,518","3,275","11,781","4,215","1,837","5,189","4,199",0
2020년06월_계_50~59세,"105,676","56,933","1,351",735,"2,083",817,"1,095","1,580","2,585","3,255","6,821","2,375","7,519","2,315","2,687","4,266","1,873","1,869","2,564","5,777","5,366","48,743","2,426","2,873","1,918","4,974","2,758","1,114","1,624","1,503","1,692","2,639","3,632","8,274","4,662","2,145","4,446","2,063",0
2020년06월_계_60~69세,"74,463","41,035","1,400",866,"2,184",866,"1,255","1,599","2,134","1,848","3,696","2,208","5,600","1,730","2,248","2,715","1,793","1,645","2,045","3,229","1,974","33,428","2,332","2,228","1,885","2,723","2,068",945,"1,638","1,380","1,461","1,787","2,690","3,987","2,985","1,655","2,803",861,0
2020년06월_계_70~79세,"43,085","23,315",974,696,"1,571",712,820,"1,106","1,131",867,"2,059","1,530","2,853",937,"1,109","1,398","1,213",994,"1,141","1,281",923,"19,770","1,981","1,516","1,361","1,710","1,326",664,"1,231",921,754,952,"1,304","1,795","1,580",964,"1,368",343,0
2020년06월_계_80~89세,"19,192","10,492",459,317,792,346,406,455,530,369,975,730,"1,258",388,414,742,482,341,527,570,391,"8,700",958,568,554,740,549,303,479,347,337,464,636,792,691,524,609,149,0
2020년06월_계_90~99세,"2,671","1,526",56,61,114,46,53,53,65,64,109,111,171,61,55,122,68,58,94,110,55,"1,145",119,75,52,84,77,38,47,43,49,66,78,135,105,61,85,31,0
2020년06월_계_100세 이상,160,81,9,5,15,1,3,6,3,3,4,2,8,3,1,2,3,3,1,4,5,79,8,8,5,5,18,1,1,5,2,2,4,3,2,7,8,0,0
2020년06월_남_총인구수,"322,788","165,043","3,923","2,179","6,240","2,501","3,264","4,315","7,190","9,793","19,285","6,291","22,023","5,943","6,705","10,978","5,466","5,060","7,166","18,307","18,414","157,745","7,210","9,082","5,846","15,656","10,190","4,077","5,019","4,280","4,994","7,635","10,010","30,290","13,018","6,325","15,461","8,652",0
2020년06월_남_연령구간인구수,"322,788","165,043","3,923","2,179","6,240","2,501","3,264","4,315","7,190","9,793","19,285","6,291","22,023","5,943","6,705","10,978","5,466","5,060","7,166","18,307","18,414","157,745","7,210","9,082","5,846","15,656","10,190","4,077","5,019","4,280","4,994","7,635","10,010","30,290","13,018","6,325","15,461","8,652",0
2020년06월_남_0~9세,"28,268","12,964",185,61,328,105,167,190,549,729,"1,619",360,"2,089",405,362,807,355,293,555,"2,172","1,633","15,304",366,749,302,"1,378","1,071",104,266,184,335,465,799,"4,237","1,124",439,"1,994","1,491",0
2020년06월_남_10~19세,"37,621","19,135",244,110,462,201,262,351,713,"1,396","2,506",473,"2,796",619,655,"1,429",531,495,822,"2,556","2,514","18,486",608,"1,277",412,"2,147",847,188,355,288,412,664,"1,302","4,482","1,655",548,"1,628","1,673",0
2020년06월_남_20~29세,"48,473","25,493",531,204,766,270,372,553,"1,174","1,639","3,161",746,"3,045",952,"1,161","1,728",806,800,"1,129","2,962","3,494","22,980",945,"1,261",838,"2,392","1,728","1,215",823,507,714,"1,054","1,561","4,159","2,039",859,"2,049",836,0
2020년06월_남_30~39세,"41,617","20,363",436,252,719,250,320,439,877,"1,232","2,399",766,"2,595",662,708,"1,106",593,582,854,"2,474","3,099","21,254",747,952,759,"1,977","1,741",558,604,481,706,"1,132","1,023","4,517","1,497",915,"2,685",960,0
2020년06월_남_40~49세,"52,740","25,856",513,332,909,392,446,662,928,"1,678","3,196",944,"3,552",822,861,"1,652",803,704,"1,036","3,094","3,332","26,884",984,"1,513",825,"2,935","1,676",534,709,722,782,"1,328","1,522","5,694","1,990","1,005","2,643","2,022",0
2020년06월_남_50~59세,"51,865","27,403",682,377,"1,016",440,558,773,"1,177","1,628","3,336","1,141","3,576","1,087","1,197","2,040",854,861,"1,102","2,732","2,826","24,462","1,200","1,385",970,"2,519","1,343",590,792,834,823,"1,453","1,742","4,167","2,252","1,117","2,218","1,057",0
2020년06월_남_60~69세,"35,553","19,429",658,405,992,426,613,698,"1,013",926,"1,764","1,019","2,655",828,"1,080","1,346",821,731,924,"1,568",962,"16,124","1,094","1,005",863,"1,296",950,457,705,717,709,913,"1,282","1,973","1,483",851,"1,411",415,0
2020년06월_남_70~79세,"19,132","10,361",472,301,714,292,372,493,531,414,899,595,"1,261",423,536,607,506,452,520,560,413,"8,771",821,699,617,742,601,285,550,416,365,439,549,779,723,420,610,155,0
2020년06월_남_80~89세,"6,876","3,681",186,123,304,114,144,148,205,136,373,223,415,132,135,231,183,124,204,167,134,"3,195",402,227,248,250,209,134,201,120,133,172,215,254,234,158,203,35,0
2020년06월_남_90~99세,613,342,15,11,28,11,9,6,22,15,32,23,39,11,10,32,13,18,20,21,6,271,41,14,12,19,20,11,14,10,14,14,14,27,21,13,19,8,0
2020년06월_남_100세 이상,30,16,1,3,2,0,1,2,1,0,0,1,0,2,0,0,1,0,0,1,1,14,2,0,0,1,4,1,0,1,1,1,1,1,0,0,1,0,0
