카테고리,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2020년12월_계_총인구수,"140,548","7,131","3,043","3,128","2,478","3,305","4,062","3,196","3,469","1,942","2,237","2,835","1,576","1,260","2,294","1,036","6,748","7,641","3,961","25,224","20,434","11,061","22,487"
2020년12월_계_연령구간인구수,"140,548","7,131","3,043","3,128","2,478","3,305","4,062","3,196","3,469","1,942","2,237","2,835","1,576","1,260","2,294","1,036","6,748","7,641","3,961","25,224","20,434","11,061","22,487"
2020년12월_계_0~9세,"10,437",382,116,67,58,71,153,94,82,58,57,58,39,28,46,11,219,215,139,"2,108","1,401",902,"4,133"
2020년12월_계_10~19세,"12,245",422,132,146,102,105,188,147,190,77,95,85,55,35,301,35,377,438,236,"3,124","2,271","1,102","2,582"
2020년12월_계_20~29세,"14,620",552,251,244,181,168,308,254,304,147,140,171,81,67,115,45,621,809,322,"3,670","2,398","1,431","2,341"
2020년12월_계_30~39세,"15,142",579,224,198,149,177,214,196,208,120,124,141,65,46,105,28,556,714,260,"2,877","2,060","1,290","4,811"
2020년12월_계_40~49세,"19,401",837,307,310,205,249,431,287,320,181,197,197,114,112,163,85,832,856,416,"4,106","2,978","1,841","4,377"
2020년12월_계_50~59세,"23,907","1,449",562,596,484,583,742,626,740,380,434,542,273,216,376,222,"1,120","1,336",672,"4,298","3,717","1,948","2,591"
2020년12월_계_60~69세,"22,012","1,432",646,693,607,826,893,770,791,417,527,660,374,319,484,281,"1,513","1,598",857,"2,752","3,042","1,458","1,072"
2020년12월_계_70~79세,"13,435",847,445,480,400,575,657,501,466,288,346,512,307,231,375,156,"1,008","1,055",655,"1,400","1,618",732,381
2020년12월_계_80~89세,"8,114",537,316,332,249,476,401,285,308,240,276,396,231,179,291,156,447,543,362,794,825,301,169
