,경상북도 봉화군,경상북도 봉화군 봉화읍,경상북도 봉화군 물야면,경상북도 봉화군 봉성면,경상북도 봉화군 법전면,경상북도 봉화군 춘양면,경상북도 봉화군 소천면,경상북도 봉화군 재산면,경상북도 봉화군 명호면,경상북도 봉화군 상운면,경상북도 봉화군 석포면
2020년07월_계_총인구수,"31,777","10,047","3,171","2,144","2,041","4,488","2,258","1,548","2,277","1,767","2,036"
2020년07월_계_연령구간인구수,"31,777","10,047","3,171","2,144","2,041","4,488","2,258","1,548","2,277","1,767","2,036"
2020년07월_계_0~9세,"1,456",634,100,57,76,192,68,31,60,31,207
2020년07월_계_10~19세,"1,893",882,148,97,81,249,97,76,107,39,117
2020년07월_계_20~29세,"2,077",905,152,136,111,264,108,67,115,90,129
2020년07월_계_30~39세,"2,033",808,167,130,101,253,100,61,102,69,242
2020년07월_계_40~49세,"3,288","1,310",247,175,156,412,210,135,206,137,300
2020년07월_계_50~59세,"5,875","1,779",607,381,368,887,444,335,452,289,333
2020년07월_계_60~69세,"6,683","1,658",774,511,456,968,568,401,546,440,361
2020년07월_계_70~79세,"4,776","1,169",548,361,359,704,376,250,404,390,215
2020년07월_계_80~89세,"3,184",758,375,257,292,466,251,167,249,254,115
2020년07월_계_90~99세,485,138,51,38,39,86,32,24,35,25,17
2020년07월_계_100세 이상,27,6,2,1,2,7,4,1,1,3,0
2020년07월_남_총인구수,"16,005","4,946","1,591","1,046","1,034","2,238","1,133",782,"1,201",906,"1,128"
2020년07월_남_연령구간인구수,"16,005","4,946","1,591","1,046","1,034","2,238","1,133",782,"1,201",906,"1,128"
2020년07월_남_0~9세,753,338,50,31,41,100,35,16,30,14,98
2020년07월_남_10~19세,"1,015",428,91,47,41,143,54,49,68,25,69
2020년07월_남_20~29세,"1,214",503,94,86,66,149,68,36,80,61,71
2020년07월_남_30~39세,"1,104",399,97,72,62,127,48,33,64,42,160
2020년07월_남_40~49세,"1,932",702,140,110,98,250,130,73,134,91,204
2020년07월_남_50~59세,"3,158",940,318,195,209,460,234,179,255,166,202
2020년07월_남_60~69세,"3,469",839,405,260,245,497,306,220,285,218,194
2020년07월_남_70~79세,"2,129",504,251,154,154,313,173,112,192,186,90
2020년07월_남_80~89세,"1,112",273,131,83,106,173,74,55,88,95,34
2020년07월_남_90~99세,114,19,14,7,12,23,11,9,5,8,6
2020년07월_남_100세 이상,5,1,0,1,0,3,0,0,0,0,0
2020년07월_여_총인구수,"15,772","5,101","1,580","1,098","1,007","2,250","1,125",766,"1,076",861,908
2020년07월_여_연령구간인구수,"15,772","5,101","1,580","1,098","1,007","2,250","1,125",766,"1,076",861,908
2020년07월_여_0~9세,703,296,50,26,35,92,33,15,30,17,109
2020년07월_여_10~19세,878,454,57,50,40,106,43,27,39,14,48
2020년07월_여_20~29세,863,402,58,50,45,115,40,31,35,29,58
2020년07월_여_30~39세,929,409,70,58,39,126,52,28,38,27,82
2020년07월_여_40~49세,"1,356",608,107,65,58,162,80,62,72,46,96
2020년07월_여_50~59세,"2,717",839,289,186,159,427,210,156,197,123,131
2020년07월_여_60~69세,"3,214",819,369,251,211,471,262,181,261,222,167
2020년07월_여_70~79세,"2,647",665,297,207,205,391,203,138,212,204,125
2020년07월_여_80~89세,"2,072",485,244,174,186,293,177,112,161,159,81
2020년07월_여_90~99세,371,119,37,31,27,63,21,15,30,17,11
2020년07월_여_100세 이상,22,5,2,0,2,4,4,1,1,3,0
