카테고리,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2020년07월_남_20~29세,"28,032","1,355","2,938","1,479","1,088","1,484",892,"1,802","2,241","2,532","1,606","1,642","1,332","1,453","1,501","2,739","1,948"
2020년07월_남_30~39세,"30,823","2,401","3,245","1,763","1,748","1,173",929,"1,847","1,965","2,379","1,801","1,901","1,420","1,539","1,678","3,170","1,864"
2020년07월_남_40~49세,"30,120","2,018","2,881","1,581","2,133","1,067","1,125","1,838","1,987","1,846","1,303","1,616","1,631","1,191","1,612","3,249","3,042"
2020년07월_남_50~59세,"26,709","1,805","3,284","1,693","1,464","1,072",886,"1,791","1,765","1,495","1,135","1,482","1,393",954,"1,355","2,824","2,311"
2020년07월_남_60~69세,"17,976","1,239","2,138","1,246","1,006",677,537,"1,168","1,150",999,859,"1,077",940,776,977,"1,870","1,317"
2020년07월_남_70~79세,"10,378",508,"1,146",705,543,373,328,626,600,684,537,703,635,469,579,"1,167",775
2020년07월_남_80~89세,"4,176",253,430,310,235,171,150,267,265,319,193,225,210,196,228,412,312
2020년07월_남_90~99세,456,30,43,36,22,23,14,38,27,34,25,24,23,34,19,36,28
2020년07월_남_100세 이상,80,14,9,6,3,4,2,5,1,10,3,0,5,6,5,5,2
2020년07월_여_총인구수,"197,599","13,218","20,681","11,476","11,495","7,301","6,308","11,971","13,099","13,467","9,875","11,188","10,041","8,357","10,367","22,166","16,589"
2020년07월_여_연령구간인구수,"197,599","13,218","20,681","11,476","11,495","7,301","6,308","11,971","13,099","13,467","9,875","11,188","10,041","8,357","10,367","22,166","16,589"
2020년07월_여_0~9세,"12,681","1,403","1,124",720,"1,207",309,460,836,943,435,573,565,597,351,526,"1,343","1,289"
2020년07월_여_10~19세,"14,344",836,"1,246",788,"1,020",445,581,894,885,648,532,689,847,384,744,"1,700","2,105"
2020년07월_여_20~29세,"33,747","1,708","3,743","1,593","1,200","1,792",911,"1,735","2,447","3,367","1,979","1,897","1,511","1,740","1,695","4,063","2,366"
2020년07월_여_30~39세,"34,350","2,740","3,379","1,898","2,010","1,144","1,011","1,987","2,265","2,855","1,992","2,117","1,581","1,643","1,801","3,707","2,220"
2020년07월_여_40~49세,"31,706","1,996","2,941","1,706","2,278","1,035","1,059","2,122","2,124","1,907","1,377","1,680","1,690","1,194","1,810","3,497","3,290"
2020년07월_여_50~59세,"27,590","1,941","3,389","1,843","1,481",946,889,"1,751","1,919","1,583","1,264","1,513","1,406","1,085","1,469","2,956","2,155"
2020년07월_여_60~69세,"20,937","1,372","2,302","1,388","1,101",752,618,"1,265","1,233","1,264","1,053","1,348","1,215",925,"1,189","2,290","1,622"
2020년07월_여_70~79세,"14,166",718,"1,587",879,741,542,508,916,804,879,701,918,820,654,782,"1,742",975
2020년07월_여_80~89세,"6,671",393,816,533,391,255,229,383,397,418,333,395,316,320,300,717,475
2020년07월_여_90~99세,"1,160",73,123,107,59,61,32,69,68,94,57,60,47,49,42,142,77
2020년07월_여_100세 이상,247,38,31,21,7,20,10,13,14,17,14,6,11,12,9,9,15
