카테고리,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2020년01월_계_총인구수,"32,296","10,348","1,469","1,915","2,644","8,741","2,017","1,645","3,517"
2020년01월_계_연령구간인구수,"32,296","10,348","1,469","1,915","2,644","8,741","2,017","1,645","3,517"
2020년01월_계_0~9세,"1,587",649,35,50,75,575,43,35,125
2020년01월_계_10~19세,"2,188",969,54,51,85,817,46,56,110
2020년01월_계_20~29세,"2,773","1,033",99,140,230,803,155,86,227
2020년01월_계_30~39세,"2,541",888,78,115,196,860,125,81,198
2020년01월_계_40~49세,"4,068","1,596",110,165,271,"1,310",167,147,302
2020년01월_계_50~59세,"6,130","1,903",266,358,566,"1,648",431,292,666
2020년01월_계_60~69세,"6,049","1,620",359,429,570,"1,441",468,371,791
2020년01월_계_70~79세,"4,069","1,048",238,348,375,821,339,313,587
2020년01월_계_80~89세,"2,580",578,207,227,245,422,215,241,445
2020년01월_계_90~99세,304,64,21,31,30,44,28,22,64
2020년01월_계_100세 이상,7,0,2,1,1,0,0,1,2
2020년01월_남_총인구수,"16,510","5,193",734,955,"1,439","4,533","1,072",841,"1,743"
2020년01월_남_연령구간인구수,"16,510","5,193",734,955,"1,439","4,533","1,072",841,"1,743"
2020년01월_남_0~9세,801,328,19,25,31,291,24,17,66
2020년01월_남_10~19세,"1,187",533,29,31,46,441,25,25,57
2020년01월_남_20~29세,"1,560",569,56,76,135,451,95,54,124
2020년01월_남_30~39세,"1,389",457,49,67,123,456,78,51,108
2020년01월_남_40~49세,"2,290",833,63,104,174,715,115,93,193
2020년01월_남_50~59세,"3,405","1,050",142,189,330,903,257,172,362
2020년01월_남_60~69세,"3,171",788,206,228,327,757,256,186,423
2020년01월_남_70~79세,"1,771",432,90,152,177,363,154,151,252
2020년01월_남_80~89세,859,192,73,74,88,147,60,85,140
2020년01월_남_90~99세,73,11,6,8,8,9,8,6,17
2020년01월_남_100세 이상,4,0,1,1,0,0,0,1,1
2020년01월_여_총인구수,"15,786","5,155",735,960,"1,205","4,208",945,804,"1,774"
2020년01월_여_연령구간인구수,"15,786","5,155",735,960,"1,205","4,208",945,804,"1,774"
2020년01월_여_0~9세,786,321,16,25,44,284,19,18,59
2020년01월_여_10~19세,"1,001",436,25,20,39,376,21,31,53
2020년01월_여_20~29세,"1,213",464,43,64,95,352,60,32,103
2020년01월_여_30~39세,"1,152",431,29,48,73,404,47,30,90
2020년01월_여_40~49세,"1,778",763,47,61,97,595,52,54,109
2020년01월_여_50~59세,"2,725",853,124,169,236,745,174,120,304
2020년01월_여_60~69세,"2,878",832,153,201,243,684,212,185,368
2020년01월_여_70~79세,"2,298",616,148,196,198,458,185,162,335
2020년01월_여_80~89세,"1,721",386,134,153,157,275,155,156,305
2020년01월_여_90~99세,231,53,15,23,22,35,20,16,47
2020년01월_여_100세 이상,3,0,1,0,1,0,0,0,1
