카테고리,울산광역시 동구,울산광역시 동구 방어동,울산광역시 동구 일산동,울산광역시 동구 화정동,울산광역시 동구 대송동,울산광역시 동구 전하1동,울산광역시 동구 전하2동,울산광역시 동구 남목1동,울산광역시 동구 남목2동,울산광역시 동구 남목3동
2021년02월_계_총인구수,"156,209","40,232","5,833","19,870","11,759","15,022","20,814","8,870","21,493","12,316"
2021년02월_계_연령구간인구수,"156,209","40,232","5,833","19,870","11,759","15,022","20,814","8,870","21,493","12,316"
2021년02월_계_0~9세,"14,603","3,553",235,"2,163",907,"1,350","2,076",669,"2,372","1,278"
2021년02월_계_10~19세,"15,597","4,095",366,"1,922","1,187","1,372","2,303",929,"2,148","1,275"
2021년02월_계_20~29세,"17,576","4,621",728,"2,004","1,513","1,919","2,385",904,"2,356","1,146"
2021년02월_계_30~39세,"22,609","5,833",768,"2,933","1,512","2,190","2,675","1,101","3,769","1,828"
2021년02월_계_40~49세,"26,095","7,321",841,"3,233","1,961","2,329","3,429","1,405","3,480","2,096"
2021년02월_계_50~59세,"25,433","6,589","1,057","3,208","2,251","2,361","3,773","1,415","2,945","1,834"
2021년02월_계_60~69세,"23,003","5,436","1,162","2,827","1,712","2,246","2,894","1,618","3,229","1,879"
2021년02월_계_70~79세,"8,394","2,040",509,"1,115",513,982,941,634,955,705
2021년02월_계_80~89세,"2,515",636,147,413,181,237,287,169,204,241
2021년02월_계_90~99세,356,100,19,48,19,32,49,25,33,31
2021년02월_계_100세 이상,28,8,1,4,3,4,2,1,2,3
2021년02월_남_총인구수,"81,652","21,612","3,139","10,258","6,151","7,767","10,613","4,537","11,335","6,240"
2021년02월_남_연령구간인구수,"81,652","21,612","3,139","10,258","6,151","7,767","10,613","4,537","11,335","6,240"
2021년02월_남_0~9세,"7,484","1,825",118,"1,103",471,704,"1,021",344,"1,237",661
2021년02월_남_10~19세,"8,243","2,196",190,"1,010",637,757,"1,162",472,"1,160",659
2021년02월_남_20~29세,"9,882","2,630",417,"1,115",837,976,"1,352",539,"1,388",628
2021년02월_남_30~39세,"12,422","3,376",489,"1,507",847,"1,193","1,378",587,"2,076",969
2021년02월_남_40~49세,"14,205","4,170",497,"1,777","1,011","1,278","1,767",740,"1,870","1,095"
2021년02월_남_50~59세,"12,663","3,460",546,"1,627","1,135","1,147","1,862",676,"1,353",857
2021년02월_남_60~69세,"11,549","2,733",560,"1,431",886,"1,085","1,465",806,"1,630",953
2021년02월_남_70~79세,"4,311","1,012",266,554,261,530,499,314,534,341
2021년02월_남_80~89세,838,204,52,122,65,87,101,57,80,70
2021년02월_남_90~99세,50,6,4,12,1,7,5,2,6,7
2021년02월_남_100세 이상,5,0,0,0,0,3,1,0,1,0
2021년02월_여_총인구수,"74,557","18,620","2,694","9,612","5,608","7,255","10,201","4,333","10,158","6,076"
2021년02월_여_연령구간인구수,"74,557","18,620","2,694","9,612","5,608","7,255","10,201","4,333","10,158","6,076"
2021년02월_여_0~9세,"7,119","1,728",117,"1,060",436,646,"1,055",325,"1,135",617
2021년02월_여_10~19세,"7,354","1,899",176,912,550,615,"1,141",457,988,616
2021년02월_여_20~29세,"7,694","1,991",311,889,676,943,"1,033",365,968,518
2021년02월_여_30~39세,"10,187","2,457",279,"1,426",665,997,"1,297",514,"1,693",859
2021년02월_여_40~49세,"11,890","3,151",344,"1,456",950,"1,051","1,662",665,"1,610","1,001"
2021년02월_여_50~59세,"12,770","3,129",511,"1,581","1,116","1,214","1,911",739,"1,592",977
2021년02월_여_60~69세,"11,454","2,703",602,"1,396",826,"1,161","1,429",812,"1,599",926
2021년02월_여_70~79세,"4,083","1,028",243,561,252,452,442,320,421,364
2021년02월_여_80~89세,"1,677",432,95,291,116,150,186,112,124,171
2021년02월_여_90~99세,306,94,15,36,18,25,44,23,27,24
2021년02월_여_100세 이상,23,8,1,4,3,1,1,1,1,3
