,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2021년11월_계_총인구수,"228,936","5,337","9,253","11,249","7,907","8,275","17,988","15,868","12,893","18,133","26,825","2,335","9,767","29,035","19,757","33,259","1,055"
2021년11월_계_연령구간인구수,"228,936","5,337","9,253","11,249","7,907","8,275","17,988","15,868","12,893","18,133","26,825","2,335","9,767","29,035","19,757","33,259","1,055"
2021년11월_계_0~9세,"12,214",84,281,322,244,286,964,"1,070",502,831,"2,518",72,479,"1,089","1,290","2,121",61
2021년11월_계_10~19세,"17,282",239,463,522,349,408,"1,532","1,313",778,"1,200","2,512",92,673,"1,934","1,922","3,219",126
2021년11월_계_20~29세,"32,264",483,"1,063","1,210",764,819,"2,633","2,190","1,486","5,925","3,250",213,"1,009","4,445","2,444","4,253",77
2021년11월_계_30~39세,"24,372",416,901,"1,095",722,783,"1,986","1,880","1,404","2,020","3,535",203,918,"2,918","2,222","3,296",73
2021년11월_계_40~49세,"31,319",691,"1,098","1,309",924,"1,051","2,634","2,255","1,725","2,168","4,680",229,"1,154","3,462","2,988","4,792",159
2021년11월_계_50~59세,"39,194","1,008","1,784","2,162","1,497","1,385","3,070","2,730","2,208","2,204","3,727",461,"1,752","5,446","3,580","6,020",160
2021년11월_계_60~69세,"39,792","1,277","2,177","2,533","1,951","1,761","2,870","2,534","2,638","2,022","3,464",555,"1,946","5,316","3,062","5,463",223
2021년11월_계_70~79세,"21,939",761,"1,065","1,481","1,043","1,218","1,525","1,196","1,557","1,181","2,050",322,"1,227","2,975","1,510","2,713",115
2021년11월_계_80~89세,"9,329",346,384,561,376,505,676,608,538,515,925,167,539,"1,293",662,"1,184",50
2021년11월_계_90~99세,"1,193",32,36,53,35,58,96,90,56,66,155,20,68,151,75,192,10
2021년11월_계_100세 이상,38,0,1,1,2,1,2,2,1,1,9,1,2,6,2,6,1
2021년11월_남_총인구수,"111,882","2,750","4,619","5,620","4,161","3,979","8,598","7,634","6,200","9,411","12,941","1,253","4,776","14,147","9,392","15,894",507
2021년11월_남_연령구간인구수,"111,882","2,750","4,619","5,620","4,161","3,979","8,598","7,634","6,200","9,411","12,941","1,253","4,776","14,147","9,392","15,894",507
2021년11월_남_0~9세,"6,265",46,142,166,139,155,512,558,251,386,"1,317",45,250,562,658,"1,052",26
2021년11월_남_10~19세,"8,917",134,234,258,178,205,785,660,436,608,"1,393",56,354,972,939,"1,637",68
2021년11월_남_20~29세,"17,411",273,579,681,425,443,"1,334","1,126",786,"3,447","1,685",114,584,"2,388","1,273","2,229",44
2021년11월_남_30~39세,"12,770",264,482,623,418,433,"1,018",988,746,"1,138","1,709",125,474,"1,580","1,100","1,639",33
2021년11월_남_40~49세,"15,562",414,599,723,550,585,"1,248","1,068",896,"1,120","2,298",132,548,"1,710","1,408","2,187",76
