,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2020년10월_계_총인구수,"24,034","9,450","2,253","4,065","2,599","4,270","1,397"
2020년10월_계_연령구간인구수,"24,034","9,450","2,253","4,065","2,599","4,270","1,397"
2020년10월_계_0~9세,"1,224",744,61,192,64,130,33
2020년10월_계_10~19세,"1,812",985,109,289,118,258,53
2020년10월_계_20~29세,"1,783",861,137,331,147,246,61
2020년10월_계_30~39세,"1,721",887,137,253,133,244,67
2020년10월_계_40~49세,"2,890","1,470",193,503,234,389,101
2020년10월_계_50~59세,"4,230","1,485",445,810,446,790,254
2020년10월_계_60~69세,"4,334","1,264",508,755,549,910,348
2020년10월_계_70~79세,"3,397","1,000",374,547,497,707,272
2020년10월_계_80~89세,"2,297",635,252,343,369,522,176
2020년10월_계_90~99세,325,111,37,40,39,68,30
2020년10월_계_100세 이상,21,8,0,2,3,6,2
2020년10월_남_총인구수,"11,943","4,712","1,112","2,038","1,275","2,122",684
2020년10월_남_연령구간인구수,"11,943","4,712","1,112","2,038","1,275","2,122",684
2020년10월_남_0~9세,657,391,33,114,34,68,17
2020년10월_남_10~19세,922,495,64,156,56,125,26
2020년10월_남_20~29세,985,472,71,175,84,146,37
2020년10월_남_30~39세,943,458,79,145,78,144,39
2020년10월_남_40~49세,"1,604",772,113,276,142,239,62
2020년10월_남_50~59세,"2,326",835,231,448,246,429,137
2020년10월_남_60~69세,"2,220",610,261,384,294,485,186
2020년10월_남_70~79세,"1,422",434,173,211,199,290,115
2020년10월_남_80~89세,793,224,77,123,131,181,57
2020년10월_남_90~99세,67,20,10,6,10,13,8
2020년10월_남_100세 이상,4,1,0,0,1,2,0
2020년10월_여_총인구수,"12,091","4,738","1,141","2,027","1,324","2,148",713
2020년10월_여_연령구간인구수,"12,091","4,738","1,141","2,027","1,324","2,148",713
2020년10월_여_0~9세,567,353,28,78,30,62,16
2020년10월_여_10~19세,890,490,45,133,62,133,27
2020년10월_여_20~29세,798,389,66,156,63,100,24
2020년10월_여_30~39세,778,429,58,108,55,100,28
2020년10월_여_40~49세,"1,286",698,80,227,92,150,39
2020년10월_여_50~59세,"1,904",650,214,362,200,361,117
2020년10월_여_60~69세,"2,114",654,247,371,255,425,162
2020년10월_여_70~79세,"1,975",566,201,336,298,417,157
2020년10월_여_80~89세,"1,504",411,175,220,238,341,119
2020년10월_여_90~99세,258,91,27,34,29,55,22
2020년10월_여_100세 이상,17,7,0,2,2,4,2
