카테고리,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2020년02월_계_총인구수,"374,315","24,902","39,798","22,286","21,946","12,269","12,370","23,458","25,126","24,103","18,623","21,441","19,171","15,743","19,755","41,203","32,121"
2020년02월_계_연령구간인구수,"374,315","24,902","39,798","22,286","21,946","12,269","12,370","23,458","25,126","24,103","18,623","21,441","19,171","15,743","19,755","41,203","32,121"
2020년02월_계_0~9세,"26,225","2,660","2,385","1,587","2,341",501,972,"1,752","1,991",937,"1,250","1,167","1,293",711,"1,071","2,796","2,811"
2020년02월_계_10~19세,"29,566","1,611","2,611","1,703","1,996",807,"1,145","2,006","1,819","1,311","1,032","1,434","1,669",865,"1,536","3,680","4,341"
2020년02월_계_20~29세,"60,842","3,106","6,706","3,107","2,362","2,939","1,812","3,525","4,651","5,253","3,606","3,551","2,801","3,068","3,188","6,791","4,376"
2020년02월_계_30~39세,"65,400","5,213","6,690","3,764","3,807","1,906","1,930","3,867","4,254","5,065","3,854","4,056","3,103","3,230","3,528","6,977","4,156"
2020년02월_계_40~49세,"62,640","4,006","5,985","3,389","4,391","1,828","2,238","4,068","4,192","3,783","2,692","3,428","3,345","2,423","3,484","6,913","6,475"
2020년02월_계_50~59세,"54,357","3,764","6,783","3,550","2,977","1,661","1,838","3,541","3,695","3,099","2,445","3,095","2,788","2,053","2,897","5,743","4,428"
2020년02월_계_60~69세,"38,360","2,537","4,453","2,633","2,075","1,285","1,142","2,383","2,371","2,213","1,907","2,394","2,136","1,674","2,104","4,137","2,916"
2020년02월_계_70~79세,"24,407","1,224","2,745","1,568","1,291",849,864,"1,534","1,391","1,565","1,228","1,622","1,435","1,119","1,364","2,887","1,721"
2020년02월_계_80~89세,"10,637",629,"1,239",816,620,401,372,666,650,733,512,614,516,501,508,"1,085",775
2020년02월_계_90~99세,"1,558",101,160,143,76,70,45,98,97,120,80,75,69,81,59,179,105
