,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2021년04월_계_총인구수,"522,330","31,745","35,659","29,731","14,917","22,231","22,141","27,967","28,972","17,347","24,455","17,812","21,342","15,468","24,648","20,183","39,743","21,130","32,239","32,944","41,656"
2021년04월_계_연령구간인구수,"522,330","31,745","35,659","29,731","14,917","22,231","22,141","27,967","28,972","17,347","24,455","17,812","21,342","15,468","24,648","20,183","39,743","21,130","32,239","32,944","41,656"
2021년04월_계_0~9세,"40,351","3,071","3,550","1,635",623,"1,151","1,555","1,559","1,763",839,"1,687","1,290","1,439",609,"1,405","1,582","5,821","1,235","2,789","2,418","4,330"
2021년04월_계_10~19세,"49,332","3,059","4,352","1,789","1,028","1,577","2,097","2,104","2,351","1,085","2,464","1,618","1,899",998,"2,297","2,184","3,803","1,892","3,544","3,315","5,876"
2021년04월_계_20~29세,"70,232","4,216","4,280","6,461","2,157","3,121","2,895","4,001","4,131","2,291","3,244","2,505","2,825","2,133","3,400","2,353","3,763","2,838","4,170","4,631","4,817"
2021년04월_계_30~39세,"71,104","4,602","4,472","5,686","1,646","3,120","2,747","3,633","4,079","2,159","2,907","2,186","2,814","1,819","2,837","2,365","7,383","2,269","4,505","4,581","5,294"
2021년04월_계_40~49세,"88,008","5,594","6,600","4,736","2,234","3,376","3,829","4,243","4,521","2,426","4,087","2,898","3,263","2,059","3,703","3,412","7,594","3,295","5,795","5,622","8,721"
2021년04월_계_50~59세,"89,447","5,064","5,745","4,463","2,959","3,944","3,796","5,229","5,172","3,305","4,316","3,171","3,774","3,032","4,791","3,449","4,991","4,269","5,541","5,639","6,797"
2021년04월_계_60~69세,"67,902","3,799","4,167","3,001","2,370","3,265","3,010","4,219","4,178","2,849","3,517","2,519","3,185","2,743","3,654","3,007","4,136","3,179","3,617","3,811","3,676"
2021년04월_계_70~79세,"30,995","1,585","1,750","1,374","1,273","1,807","1,536","2,017","1,855","1,491","1,579","1,151","1,400","1,452","1,598","1,252","1,630","1,436","1,517","1,884","1,408"
2021년04월_계_80~89세,"12,868",626,630,519,543,753,568,840,787,794,558,408,645,535,809,497,535,609,651,909,652
2021년04월_계_90~99세,"2,009",125,105,66,79,114,106,113,124,107,93,63,93,86,150,81,83,105,110,124,82
2021년04월_계_100세 이상,82,4,8,1,5,3,2,9,11,1,3,3,5,2,4,1,4,3,0,10,3
2021년04월_남_총인구수,"259,335","15,476","17,566","14,776","7,531","10,932","11,087","13,958","14,446","8,440","11,980","8,986","10,400","7,748","12,028","10,058","19,740","10,833","16,202","16,596","20,552"
2021년04월_남_연령구간인구수,"259,335","15,476","17,566","14,776","7,531","10,932","11,087","13,958","14,446","8,440","11,980","8,986","10,400","7,748","12,028","10,058","19,740","10,833","16,202","16,596","20,552"
