,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동
2021년03월_계_총인구수,"540,532","45,670","41,191","31,428","48,839","30,608","28,254","6,598","9,785","22,644","13,268","14,066","31,961","12,262","20,268","16,524","10,828","32,972","22,739","24,628","28,224","24,632","23,143"
2021년03월_계_연령구간인구수,"540,532","45,670","41,191","31,428","48,839","30,608","28,254","6,598","9,785","22,644","13,268","14,066","31,961","12,262","20,268","16,524","10,828","32,972","22,739","24,628","28,224","24,632","23,143"
2021년03월_계_0~9세,"48,857","4,500","2,347","3,806","6,673","4,700","3,259",329,451,"1,204",667,585,"2,728",626,"1,357",648,776,"2,640","1,860","2,480","2,889","2,236","2,096"
2021년03월_계_10~19세,"56,316","4,442","3,481","4,424","6,387","3,887","2,129",397,739,"1,561",916,"1,209","2,974",874,"1,904","1,241",795,"3,440","2,801","3,539","3,279","2,650","3,247"
2021년03월_계_20~29세,"71,901","6,462","6,542","3,940","5,658","3,271","3,453","1,028","1,566","3,198","1,701","2,149","4,207","1,726","2,906","2,366","1,337","4,704","2,836","2,776","3,821","3,098","3,156"
2021년03월_계_30~39세,"78,273","8,182","4,903","5,666","8,077","5,592","4,842",912,"1,201","2,971","1,543","1,521","4,434","1,575","2,500","1,785","1,630","4,600","2,513","3,275","4,486","3,224","2,841"
2021년03월_계_40~49세,"95,040","8,493","6,183","6,534","10,129","6,228","4,562",823,"1,291","3,189","1,882","2,074","4,961","1,837","3,018","2,253","1,605","5,830","4,453","5,548","5,432","4,325","4,390"
2021년03월_계_50~59세,"93,345","6,954","8,671","4,104","6,683","3,981","4,629","1,596","2,241","4,689","2,700","2,929","5,953","2,519","3,951","3,374","1,966","5,813","3,983","3,732","4,599","4,391","3,887"
2021년03월_계_60~69세,"60,071","4,140","5,445","1,943","3,566","2,094","3,415","1,043","1,518","3,639","2,347","2,173","4,427","1,850","2,967","2,901","1,716","3,624","2,270","1,825","2,284","2,842","2,042"
2021년03월_계_70~79세,"24,534","1,739","2,269",665,"1,135",589,"1,343",290,499,"1,520","1,047",961,"1,608",862,"1,073","1,284",650,"1,572","1,324",976,929,"1,214",985
2021년03월_계_80~89세,"10,404",648,"1,141",303,446,214,521,138,244,573,396,411,567,348,497,569,289,656,636,408,435,539,425
2021년03월_계_90~99세,"1,713",106,197,41,80,51,98,36,33,96,68,52,98,42,92,100,58,87,60,66,69,109,74
2021년03월_계_100세 이상,78,4,12,2,5,1,3,6,2,4,1,2,4,3,3,3,6,6,3,3,1,4,0
2021년03월_남_총인구수,"273,008","23,228","20,991","15,659","24,280","15,161","14,176","3,472","4,900","11,655","6,908","7,096","15,963","6,544","9,889","8,411","5,588","17,054","11,546","12,468","14,080","12,534","11,405"
