카테고리,강원도 화천군,강원도 화천군 화천읍,강원도 화천군 간동면,강원도 화천군 하남면,강원도 화천군 상서면,강원도 화천군 사내면
2021년06월_계_총인구수,"24,408","8,365","2,704","2,849","4,144","6,346"
2021년06월_계_연령구간인구수,"24,408","8,365","2,704","2,849","4,144","6,346"
2021년06월_계_0~9세,"1,753",687,52,137,273,604
2021년06월_계_10~19세,"1,738",741,146,260,154,437
2021년06월_계_20~29세,"3,735","1,165",264,254,"1,096",956
2021년06월_계_30~39세,"2,793","1,001",127,241,506,918
2021년06월_계_40~49세,"2,619","1,120",207,360,302,630
2021년06월_계_50~59세,"3,802","1,289",586,517,499,911
2021년06월_계_60~69세,"4,018","1,149",654,542,645,"1,028"
2021년06월_계_70~79세,"2,288",722,386,303,366,511
2021년06월_계_80~89세,"1,431",435,231,202,260,303
2021년06월_계_90~99세,220,52,50,30,42,46
2021년06월_계_100세 이상,11,4,1,3,1,2
2021년06월_남_총인구수,"13,266","4,370","1,441","1,499","2,510","3,446"
2021년06월_남_연령구간인구수,"13,266","4,370","1,441","1,499","2,510","3,446"
2021년06월_남_0~9세,888,356,27,74,123,308
2021년06월_남_10~19세,873,373,70,135,78,217
2021년06월_남_20~29세,"2,601",711,192,141,893,664
2021년06월_남_30~39세,"1,650",562,76,127,348,537
2021년06월_남_40~49세,"1,440",597,104,203,188,348
2021년06월_남_50~59세,"2,062",695,338,292,268,469
2021년06월_남_60~69세,"2,172",617,360,299,354,542
2021년06월_남_70~79세,"1,024",301,180,148,159,236
2021년06월_남_80~89세,500,145,80,72,91,112
2021년06월_남_90~99세,51,12,13,6,8,12
2021년06월_남_100세 이상,5,1,1,2,0,1
2021년06월_여_총인구수,"11,142","3,995","1,263","1,350","1,634","2,900"
2021년06월_여_연령구간인구수,"11,142","3,995","1,263","1,350","1,634","2,900"
2021년06월_여_0~9세,865,331,25,63,150,296
2021년06월_여_10~19세,865,368,76,125,76,220
2021년06월_여_20~29세,"1,134",454,72,113,203,292
2021년06월_여_30~39세,"1,143",439,51,114,158,381
2021년06월_여_40~49세,"1,179",523,103,157,114,282
2021년06월_여_50~59세,"1,740",594,248,225,231,442
2021년06월_여_60~69세,"1,846",532,294,243,291,486
2021년06월_여_70~79세,"1,264",421,206,155,207,275
2021년06월_여_80~89세,931,290,151,130,169,191
2021년06월_여_90~99세,169,40,37,24,34,34
2021년06월_여_100세 이상,6,3,0,1,1,1
