,경기도 동두천시,경기도 동두천시 생연1동,경기도 동두천시 생연2동,경기도 동두천시 중앙동,경기도 동두천시 보산동,경기도 동두천시 불현동,경기도 동두천시 송내동,경기도 동두천시 소요동,경기도 동두천시 상패동
2020년11월_계_총인구수,"94,199","7,007","11,468","5,143","3,104","27,660","25,616","8,768","5,433"
2020년11월_계_연령구간인구수,"94,199","7,007","11,468","5,143","3,104","27,660","25,616","8,768","5,433"
2020년11월_계_0~9세,"6,355",495,735,146,158,"1,972","2,220",385,244
2020년11월_계_10~19세,"8,625",576,"1,181",203,205,"2,665","2,994",516,285
2020년11월_계_20~29세,"11,234",763,"1,274",500,335,"3,519","3,317",927,599
2020년11월_계_30~39세,"10,210",776,"1,103",448,297,"3,058","3,132",772,624
2020년11월_계_40~49세,"14,337",957,"1,821",586,391,"4,214","4,578","1,153",637
2020년11월_계_50~59세,"16,439","1,261","1,947","1,060",586,"4,925","4,031","1,610","1,019"
2020년11월_계_60~69세,"13,124","1,103","1,565","1,082",526,"3,713","2,515","1,643",977
2020년11월_계_70~79세,"8,812",670,"1,151",660,393,"2,325","1,852","1,107",654
2020년11월_계_80~89세,"4,362",364,623,350,186,"1,107",852,556,324
2020년11월_계_90~99세,617,39,61,83,25,149,121,78,61
2020년11월_계_100세 이상,84,3,7,25,2,13,4,21,9
2020년11월_남_총인구수,"46,959","3,482","5,644","2,676","1,462","13,671","12,618","4,536","2,870"
2020년11월_남_연령구간인구수,"46,959","3,482","5,644","2,676","1,462","13,671","12,618","4,536","2,870"
2020년11월_남_0~9세,"3,286",261,398,83,71,993,"1,147",194,139
2020년11월_남_10~19세,"4,358",273,607,107,94,"1,357","1,501",280,139
2020년11월_남_20~29세,"6,106",427,709,268,198,"1,878","1,751",530,345
2020년11월_남_30~39세,"5,265",394,540,267,154,"1,563","1,567",420,360
2020년11월_남_40~49세,"7,397",511,928,344,201,"2,102","2,283",663,365
2020년11월_남_50~59세,"8,667",651,"1,023",615,287,"2,525","2,117",874,575
2020년11월_남_60~69세,"6,404",537,735,566,257,"1,839","1,131",822,517
2020년11월_남_70~79세,"3,672",281,445,281,140,958,746,525,296
2020년11월_남_80~89세,"1,613",136,242,108,54,412,346,201,114
2020년11월_남_90~99세,172,11,15,31,6,40,28,24,17
2020년11월_남_100세 이상,19,0,2,6,0,4,1,3,3
2020년11월_여_총인구수,"47,240","3,525","5,824","2,467","1,642","13,989","12,998","4,232","2,563"
2020년11월_여_연령구간인구수,"47,240","3,525","5,824","2,467","1,642","13,989","12,998","4,232","2,563"
2020년11월_여_0~9세,"3,069",234,337,63,87,979,"1,073",191,105
2020년11월_여_10~19세,"4,267",303,574,96,111,"1,308","1,493",236,146
2020년11월_여_20~29세,"5,128",336,565,232,137,"1,641","1,566",397,254
2020년11월_여_30~39세,"4,945",382,563,181,143,"1,495","1,565",352,264
2020년11월_여_40~49세,"6,940",446,893,242,190,"2,112","2,295",490,272
2020년11월_여_50~59세,"7,772",610,924,445,299,"2,400","1,914",736,444
2020년11월_여_60~69세,"6,720",566,830,516,269,"1,874","1,384",821,460
2020년11월_여_70~79세,"5,140",389,706,379,253,"1,367","1,106",582,358
2020년11월_여_80~89세,"2,749",228,381,242,132,695,506,355,210
2020년11월_여_90~99세,445,28,46,52,19,109,93,54,44
2020년11월_여_100세 이상,65,3,5,19,2,9,3,18,6
