카테고리,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2020년12월_계_총인구수,"48,716","14,051","2,869","6,691",708,"2,768","2,548","1,753","6,490","7,546","1,270","2,022"
2020년12월_계_연령구간인구수,"48,716","14,051","2,869","6,691",708,"2,768","2,548","1,753","6,490","7,546","1,270","2,022"
2020년12월_계_0~9세,"2,933","1,112",63,787,6,114,49,47,316,369,23,47
2020년12월_계_10~19세,"3,753","1,634",259,461,29,119,93,61,395,574,42,86
2020년12월_계_20~29세,"4,485","1,563",177,737,48,213,191,114,681,630,36,95
2020년12월_계_30~39세,"4,290","1,417",156,"1,111",25,172,115,62,567,544,41,80
2020년12월_계_40~49세,"6,263","2,335",237,970,62,281,162,146,841,947,116,166
2020년12월_계_50~59세,"8,642","2,425",467,"1,034",142,506,438,285,"1,284","1,421",296,344
2020년12월_계_60~69세,"8,203","1,709",544,793,148,567,576,378,"1,208","1,546",306,428
2020년12월_계_70~79세,"5,679","1,085",519,452,130,397,453,340,712,996,223,372
2020년12월_계_80~89세,"3,812",655,377,299,104,338,391,277,420,444,167,340
2020년12월_계_90~99세,640,114,68,43,14,61,79,43,63,74,18,63
2020년12월_계_100세 이상,16,2,2,4,0,0,1,0,3,1,2,1
2020년12월_남_총인구수,"24,441","7,093","1,393","3,522",366,"1,391","1,204",858,"3,332","3,709",626,947
2020년12월_남_연령구간인구수,"24,441","7,093","1,393","3,522",366,"1,391","1,204",858,"3,332","3,709",626,947
2020년12월_남_0~9세,"1,494",587,35,392,4,60,24,21,152,186,12,21
2020년12월_남_10~19세,"2,048",861,193,251,12,61,40,35,220,310,22,43
2020년12월_남_20~29세,"2,666",897,100,439,31,129,128,72,413,376,24,57
2020년12월_남_30~39세,"2,334",731,89,595,17,100,70,40,330,287,25,50
2020년12월_남_40~49세,"3,435","1,175",139,554,44,171,92,78,488,520,61,113
2020년12월_남_50~59세,"4,678","1,288",256,591,90,290,241,169,684,714,160,195
2020년12월_남_60~69세,"4,061",847,244,399,83,298,286,192,610,727,167,208
2020년12월_남_70~79세,"2,451",463,206,214,50,155,195,150,316,441,99,162
2020년12월_남_80~89세,"1,168",228,118,85,34,116,115,93,106,138,45,90
2020년12월_남_90~99세,104,16,13,2,1,11,13,8,12,10,10,8
2020년12월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,1,0
2020년12월_여_총인구수,"24,275","6,958","1,476","3,169",342,"1,377","1,344",895,"3,158","3,837",644,"1,075"
2020년12월_여_연령구간인구수,"24,275","6,958","1,476","3,169",342,"1,377","1,344",895,"3,158","3,837",644,"1,075"
2020년12월_여_0~9세,"1,439",525,28,395,2,54,25,26,164,183,11,26
2020년12월_여_10~19세,"1,705",773,66,210,17,58,53,26,175,264,20,43
2020년12월_여_20~29세,"1,819",666,77,298,17,84,63,42,268,254,12,38
2020년12월_여_30~39세,"1,956",686,67,516,8,72,45,22,237,257,16,30
2020년12월_여_40~49세,"2,828","1,160",98,416,18,110,70,68,353,427,55,53
2020년12월_여_50~59세,"3,964","1,137",211,443,52,216,197,116,600,707,136,149
2020년12월_여_60~69세,"4,142",862,300,394,65,269,290,186,598,819,139,220
2020년12월_여_70~79세,"3,228",622,313,238,80,242,258,190,396,555,124,210
2020년12월_여_80~89세,"2,644",427,259,214,70,222,276,184,314,306,122,250
2020년12월_여_90~99세,536,98,55,41,13,50,66,35,51,64,8,55
2020년12월_여_100세 이상,14,2,2,4,0,0,1,0,2,1,1,1
