,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2021년09월_계_총인구수,"488,029","24,438","15,233","29,418","29,013","16,956","35,404","33,309","15,225","25,879","18,188","22,635","17,986","23,173","22,607","22,153","15,372","17,261","23,620","22,508","30,709","26,942"
2021년09월_계_연령구간인구수,"488,029","24,438","15,233","29,418","29,013","16,956","35,404","33,309","15,225","25,879","18,188","22,635","17,986","23,173","22,607","22,153","15,372","17,261","23,620","22,508","30,709","26,942"
2021년09월_계_0~9세,"20,403","1,118","1,204","1,878","1,081",628,"1,196","1,937",381,"1,031",929,648,525,745,754,339,"1,105",622,668,807,"1,638","1,169"
2021년09월_계_10~19세,"27,551","1,438","1,136","2,843","1,330",817,"1,585","2,657",572,"1,509",798,810,829,"1,034","1,054",506,"1,407",823,952,"1,418","2,227","1,806"
2021년09월_계_20~29세,"108,865","4,792","1,809","3,798","7,563","5,585","11,578","5,380","4,492","5,857","3,913","6,384","4,413","5,557","5,885","8,529","1,728","3,992","6,088","2,665","4,770","4,087"
2021년09월_계_30~39세,"85,613","4,022","2,513","3,735","5,923","3,564","6,890","5,151","3,007","4,897","3,659","4,614","3,175","4,579","3,980","5,761","1,798","3,191","4,889","2,496","4,173","3,596"
2021년09월_계_40~49세,"66,229","3,318","2,435","4,878","3,597","1,972","3,986","5,115","1,710","3,497","2,271","2,739","2,196","3,165","2,829","2,448","2,868","2,263","3,492","3,103","4,560","3,787"
2021년09월_계_50~59세,"67,066","3,393","2,297","4,766","3,456","1,630","3,808","4,865","1,780","3,479","2,543","2,724","2,414","3,084","3,171","1,802","2,569","2,354","3,199","4,082","4,903","4,747"
2021년09월_계_60~69세,"59,963","3,363","1,977","3,931","3,192","1,378","3,361","4,358","1,701","2,996","2,268","2,557","2,258","2,769","2,665","1,492","2,105","2,200","2,399","4,114","4,700","4,179"
2021년09월_계_70~79세,"36,726","2,116","1,205","2,475","2,063",968,"2,171","2,738","1,095","1,857","1,300","1,531","1,510","1,577","1,616",913,"1,263","1,245","1,301","2,584","2,685","2,513"
