,충청남도 예산군,충청남도 예산군 예산읍,충청남도 예산군 삽교읍,충청남도 예산군 대술면,충청남도 예산군 신양면,충청남도 예산군 광시면,충청남도 예산군 대흥면,충청남도 예산군 응봉면,충청남도 예산군 덕산면,충청남도 예산군 봉산면,충청남도 예산군 고덕면,충청남도 예산군 신암면,충청남도 예산군 오가면
2021년12월_계_총인구수,"76,801","32,682","10,155","2,387","2,998","3,105","1,756","2,504","6,675","2,490","4,407","3,404","4,238"
2021년12월_계_연령구간인구수,"76,801","32,682","10,155","2,387","2,998","3,105","1,756","2,504","6,675","2,490","4,407","3,404","4,238"
2021년12월_계_0~9세,"3,324","1,904",572,41,50,69,40,52,229,71,117,84,95
2021년12월_계_10~19세,"5,436","3,225",647,76,142,116,57,127,393,148,222,108,175
2021년12월_계_20~29세,"6,464","3,397","1,067",113,138,158,76,186,461,125,260,209,274
2021년12월_계_30~39세,"5,766","2,708","1,238",118,138,124,68,139,451,136,209,191,246
2021년12월_계_40~49세,"9,022","4,742","1,174",200,265,258,136,224,742,234,383,286,378
2021년12월_계_50~59세,"13,015","5,659","1,542",413,453,523,274,443,"1,276",398,727,555,752
2021년12월_계_60~69세,"15,628","5,736","1,759",608,776,727,495,610,"1,487",583,991,833,"1,023"
2021년12월_계_70~79세,"10,332","3,297","1,184",450,565,574,328,390,933,411,855,618,727
2021년12월_계_80~89세,"6,862","1,768",860,324,411,494,241,289,605,324,576,466,504
2021년12월_계_90~99세,919,238,110,39,56,60,41,41,93,60,64,54,63
2021년12월_계_100세 이상,33,8,2,5,4,2,0,3,5,0,3,0,1
2021년12월_남_총인구수,"38,574","16,217","5,096","1,222","1,516","1,533",891,"1,309","3,326","1,263","2,236","1,743","2,222"
2021년12월_남_연령구간인구수,"38,574","16,217","5,096","1,222","1,516","1,533",891,"1,309","3,326","1,263","2,236","1,743","2,222"
2021년12월_남_0~9세,"1,725",994,279,20,27,38,24,28,119,40,57,47,52
2021년12월_남_10~19세,"2,813","1,657",330,36,80,62,34,73,202,69,112,59,99
2021년12월_남_20~29세,"3,697","1,877",580,69,89,85,49,115,280,80,155,135,183
2021년12월_남_30~39세,"3,174","1,419",679,63,84,69,39,89,248,84,122,121,157
2021년12월_남_40~49세,"4,909","2,384",652,144,148,155,86,149,411,136,245,161,238
2021년12월_남_50~59세,"7,035","2,921",824,240,266,304,147,228,680,227,424,337,437
2021년12월_남_60~69세,"7,805","2,790",855,316,393,382,265,325,707,298,505,438,531
2021년12월_남_70~79세,"4,707","1,475",552,210,255,259,158,179,435,192,396,273,323
2021년12월_남_80~89세,"2,489",639,315,118,162,164,86,110,220,122,209,157,187
2021년12월_남_90~99세,215,59,30,5,12,15,3,12,24,15,10,15,15
2021년12월_남_100세 이상,5,2,0,1,0,0,0,1,0,0,1,0,0
2021년12월_여_총인구수,"38,227","16,465","5,059","1,165","1,482","1,572",865,"1,195","3,349","1,227","2,171","1,661","2,016"
2021년12월_여_연령구간인구수,"38,227","16,465","5,059","1,165","1,482","1,572",865,"1,195","3,349","1,227","2,171","1,661","2,016"
2021년12월_여_0~9세,"1,599",910,293,21,23,31,16,24,110,31,60,37,43
2021년12월_여_10~19세,"2,623","1,568",317,40,62,54,23,54,191,79,110,49,76
2021년12월_여_20~29세,"2,767","1,520",487,44,49,73,27,71,181,45,105,74,91
2021년12월_여_30~39세,"2,592","1,289",559,55,54,55,29,50,203,52,87,70,89
2021년12월_여_40~49세,"4,113","2,358",522,56,117,103,50,75,331,98,138,125,140
2021년12월_여_50~59세,"5,980","2,738",718,173,187,219,127,215,596,171,303,218,315
2021년12월_여_60~69세,"7,823","2,946",904,292,383,345,230,285,780,285,486,395,492
2021년12월_여_70~79세,"5,625","1,822",632,240,310,315,170,211,498,219,459,345,404
2021년12월_여_80~89세,"4,373","1,129",545,206,249,330,155,179,385,202,367,309,317
2021년12월_여_90~99세,704,179,80,34,44,45,38,29,69,45,54,39,48
2021년12월_여_100세 이상,28,6,2,4,4,2,0,2,5,0,2,0,1
