카테고리,충청남도 공주시,충청남도 공주시 유구읍,충청남도 공주시 이인면,충청남도 공주시 탄천면,충청남도 공주시 계룡면,충청남도 공주시 반포면,충청남도 공주시 의당면,충청남도 공주시 정안면,충청남도 공주시 우성면,충청남도 공주시 사곡면,충청남도 공주시 신풍면,충청남도 공주시 중학동,충청남도 공주시 웅진동,충청남도 공주시 금학동,충청남도 공주시 옥룡동,충청남도 공주시 신관동,충청남도 공주시 월송동
2020년08월_계_총인구수,"105,353","7,535","3,319","2,991","5,631","4,251","4,705","4,699","5,293","2,970","3,279","4,737","8,300","5,502","8,055","19,539","14,547"
2020년08월_계_연령구간인구수,"105,353","7,535","3,319","2,991","5,631","4,251","4,705","4,699","5,293","2,970","3,279","4,737","8,300","5,502","8,055","19,539","14,547"
2020년08월_계_0~9세,"5,990",268,108,69,185,166,199,124,168,82,86,196,446,385,332,"1,484","1,692"
2020년08월_계_10~19세,"8,397",424,133,134,286,200,372,222,300,157,91,355,732,574,575,"2,107","1,735"
2020년08월_계_20~29세,"11,402",503,217,188,342,353,467,287,395,191,178,571,926,767,894,"3,244","1,879"
2020년08월_계_30~39세,"9,707",502,200,189,318,316,386,287,351,154,190,398,849,530,712,"2,302","2,023"
2020년08월_계_40~49세,"13,518",813,280,234,523,489,596,424,556,268,316,606,"1,160",791,"1,011","3,046","2,405"
2020년08월_계_50~59세,"18,729","1,375",624,509,"1,054",968,974,838,973,538,637,827,"1,428",904,"1,577","3,242","2,261"
2020년08월_계_60~69세,"17,981","1,730",734,636,"1,343",960,821,"1,103","1,078",651,852,798,"1,397",834,"1,443","2,272","1,329"
2020년08월_계_70~79세,"11,487","1,117",564,541,891,499,513,742,820,497,541,602,863,440,964,"1,175",718
2020년08월_계_80~89세,"7,090",709,403,428,603,257,324,581,561,387,334,326,437,243,486,585,426
2020년08월_계_90~99세,992,87,51,60,81,42,52,87,84,41,50,56,56,32,59,78,76
2020년08월_계_100세 이상,60,7,5,3,5,1,1,4,7,4,4,2,6,2,2,4,3
2020년08월_남_총인구수,"52,741","3,798","1,688","1,550","2,873","2,247","2,448","2,430","2,750","1,492","1,463","2,363","4,082","2,765","4,060","9,568","7,164"
2020년08월_남_연령구간인구수,"52,741","3,798","1,688","1,550","2,873","2,247","2,448","2,430","2,750","1,492","1,463","2,363","4,082","2,765","4,060","9,568","7,164"
2020년08월_남_0~9세,"3,113",148,49,35,94,101,95,69,89,45,44,101,237,202,178,770,856
2020년08월_남_10~19세,"4,326",217,86,68,150,117,189,119,144,76,45,194,353,290,300,"1,066",912
2020년08월_남_20~29세,"6,352",312,117,122,189,207,287,183,252,106,108,317,506,381,522,"1,731","1,012"
2020년08월_남_30~39세,"5,169",302,117,112,172,184,205,169,211,99,99,238,477,279,406,"1,143",956
2020년08월_남_40~49세,"7,133",462,179,147,313,265,346,269,344,158,134,309,604,419,558,"1,488","1,138"
2020년08월_남_50~59세,"9,692",680,356,297,610,511,525,438,558,302,277,423,724,471,811,"1,566","1,143"
2020년08월_남_60~69세,"8,970",887,380,340,687,504,434,588,552,334,381,386,638,427,696,"1,059",677
2020년08월_남_70~79세,"5,244",508,264,262,431,238,248,349,387,222,241,262,367,216,407,524,318
2020년08월_남_80~89세,"2,467",258,120,155,205,107,108,220,185,141,116,118,158,75,168,204,129
2020년08월_남_90~99세,262,20,20,12,20,13,11,26,28,8,18,15,17,4,14,14,22
2020년08월_남_100세 이상,13,4,0,0,2,0,0,0,0,1,0,0,1,1,0,3,1
2020년08월_여_총인구수,"52,612","3,737","1,631","1,441","2,758","2,004","2,257","2,269","2,543","1,478","1,816","2,374","4,218","2,737","3,995","9,971","7,383"
2020년08월_여_연령구간인구수,"52,612","3,737","1,631","1,441","2,758","2,004","2,257","2,269","2,543","1,478","1,816","2,374","4,218","2,737","3,995","9,971","7,383"
2020년08월_여_0~9세,"2,877",120,59,34,91,65,104,55,79,37,42,95,209,183,154,714,836
2020년08월_여_10~19세,"4,071",207,47,66,136,83,183,103,156,81,46,161,379,284,275,"1,041",823
2020년08월_여_20~29세,"5,050",191,100,66,153,146,180,104,143,85,70,254,420,386,372,"1,513",867
2020년08월_여_30~39세,"4,538",200,83,77,146,132,181,118,140,55,91,160,372,251,306,"1,159","1,067"
2020년08월_여_40~49세,"6,385",351,101,87,210,224,250,155,212,110,182,297,556,372,453,"1,558","1,267"
2020년08월_여_50~59세,"9,037",695,268,212,444,457,449,400,415,236,360,404,704,433,766,"1,676","1,118"
2020년08월_여_60~69세,"9,011",843,354,296,656,456,387,515,526,317,471,412,759,407,747,"1,213",652
2020년08월_여_70~79세,"6,243",609,300,279,460,261,265,393,433,275,300,340,496,224,557,651,400
2020년08월_여_80~89세,"4,623",451,283,273,398,150,216,361,376,246,218,208,279,168,318,381,297
2020년08월_여_90~99세,730,67,31,48,61,29,41,61,56,33,32,41,39,28,45,64,54
2020년08월_여_100세 이상,47,3,5,3,3,1,1,4,7,3,4,2,5,1,2,1,2
