카테고리,울산광역시 남구,울산광역시 남구 신정1동,울산광역시 남구 신정2동,울산광역시 남구 신정3동,울산광역시 남구 신정4동,울산광역시 남구 신정5동,울산광역시 남구 달동,울산광역시 남구 삼산동,울산광역시 남구 삼호동,울산광역시 남구 무거동,울산광역시 남구 옥동,울산광역시 남구 대현동,울산광역시 남구 수암동,울산광역시 남구 선암동,울산광역시 남구 야음장생포동
2020년11월_계_총인구수,"320,716","19,170","24,846","16,380","21,548","8,881","27,359","48,840","20,981","32,368","26,779","30,577","16,972","14,666","11,349"
2020년11월_계_연령구간인구수,"320,716","19,170","24,846","16,380","21,548","8,881","27,359","48,840","20,981","32,368","26,779","30,577","16,972","14,666","11,349"
2020년11월_계_0~9세,"24,008",856,"1,992","1,301","1,845",473,"1,648","3,587","1,211","2,197","2,073","3,495","1,540","1,200",590
2020년11월_계_10~19세,"30,652","1,133","3,155","1,215","2,359",609,"2,121","4,433","1,758","3,539","3,277","3,277","1,878","1,285",613
2020년11월_계_20~29세,"45,988","2,680","3,286","2,170","2,909","1,361","4,172","7,834","3,251","5,820","3,774","3,454","2,299","1,832","1,146"
2020년11월_계_30~39세,"42,356","2,289","2,862","2,037","2,773","1,257","3,895","7,728","2,296","3,605","3,152","4,629","2,356","2,019","1,458"
2020년11월_계_40~49세,"51,785","2,535","4,407","2,518","3,687","1,390","4,180","8,437","3,037","5,288","4,284","5,518","2,619","2,369","1,516"
2020년11월_계_50~59세,"61,988","3,792","4,761","3,273","3,797","1,754","5,332","9,327","4,707","6,696","5,487","4,909","3,303","2,743","2,107"
2020년11월_계_60~69세,"41,222","3,589","2,749","2,419","2,662","1,269","3,881","5,302","2,962","3,356","3,262","3,377","2,068","2,099","2,227"
2020년11월_계_70~79세,"16,396","1,693","1,208","1,026","1,108",579,"1,471","1,614","1,221","1,311","1,064","1,418",661,797,"1,225"
2020년11월_계_80~89세,"5,610",541,366,362,360,167,591,501,482,491,368,450,221,290,420
2020년11월_계_90~99세,677,56,59,56,45,21,63,75,55,64,38,47,27,29,42
2020년11월_계_100세 이상,34,6,1,3,3,1,5,2,1,1,0,3,0,3,5
2020년11월_남_총인구수,"163,513","9,726","12,751","8,296","10,932","4,710","13,830","25,270","10,702","16,551","13,416","15,297","8,487","7,541","6,004"
2020년11월_남_연령구간인구수,"163,513","9,726","12,751","8,296","10,932","4,710","13,830","25,270","10,702","16,551","13,416","15,297","8,487","7,541","6,004"
2020년11월_남_0~9세,"12,361",443,"1,040",666,962,247,852,"1,824",680,"1,133","1,055","1,759",776,628,296
2020년11월_남_10~19세,"16,211",579,"1,713",658,"1,232",316,"1,141","2,311",925,"1,834","1,796","1,700",996,677,333
2020년11월_남_20~29세,"25,620","1,526","1,875","1,170","1,621",793,"2,323","4,274","1,820","3,330","2,155","1,842","1,229",989,673
2020년11월_남_30~39세,"22,529","1,310","1,496","1,069","1,451",703,"2,114","4,245","1,256","1,933","1,582","2,278","1,180","1,077",835
2020년11월_남_40~49세,"25,239","1,351","2,022","1,279","1,767",755,"2,099","4,112","1,479","2,427","1,862","2,758","1,212","1,227",889
2020년11월_남_50~59세,"31,188","1,848","2,476","1,654","1,951",903,"2,549","4,735","2,356","3,379","2,659","2,473","1,638","1,385","1,182"
2020년11월_남_60~69세,"20,487","1,696","1,380","1,164","1,282",642,"1,879","2,738","1,477","1,724","1,667","1,640","1,061","1,055","1,082"
2020년11월_남_70~79세,"7,821",773,607,483,520,283,668,850,538,617,520,677,323,399,563
2020년11월_남_80~89세,"1,927",191,132,141,132,65,192,167,160,164,113,161,69,96,144
2020년11월_남_90~99세,122,8,10,10,13,3,12,14,11,10,7,9,3,5,7
2020년11월_남_100세 이상,8,1,0,2,1,0,1,0,0,0,0,0,0,3,0
2020년11월_여_총인구수,"157,203","9,444","12,095","8,084","10,616","4,171","13,529","23,570","10,279","15,817","13,363","15,280","8,485","7,125","5,345"
2020년11월_여_연령구간인구수,"157,203","9,444","12,095","8,084","10,616","4,171","13,529","23,570","10,279","15,817","13,363","15,280","8,485","7,125","5,345"
2020년11월_여_0~9세,"11,647",413,952,635,883,226,796,"1,763",531,"1,064","1,018","1,736",764,572,294
2020년11월_여_10~19세,"14,441",554,"1,442",557,"1,127",293,980,"2,122",833,"1,705","1,481","1,577",882,608,280
2020년11월_여_20~29세,"20,368","1,154","1,411","1,000","1,288",568,"1,849","3,560","1,431","2,490","1,619","1,612","1,070",843,473
2020년11월_여_30~39세,"19,827",979,"1,366",968,"1,322",554,"1,781","3,483","1,040","1,672","1,570","2,351","1,176",942,623
2020년11월_여_40~49세,"26,546","1,184","2,385","1,239","1,920",635,"2,081","4,325","1,558","2,861","2,422","2,760","1,407","1,142",627
2020년11월_여_50~59세,"30,800","1,944","2,285","1,619","1,846",851,"2,783","4,592","2,351","3,317","2,828","2,436","1,665","1,358",925
2020년11월_여_60~69세,"20,735","1,893","1,369","1,255","1,380",627,"2,002","2,564","1,485","1,632","1,595","1,737","1,007","1,044","1,145"
2020년11월_여_70~79세,"8,575",920,601,543,588,296,803,764,683,694,544,741,338,398,662
2020년11월_여_80~89세,"3,683",350,234,221,228,102,399,334,322,327,255,289,152,194,276
2020년11월_여_90~99세,555,48,49,46,32,18,51,61,44,54,31,38,24,24,35
2020년11월_여_100세 이상,26,5,1,1,2,1,4,2,1,1,0,3,0,0,5
