,충청북도 진천군,충청북도 진천군 진천읍,충청북도 진천군 덕산읍,충청북도 진천군 덕산읍혁신도시출장소,충청북도 진천군 초평면,충청북도 진천군 문백면,충청북도 진천군 백곡면,충청북도 진천군 이월면,충청북도 진천군 광혜원면
2021년06월_계_총인구수,"84,746","30,130","29,314",0,"3,143","3,470","2,084","6,130","10,475"
2021년06월_계_연령구간인구수,"84,746","30,130","29,314",0,"3,143","3,470","2,084","6,130","10,475"
2021년06월_계_0~9세,"7,599","2,138","4,345",0,67,117,48,188,696
2021년06월_계_10~19세,"8,384","3,334","3,115",0,168,147,77,390,"1,153"
2021년06월_계_20~29세,"9,269","3,916","3,107",0,201,250,97,529,"1,169"
2021년06월_계_30~39세,"11,507","3,109","6,164",0,180,248,116,479,"1,211"
2021년06월_계_40~49세,"13,681","4,908","5,493",0,292,340,164,708,"1,776"
2021년06월_계_50~59세,"13,728","5,328","3,443",0,583,724,373,"1,198","2,079"
2021년06월_계_60~69세,"11,034","3,956","2,180",0,772,815,575,"1,371","1,365"
2021년06월_계_70~79세,"5,496","2,092",855,0,455,452,331,699,612
2021년06월_계_80~89세,"3,555","1,191",539,0,380,335,259,494,357
2021년06월_계_90~99세,480,156,70,0,43,41,40,73,57
2021년06월_계_100세 이상,13,2,3,0,2,1,4,1,0
2021년06월_남_총인구수,"44,459","15,490","15,483",0,"1,626","1,811","1,064","3,252","5,733"
2021년06월_남_연령구간인구수,"44,459","15,490","15,483",0,"1,626","1,811","1,064","3,252","5,733"
2021년06월_남_0~9세,"3,928","1,124","2,233",0,34,56,26,100,355
2021년06월_남_10~19세,"4,353","1,716","1,580",0,86,76,42,206,647
2021년06월_남_20~29세,"5,361","2,243","1,726",0,125,151,60,329,727
2021년06월_남_30~39세,"6,348","1,671","3,335",0,112,149,69,294,718
2021년06월_남_40~49세,"7,456","2,563","3,037",0,177,211,98,407,963
2021년06월_남_50~59세,"7,512","2,867","1,866",0,345,393,214,663,"1,164"
2021년06월_남_60~69세,"5,664","1,925","1,106",0,413,441,296,753,730
2021년06월_남_70~79세,"2,526",940,388,0,212,220,156,325,285
2021년06월_남_80~89세,"1,219",408,195,0,115,106,94,165,136
2021년06월_남_90~99세,89,32,17,0,7,7,9,9,8
2021년06월_남_100세 이상,3,1,0,0,0,1,0,1,0
2021년06월_여_총인구수,"40,287","14,640","13,831",0,"1,517","1,659","1,020","2,878","4,742"
2021년06월_여_연령구간인구수,"40,287","14,640","13,831",0,"1,517","1,659","1,020","2,878","4,742"
2021년06월_여_0~9세,"3,671","1,014","2,112",0,33,61,22,88,341
2021년06월_여_10~19세,"4,031","1,618","1,535",0,82,71,35,184,506
2021년06월_여_20~29세,"3,908","1,673","1,381",0,76,99,37,200,442
2021년06월_여_30~39세,"5,159","1,438","2,829",0,68,99,47,185,493
2021년06월_여_40~49세,"6,225","2,345","2,456",0,115,129,66,301,813
2021년06월_여_50~59세,"6,216","2,461","1,577",0,238,331,159,535,915
2021년06월_여_60~69세,"5,370","2,031","1,074",0,359,374,279,618,635
2021년06월_여_70~79세,"2,970","1,152",467,0,243,232,175,374,327
2021년06월_여_80~89세,"2,336",783,344,0,265,229,165,329,221
2021년06월_여_90~99세,391,124,53,0,36,34,31,64,49
2021년06월_여_100세 이상,10,1,3,0,2,0,4,0,0
