카테고리,전라남도 곡성군,전라남도 곡성군 곡성읍,전라남도 곡성군 오곡면,전라남도 곡성군 삼기면,전라남도 곡성군 석곡면,전라남도 곡성군 목사동면,전라남도 곡성군 죽곡면,전라남도 곡성군 고달면,전라남도 곡성군 옥과면,전라남도 곡성군 입면,전라남도 곡성군 겸면,전라남도 곡성군 오산면
2020년05월_계_총인구수,"28,386","7,899","1,923","1,660","2,359","1,366","1,937","1,211","4,342","2,503","1,736","1,450"
2020년05월_계_연령구간인구수,"28,386","7,899","1,923","1,660","2,359","1,366","1,937","1,211","4,342","2,503","1,736","1,450"
2020년05월_계_0~9세,"1,152",486,68,33,61,24,46,35,225,75,60,39
2020년05월_계_10~19세,"2,048",697,131,82,129,46,99,59,442,219,84,60
2020년05월_계_20~29세,"2,423",763,116,103,157,86,144,78,541,205,115,115
2020년05월_계_30~39세,"1,765",649,104,69,120,60,87,51,344,116,97,68
2020년05월_계_40~49세,"3,175","1,070",185,157,211,111,169,93,556,344,155,124
2020년05월_계_50~59세,"4,983","1,308",331,275,437,260,354,218,742,459,319,280
2020년05월_계_60~69세,"4,854","1,207",380,339,414,257,390,221,632,383,302,329
2020년05월_계_70~79세,"4,301","1,001",329,309,405,270,358,245,486,361,318,219
2020년05월_계_80~89세,"3,177",619,252,245,362,220,242,187,325,291,245,189
2020년05월_계_90~99세,497,96,25,48,61,31,48,24,49,50,39,26
2020년05월_계_100세 이상,11,3,2,0,2,1,0,0,0,0,2,1
2020년05월_남_총인구수,"13,864","3,814",947,819,"1,111",660,944,587,"2,136","1,253",852,741
2020년05월_남_연령구간인구수,"13,864","3,814",947,819,"1,111",660,944,587,"2,136","1,253",852,741
2020년05월_남_0~9세,585,252,33,15,37,12,30,20,102,38,27,19
2020년05월_남_10~19세,"1,072",365,72,49,62,22,56,20,227,120,46,33
2020년05월_남_20~29세,"1,317",396,66,65,84,57,78,49,283,113,64,62
2020년05월_남_30~39세,956,322,65,49,66,36,44,30,182,67,58,37
2020년05월_남_40~49세,"1,777",550,109,97,118,65,98,57,294,203,109,77
2020년05월_남_50~59세,"2,755",700,185,149,250,144,188,133,393,275,175,163
2020년05월_남_60~69세,"2,515",596,199,184,196,137,207,113,324,207,163,189
2020년05월_남_70~79세,"1,797",418,127,127,178,110,158,105,213,136,129,96
2020년05월_남_80~89세,988,198,85,74,106,69,78,57,104,82,75,60
2020년05월_남_90~99세,100,17,6,10,13,8,7,3,14,12,5,5
2020년05월_남_100세 이상,2,0,0,0,1,0,0,0,0,0,1,0
2020년05월_여_총인구수,"14,522","4,085",976,841,"1,248",706,993,624,"2,206","1,250",884,709
2020년05월_여_연령구간인구수,"14,522","4,085",976,841,"1,248",706,993,624,"2,206","1,250",884,709
2020년05월_여_0~9세,567,234,35,18,24,12,16,15,123,37,33,20
2020년05월_여_10~19세,976,332,59,33,67,24,43,39,215,99,38,27
2020년05월_여_20~29세,"1,106",367,50,38,73,29,66,29,258,92,51,53
2020년05월_여_30~39세,809,327,39,20,54,24,43,21,162,49,39,31
2020년05월_여_40~49세,"1,398",520,76,60,93,46,71,36,262,141,46,47
2020년05월_여_50~59세,"2,228",608,146,126,187,116,166,85,349,184,144,117
2020년05월_여_60~69세,"2,339",611,181,155,218,120,183,108,308,176,139,140
2020년05월_여_70~79세,"2,504",583,202,182,227,160,200,140,273,225,189,123
2020년05월_여_80~89세,"2,189",421,167,171,256,151,164,130,221,209,170,129
2020년05월_여_90~99세,397,79,19,38,48,23,41,21,35,38,34,21
2020년05월_여_100세 이상,9,3,2,0,1,1,0,0,0,0,1,1
