카테고리,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면
2020년04월_계_총인구수,"38,762","21,149","1,103","1,475","1,743","2,155","2,287","1,271","1,758","3,817","2,004"
2020년04월_계_연령구간인구수,"38,762","21,149","1,103","1,475","1,743","2,155","2,287","1,271","1,758","3,817","2,004"
2020년04월_계_0~9세,"1,729","1,340",20,23,31,35,52,40,45,99,44
2020년04월_계_10~19세,"2,965","2,189",32,56,79,83,98,59,80,206,83
2020년04월_계_20~29세,"3,304","2,294",50,71,93,137,123,103,107,233,93
2020년04월_계_30~39세,"2,900","1,986",53,63,60,112,124,82,114,208,98
2020년04월_계_40~49세,"4,777","3,055",108,130,168,209,236,147,180,365,179
2020년04월_계_50~59세,"7,471","3,783",234,348,432,458,448,276,343,744,405
2020년04월_계_60~69세,"7,755","3,232",263,366,452,535,617,296,413,976,605
2020년04월_계_70~79세,"4,899","2,095",212,268,264,350,347,159,290,562,352
2020년04월_계_80~89세,"2,578","1,021",118,134,141,206,206,97,160,372,123
2020년04월_계_90~99세,335,135,12,15,20,24,31,11,25,42,20
2020년04월_계_100세 이상,49,19,1,1,3,6,5,1,1,10,2
2020년04월_남_총인구수,"20,002","10,807",571,773,899,"1,123","1,201",714,949,"1,954","1,011"
2020년04월_남_연령구간인구수,"20,002","10,807",571,773,899,"1,123","1,201",714,949,"1,954","1,011"
2020년04월_남_0~9세,918,723,14,12,17,16,22,21,24,48,21
2020년04월_남_10~19세,"1,589","1,184",17,25,41,37,56,31,35,123,40
2020년04월_남_20~29세,"1,885","1,300",31,44,55,83,73,67,63,122,47
2020년04월_남_30~39세,"1,598","1,038",29,44,31,65,83,48,84,128,48
2020년04월_남_40~49세,"2,652","1,586",75,84,94,132,148,89,118,213,113
2020년04월_남_50~59세,"4,085","2,050",135,194,233,261,249,171,203,387,202
2020년04월_남_60~69세,"4,021","1,610",130,211,241,290,340,162,218,515,304
2020년04월_남_70~79세,"2,232",912,92,111,136,155,157,83,134,271,181
2020년04월_남_80~89세,915,365,44,43,47,77,62,39,60,130,48
2020년04월_남_90~99세,93,34,3,4,4,4,9,3,10,15,7
2020년04월_남_100세 이상,14,5,1,1,0,3,2,0,0,2,0
2020년04월_여_총인구수,"18,760","10,342",532,702,844,"1,032","1,086",557,809,"1,863",993
2020년04월_여_연령구간인구수,"18,760","10,342",532,702,844,"1,032","1,086",557,809,"1,863",993
2020년04월_여_0~9세,811,617,6,11,14,19,30,19,21,51,23
2020년04월_여_10~19세,"1,376","1,005",15,31,38,46,42,28,45,83,43
2020년04월_여_20~29세,"1,419",994,19,27,38,54,50,36,44,111,46
2020년04월_여_30~39세,"1,302",948,24,19,29,47,41,34,30,80,50
2020년04월_여_40~49세,"2,125","1,469",33,46,74,77,88,58,62,152,66
2020년04월_여_50~59세,"3,386","1,733",99,154,199,197,199,105,140,357,203
2020년04월_여_60~69세,"3,734","1,622",133,155,211,245,277,134,195,461,301
2020년04월_여_70~79세,"2,667","1,183",120,157,128,195,190,76,156,291,171
2020년04월_여_80~89세,"1,663",656,74,91,94,129,144,58,100,242,75
2020년04월_여_90~99세,242,101,9,11,16,20,22,8,15,27,13
2020년04월_여_100세 이상,35,14,0,0,3,3,3,1,1,8,2
