,충청남도 금산군,충청남도 금산군 금산읍,충청남도 금산군 금성면,충청남도 금산군 제원면,충청남도 금산군 부리면,충청남도 금산군 군북면,충청남도 금산군 남일면,충청남도 금산군 남이면,충청남도 금산군 진산면,충청남도 금산군 복수면,충청남도 금산군 추부면
2021년07월_계_총인구수,"50,826","22,531","3,292","2,771","2,468","2,518","2,860","2,117","3,237","3,021","6,011"
2021년07월_계_연령구간인구수,"50,826","22,531","3,292","2,771","2,468","2,518","2,860","2,117","3,237","3,021","6,011"
2021년07월_계_0~9세,"2,419","1,558",87,74,65,120,81,54,73,75,232
2021년07월_계_10~19세,"4,233","2,458",151,96,75,138,391,155,217,141,411
2021년07월_계_20~29세,"3,827","2,110",205,179,102,127,160,102,173,195,474
2021년07월_계_30~39세,"3,492","1,984",186,139,109,145,117,71,152,177,412
2021년07월_계_40~49세,"6,048","3,494",286,226,169,236,236,155,282,286,678
2021년07월_계_50~59세,"8,870","3,743",603,477,396,416,425,412,644,555,"1,199"
2021년07월_계_60~69세,"10,263","3,518",774,732,654,595,608,506,734,762,"1,380"
2021년07월_계_70~79세,"6,806","2,359",540,462,456,422,449,362,563,487,706
2021년07월_계_80~89세,"4,287","1,166",384,340,386,283,353,270,357,295,453
2021년07월_계_90~99세,572,138,74,46,54,36,40,30,42,48,64
2021년07월_계_100세 이상,9,3,2,0,2,0,0,0,0,0,2
2021년07월_남_총인구수,"25,651","11,060","1,705","1,446","1,240","1,254","1,449","1,089","1,625","1,587","3,196"
2021년07월_남_연령구간인구수,"25,651","11,060","1,705","1,446","1,240","1,254","1,449","1,089","1,625","1,587","3,196"
2021년07월_남_0~9세,"1,228",768,53,40,33,55,46,27,44,38,124
2021년07월_남_10~19세,"2,209","1,256",83,63,35,72,190,83,122,80,225
2021년07월_남_20~29세,"2,205","1,184",132,110,59,71,103,67,84,116,279
2021년07월_남_30~39세,"1,836",998,105,84,72,81,58,33,70,85,250
2021년07월_남_40~49세,"3,332","1,817",164,147,110,129,141,93,163,179,389
2021년07월_남_50~59세,"4,910","1,928",358,275,251,249,254,235,370,319,671
2021년07월_남_60~69세,"5,256","1,673",400,383,335,313,323,283,390,412,744
2021년07월_남_70~79세,"3,127",999,257,227,211,189,212,168,262,250,352
2021년07월_남_80~89세,"1,416",410,135,106,120,88,110,95,112,96,144
2021년07월_남_90~99세,131,27,17,11,14,7,12,5,8,12,18
2021년07월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0
2021년07월_여_총인구수,"25,175","11,471","1,587","1,325","1,228","1,264","1,411","1,028","1,612","1,434","2,815"
2021년07월_여_연령구간인구수,"25,175","11,471","1,587","1,325","1,228","1,264","1,411","1,028","1,612","1,434","2,815"
2021년07월_여_0~9세,"1,191",790,34,34,32,65,35,27,29,37,108
2021년07월_여_10~19세,"2,024","1,202",68,33,40,66,201,72,95,61,186
2021년07월_여_20~29세,"1,622",926,73,69,43,56,57,35,89,79,195
2021년07월_여_30~39세,"1,656",986,81,55,37,64,59,38,82,92,162
2021년07월_여_40~49세,"2,716","1,677",122,79,59,107,95,62,119,107,289
2021년07월_여_50~59세,"3,960","1,815",245,202,145,167,171,177,274,236,528
2021년07월_여_60~69세,"5,007","1,845",374,349,319,282,285,223,344,350,636
2021년07월_여_70~79세,"3,679","1,360",283,235,245,233,237,194,301,237,354
2021년07월_여_80~89세,"2,871",756,249,234,266,195,243,175,245,199,309
2021년07월_여_90~99세,441,111,57,35,40,29,28,25,34,36,46
2021년07월_여_100세 이상,8,3,1,0,2,0,0,0,0,0,2
