,경상북도 청도군,경상북도 청도군 화양읍,경상북도 청도군 화양읍남성현출장소,경상북도 청도군 청도읍,경상북도 청도군 청도읍유호출장소,경상북도 청도군 각남면,경상북도 청도군 풍각면,경상북도 청도군 각북면,경상북도 청도군 이서면,경상북도 청도군 운문면,경상북도 청도군 금천면,경상북도 청도군 매전면
2021년07월_계_총인구수,"41,804","7,170","1,106","10,142","1,589","2,144","3,883","2,211","4,461","2,077","3,282","3,739"
2021년07월_계_연령구간인구수,"41,804","7,170","1,106","10,142","1,589","2,144","3,883","2,211","4,461","2,077","3,282","3,739"
2021년07월_계_0~9세,"1,428",447,40,406,43,50,121,58,123,32,54,54
2021년07월_계_10~19세,"2,218",664,26,706,45,68,149,64,253,41,98,104
2021년07월_계_20~29세,"2,698",602,57,809,71,115,203,113,258,121,169,180
2021년07월_계_30~39세,"2,617",607,91,799,78,105,248,100,232,93,117,147
2021년07월_계_40~49세,"4,275","1,004",89,"1,283",134,154,335,143,434,171,259,269
2021년07월_계_50~59세,"7,095","1,183",168,"1,745",243,330,655,423,747,414,565,622
2021년07월_계_60~69세,"9,829","1,303",269,"2,151",449,541,"1,007",609,"1,084",538,850,"1,028"
2021년07월_계_70~79세,"6,662",799,196,"1,368",317,442,624,401,766,340,666,743
2021년07월_계_80~89세,"4,342",488,147,770,183,290,476,264,475,288,437,524
2021년07월_계_90~99세,631,72,22,103,26,49,64,35,88,39,65,68
2021년07월_계_100세 이상,9,1,1,2,0,0,1,1,1,0,2,0
2021년07월_남_총인구수,"20,551","3,512",556,"4,945",767,"1,026","1,904","1,092","2,182","1,028","1,670","1,869"
2021년07월_남_연령구간인구수,"20,551","3,512",556,"4,945",767,"1,026","1,904","1,092","2,182","1,028","1,670","1,869"
2021년07월_남_0~9세,731,237,20,191,16,28,62,33,62,20,34,28
2021년07월_남_10~19세,"1,139",330,19,354,29,37,66,25,141,28,57,53
2021년07월_남_20~29세,"1,584",358,28,451,43,69,122,72,145,74,105,117
2021년07월_남_30~39세,"1,406",294,53,439,44,58,133,51,113,53,73,95
2021년07월_남_40~49세,"2,361",516,63,680,85,94,196,71,240,83,166,167
2021년07월_남_50~59세,"3,790",609,92,902,131,170,363,230,401,229,322,341
2021년07월_남_60~69세,"4,979",642,130,"1,077",214,280,506,326,536,305,437,526
2021년07월_남_70~79세,"3,041",353,93,595,140,190,286,179,378,139,328,360
2021년07월_남_80~89세,"1,391",158,53,235,60,90,153,103,150,86,135,168
2021년07월_남_90~99세,128,15,4,21,5,10,17,2,16,11,13,14
2021년07월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2021년07월_여_총인구수,"21,253","3,658",550,"5,197",822,"1,118","1,979","1,119","2,279","1,049","1,612","1,870"
2021년07월_여_연령구간인구수,"21,253","3,658",550,"5,197",822,"1,118","1,979","1,119","2,279","1,049","1,612","1,870"
2021년07월_여_0~9세,697,210,20,215,27,22,59,25,61,12,20,26
2021년07월_여_10~19세,"1,079",334,7,352,16,31,83,39,112,13,41,51
2021년07월_여_20~29세,"1,114",244,29,358,28,46,81,41,113,47,64,63
2021년07월_여_30~39세,"1,211",313,38,360,34,47,115,49,119,40,44,52
2021년07월_여_40~49세,"1,914",488,26,603,49,60,139,72,194,88,93,102
2021년07월_여_50~59세,"3,305",574,76,843,112,160,292,193,346,185,243,281
2021년07월_여_60~69세,"4,850",661,139,"1,074",235,261,501,283,548,233,413,502
2021년07월_여_70~79세,"3,621",446,103,773,177,252,338,222,388,201,338,383
2021년07월_여_80~89세,"2,951",330,94,535,123,200,323,161,325,202,302,356
2021년07월_여_90~99세,503,57,18,82,21,39,47,33,72,28,52,54
2021년07월_여_100세 이상,8,1,0,2,0,0,1,1,1,0,2,0
