카테고리,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2020년07월_계_총인구수,"357,695","15,591","10,149","20,608","22,435","20,425","13,122","18,151","21,469","22,485","18,228","24,264","10,354","11,953","20,248","16,976","17,310","11,599","29,895","11,985","20,448"
2020년07월_계_연령구간인구수,"357,695","15,591","10,149","20,608","22,435","20,425","13,122","18,151","21,469","22,485","18,228","24,264","10,354","11,953","20,248","16,976","17,310","11,599","29,895","11,985","20,448"
2020년07월_계_0~9세,"21,668",641,650,"1,482","1,322","1,248",590,907,"1,077","1,973","1,183","1,268",781,753,978,"1,049","1,278",695,"1,960",522,"1,311"
2020년07월_계_10~19세,"25,370",582,499,"1,855","1,578","1,604",638,"1,013","1,230","1,819","1,995","2,081",719,"1,003","1,279","1,372","1,023",919,"2,611",505,"1,045"
2020년07월_계_20~29세,"51,999","3,242","2,010","2,086","2,346","2,862","2,920","4,073","3,428","2,417","2,087","2,997","1,251","1,318","3,279","2,124","3,353","1,610","3,739","2,395","2,462"
2020년07월_계_30~39세,"47,642","2,459","1,795","2,333","2,486","2,463","2,314","3,163","3,150","2,993","1,825","2,448","1,672","1,393","2,349","1,899","2,817","1,225","3,521","2,181","3,156"
2020년07월_계_40~49세,"51,569","1,795","1,498","3,322","3,144","3,042","1,813","2,406","3,029","3,713","2,956","3,613","1,505","1,826","2,786","2,374","2,454","1,634","4,344","1,580","2,735"
2020년07월_계_50~59세,"58,857","2,542","1,576","3,272","3,712","3,632","1,706","2,293","3,138","3,692","3,464","4,578","1,549","2,307","3,491","2,893","2,573","1,989","5,535","1,717","3,198"
2020년07월_계_60~69세,"54,617","2,379","1,275","3,316","4,033","2,969","1,626","2,138","3,291","3,128","2,667","4,010","1,561","1,855","3,353","2,908","2,123","1,897","4,871","1,669","3,548"
2020년07월_계_70~79세,"31,671","1,345",571,"2,029","2,663","1,716","1,039","1,434","2,148","1,971","1,457","2,163",916,"1,040","1,973","1,683","1,194","1,139","2,193",941,"2,056"
2020년07월_계_80~89세,"12,577",522,221,810,"1,027",790,413,617,874,664,521,963,358,404,676,584,444,448,"1,000",416,825
2020년07월_계_90~99세,"1,499",70,47,97,111,87,55,91,91,84,62,131,35,46,76,78,49,40,112,51,86
2020년07월_계_100세 이상,226,14,7,6,13,12,8,16,13,31,11,12,7,8,8,12,2,3,9,8,26
2020년07월_남_총인구수,"172,953","7,825","5,057","9,765","10,900","9,737","6,014","8,630","10,110","10,976","8,991","11,617","4,991","5,853","10,101","8,274","8,261","5,664","14,502","5,700","9,985"
2020년07월_남_연령구간인구수,"172,953","7,825","5,057","9,765","10,900","9,737","6,014","8,630","10,110","10,976","8,991","11,617","4,991","5,853","10,101","8,274","8,261","5,664","14,502","5,700","9,985"
2020년07월_남_0~9세,"11,005",314,344,744,694,624,299,438,576,"1,011",595,625,400,396,482,528,650,329,"1,028",256,672
2020년07월_남_10~19세,"12,953",313,247,939,866,804,302,505,631,928,"1,030","1,056",359,497,668,719,499,471,"1,303",254,562
2020년07월_남_20~29세,"25,613","1,514",977,"1,102","1,235","1,445","1,169","1,819","1,596","1,251","1,150","1,629",628,701,"1,763","1,126","1,471",851,"1,978","1,023","1,185"
2020년07월_남_30~39세,"24,284","1,332",959,"1,191","1,300","1,222","1,113","1,614","1,543","1,460",919,"1,285",854,694,"1,284",957,"1,411",658,"1,764","1,097","1,627"
2020년07월_남_40~49세,"26,023",967,786,"1,607","1,584","1,497",902,"1,218","1,491","1,895","1,441","1,737",754,919,"1,483","1,179","1,282",812,"2,148",824,"1,497"
2020년07월_남_50~59세,"28,477","1,376",758,"1,487","1,777","1,729",861,"1,159","1,481","1,779","1,723","2,180",729,"1,148","1,709","1,377","1,252",982,"2,570",873,"1,527"
2020년07월_남_60~69세,"25,749","1,191",631,"1,498","1,831","1,394",754,"1,015","1,499","1,497","1,270","1,869",705,884,"1,575","1,344",973,893,"2,385",807,"1,734"
2020년07월_남_70~79세,"13,903",611,264,866,"1,197",716,446,611,924,892,656,900,418,466,863,787,549,498,968,404,867
2020년07월_남_80~89세,"4,550",188,77,305,392,281,153,228,348,232,190,305,134,138,259,232,164,158,339,146,281
2020년07월_남_90~99세,349,16,14,24,23,21,11,20,17,24,14,30,9,8,15,22,10,11,18,15,27
2020년07월_남_100세 이상,47,3,0,2,1,4,4,3,4,7,3,1,1,2,0,3,0,1,1,1,6
2020년07월_여_총인구수,"184,742","7,766","5,092","10,843","11,535","10,688","7,108","9,521","11,359","11,509","9,237","12,647","5,363","6,100","10,147","8,702","9,049","5,935","15,393","6,285","10,463"
2020년07월_여_연령구간인구수,"184,742","7,766","5,092","10,843","11,535","10,688","7,108","9,521","11,359","11,509","9,237","12,647","5,363","6,100","10,147","8,702","9,049","5,935","15,393","6,285","10,463"
2020년07월_여_0~9세,"10,663",327,306,738,628,624,291,469,501,962,588,643,381,357,496,521,628,366,932,266,639
2020년07월_여_10~19세,"12,417",269,252,916,712,800,336,508,599,891,965,"1,025",360,506,611,653,524,448,"1,308",251,483
2020년07월_여_20~29세,"26,386","1,728","1,033",984,"1,111","1,417","1,751","2,254","1,832","1,166",937,"1,368",623,617,"1,516",998,"1,882",759,"1,761","1,372","1,277"
2020년07월_여_30~39세,"23,358","1,127",836,"1,142","1,186","1,241","1,201","1,549","1,607","1,533",906,"1,163",818,699,"1,065",942,"1,406",567,"1,757","1,084","1,529"
2020년07월_여_40~49세,"25,546",828,712,"1,715","1,560","1,545",911,"1,188","1,538","1,818","1,515","1,876",751,907,"1,303","1,195","1,172",822,"2,196",756,"1,238"
2020년07월_여_50~59세,"30,380","1,166",818,"1,785","1,935","1,903",845,"1,134","1,657","1,913","1,741","2,398",820,"1,159","1,782","1,516","1,321","1,007","2,965",844,"1,671"
2020년07월_여_60~69세,"28,868","1,188",644,"1,818","2,202","1,575",872,"1,123","1,792","1,631","1,397","2,141",856,971,"1,778","1,564","1,150","1,004","2,486",862,"1,814"
2020년07월_여_70~79세,"17,768",734,307,"1,163","1,466","1,000",593,823,"1,224","1,079",801,"1,263",498,574,"1,110",896,645,641,"1,225",537,"1,189"
2020년07월_여_80~89세,"8,027",334,144,505,635,509,260,389,526,432,331,658,224,266,417,352,280,290,661,270,544
2020년07월_여_90~99세,"1,150",54,33,73,88,66,44,71,74,60,48,101,26,38,61,56,39,29,94,36,59
2020년07월_여_100세 이상,179,11,7,4,12,8,4,13,9,24,8,11,6,6,8,9,2,2,8,7,20
