카테고리,대구광역시 남구,대구광역시 남구 이천동,대구광역시 남구 봉덕1동,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕3동,대구광역시 남구 대명1동,대구광역시 남구 대명2동,대구광역시 남구 대명3동,대구광역시 남구 대명4동,대구광역시 남구 대명5동,대구광역시 남구 대명6동,대구광역시 남구 대명9동,대구광역시 남구 대명10동,대구광역시 남구 대명11동
2020년01월_계_총인구수,"148,057","12,914","9,292","10,987","17,222","11,712","11,509","11,229","11,392","8,182","9,711","15,939","9,412","8,556"
2020년01월_계_연령구간인구수,"148,057","12,914","9,292","10,987","17,222","11,712","11,509","11,229","11,392","8,182","9,711","15,939","9,412","8,556"
2020년01월_계_0~9세,"7,238",902,403,688,877,591,435,414,501,310,601,836,355,325
2020년01월_계_10~19세,"9,955","1,094",543,921,"1,443",821,683,661,691,473,661,949,556,459
2020년01월_계_20~29세,"20,124","1,299","1,144","1,160","2,047","1,716","2,021","1,481","1,637","1,517","1,367","2,340","1,375","1,020"
2020년01월_계_30~39세,"17,822","1,458","1,171","1,152","1,966","1,470","1,412","1,249","1,269",971,"1,392","2,208","1,137",967
2020년01월_계_40~49세,"21,034","2,098","1,389","1,528","2,640","1,684","1,537","1,541","1,481","1,039","1,449","2,334","1,231","1,083"
2020년01월_계_50~59세,"25,495","2,016","1,678","1,862","2,945","2,026","1,886","2,081","2,081","1,355","1,565","2,754","1,652","1,594"
2020년01월_계_60~69세,"23,418","1,787","1,446","1,821","2,678","1,815","1,721","1,944","1,998","1,218","1,390","2,327","1,613","1,660"
2020년01월_계_70~79세,"15,025","1,401",928,"1,147","1,672","1,091","1,203","1,269","1,190",855,827,"1,471",989,982
2020년01월_계_80~89세,"6,991",743,528,617,846,418,547,519,488,387,402,622,456,418
2020년01월_계_90~99세,872,109,55,86,97,77,57,59,49,52,54,87,46,44
2020년01월_계_100세 이상,83,7,7,5,11,3,7,11,7,5,3,11,2,4
2020년01월_남_총인구수,"71,342","6,155","4,496","5,290","8,159","5,724","5,502","5,609","5,544","3,902","4,635","7,766","4,466","4,094"
2020년01월_남_연령구간인구수,"71,342","6,155","4,496","5,290","8,159","5,724","5,502","5,609","5,544","3,902","4,635","7,766","4,466","4,094"
2020년01월_남_0~9세,"3,783",498,207,369,480,305,219,214,250,174,292,431,182,162
2020년01월_남_10~19세,"5,238",596,301,470,729,446,327,360,386,250,339,502,291,241
2020년01월_남_20~29세,"10,253",664,566,615,"1,033",878,"1,000",795,857,692,697,"1,193",703,560
2020년01월_남_30~39세,"9,296",732,618,592,994,758,748,703,692,500,679,"1,143",592,545
2020년01월_남_40~49세,"10,595","1,023",714,719,"1,237",863,809,848,780,560,722,"1,178",599,543
2020년01월_남_50~59세,"12,316",996,835,890,"1,446",970,920,"1,077",988,652,749,"1,302",777,714
2020년01월_남_60~69세,"10,742",792,668,854,"1,196",838,793,881,907,565,654,"1,113",726,755
2020년01월_남_70~79세,"6,374",550,386,515,700,497,488,531,515,351,359,639,429,414
2020년01월_남_80~89세,"2,510",277,188,235,315,153,178,185,158,144,134,240,155,148
2020년01월_남_90~99세,215,27,11,29,27,16,17,13,8,13,10,23,11,10
2020년01월_남_100세 이상,20,0,2,2,2,0,3,2,3,1,0,2,1,2
2020년01월_여_총인구수,"76,715","6,759","4,796","5,697","9,063","5,988","6,007","5,620","5,848","4,280","5,076","8,173","4,946","4,462"
2020년01월_여_연령구간인구수,"76,715","6,759","4,796","5,697","9,063","5,988","6,007","5,620","5,848","4,280","5,076","8,173","4,946","4,462"
2020년01월_여_0~9세,"3,455",404,196,319,397,286,216,200,251,136,309,405,173,163
2020년01월_여_10~19세,"4,717",498,242,451,714,375,356,301,305,223,322,447,265,218
2020년01월_여_20~29세,"9,871",635,578,545,"1,014",838,"1,021",686,780,825,670,"1,147",672,460
2020년01월_여_30~39세,"8,526",726,553,560,972,712,664,546,577,471,713,"1,065",545,422
2020년01월_여_40~49세,"10,439","1,075",675,809,"1,403",821,728,693,701,479,727,"1,156",632,540
2020년01월_여_50~59세,"13,179","1,020",843,972,"1,499","1,056",966,"1,004","1,093",703,816,"1,452",875,880
2020년01월_여_60~69세,"12,676",995,778,967,"1,482",977,928,"1,063","1,091",653,736,"1,214",887,905
2020년01월_여_70~79세,"8,651",851,542,632,972,594,715,738,675,504,468,832,560,568
2020년01월_여_80~89세,"4,481",466,340,382,531,265,369,334,330,243,268,382,301,270
2020년01월_여_90~99세,657,82,44,57,70,61,40,46,41,39,44,64,35,34
2020년01월_여_100세 이상,63,7,5,3,9,3,4,9,4,4,3,9,1,2
