,충청북도 영동군,충청북도 영동군 영동읍,충청북도 영동군 용산면,충청북도 영동군 황간면,충청북도 영동군 추풍령면,충청북도 영동군 매곡면,충청북도 영동군 상촌면,충청북도 영동군 양강면,충청북도 영동군 용화면,충청북도 영동군 학산면,충청북도 영동군 양산면,충청북도 영동군 심천면
2021년03월_계_총인구수,"46,577","20,471","3,254","4,318","2,253","1,911","2,353","3,173",989,"2,799","1,834","3,222"
2021년03월_계_연령구간인구수,"46,577","20,471","3,254","4,318","2,253","1,911","2,353","3,173",989,"2,799","1,834","3,222"
2021년03월_계_0~9세,"2,245","1,486",100,163,45,48,67,101,27,77,35,96
2021년03월_계_10~19세,"3,282","1,987",151,298,110,89,104,176,50,105,78,134
2021년03월_계_20~29세,"4,166","2,526",220,285,142,110,105,297,44,151,103,183
2021년03월_계_30~39세,"3,178","1,909",155,263,90,75,103,176,33,119,70,185
2021년03월_계_40~49세,"5,192","2,973",303,409,209,153,185,262,72,198,166,262
2021년03월_계_50~59세,"8,229","3,451",629,805,437,346,384,618,188,482,331,558
2021년03월_계_60~69세,"9,379","3,057",816,986,538,474,592,701,251,733,427,804
2021년03월_계_70~79세,"6,452","1,961",484,668,402,320,473,497,176,529,349,593
2021년03월_계_80~89세,"3,926","1,000",350,403,245,268,285,312,128,344,229,362
2021년03월_계_90~99세,515,117,44,38,35,27,53,33,19,59,46,44
2021년03월_계_100세 이상,13,4,2,0,0,1,2,0,1,2,0,1
2021년03월_남_총인구수,"23,207","10,123","1,656","2,184","1,117",942,"1,150","1,610",493,"1,407",912,"1,613"
2021년03월_남_연령구간인구수,"23,207","10,123","1,656","2,184","1,117",942,"1,150","1,610",493,"1,407",912,"1,613"
2021년03월_남_0~9세,"1,142",747,53,91,23,22,27,43,16,45,22,53
2021년03월_남_10~19세,"1,709","1,032",74,157,55,48,65,99,28,46,39,66
2021년03월_남_20~29세,"2,353","1,355",127,173,86,67,62,189,23,100,62,109
2021년03월_남_30~39세,"1,668",960,96,137,50,43,56,96,21,64,47,98
2021년03월_남_40~49세,"2,836","1,527",168,237,119,94,111,156,43,129,97,155
2021년03월_남_50~59세,"4,383","1,776",349,441,239,188,211,336,108,264,174,297
2021년03월_남_60~69세,"4,817","1,534",432,508,267,243,308,363,138,370,238,416
2021년03월_남_70~79세,"2,833",832,237,289,185,134,206,214,71,247,145,273
2021년03월_남_80~89세,"1,351",340,110,144,85,96,95,107,40,127,76,131
2021년03월_남_90~99세,113,19,10,7,8,7,8,7,5,15,12,15
2021년03월_남_100세 이상,2,1,0,0,0,0,1,0,0,0,0,0
2021년03월_여_총인구수,"23,370","10,348","1,598","2,134","1,136",969,"1,203","1,563",496,"1,392",922,"1,609"
2021년03월_여_연령구간인구수,"23,370","10,348","1,598","2,134","1,136",969,"1,203","1,563",496,"1,392",922,"1,609"
2021년03월_여_0~9세,"1,103",739,47,72,22,26,40,58,11,32,13,43
2021년03월_여_10~19세,"1,573",955,77,141,55,41,39,77,22,59,39,68
2021년03월_여_20~29세,"1,813","1,171",93,112,56,43,43,108,21,51,41,74
2021년03월_여_30~39세,"1,510",949,59,126,40,32,47,80,12,55,23,87
2021년03월_여_40~49세,"2,356","1,446",135,172,90,59,74,106,29,69,69,107
2021년03월_여_50~59세,"3,846","1,675",280,364,198,158,173,282,80,218,157,261
2021년03월_여_60~69세,"4,562","1,523",384,478,271,231,284,338,113,363,189,388
2021년03월_여_70~79세,"3,619","1,129",247,379,217,186,267,283,105,282,204,320
2021년03월_여_80~89세,"2,575",660,240,259,160,172,190,205,88,217,153,231
2021년03월_여_90~99세,402,98,34,31,27,20,45,26,14,44,34,29
2021년03월_여_100세 이상,11,3,2,0,0,1,1,0,1,2,0,1
